GENOTYPE,d.T3.x,g.T3.x,a.T3.x,d.T.x,g.T.x,a.T.x,Total.Tocotrienols.x,Total.Tocopherols.x,Total.Tocochromanols.x,d.T3.y,g.T3.y,a.T3.y,d.T.y,g.T.y,a.T.y,Total.Tocotrienols.y,Total.Tocopherols.y,Total.Tocochromanols.y
Ames28415,0.472485641,41.67164771,11.40195242,1.264157069,58.20952348,9.913453302,53.81682125,69.42420242,122.8139773,0.472485641,43.463682437,11.40195242,1.594056096,59.528690534,11.700415257,53.81682125,69.42420242,122.8139773
Ames28418,0.587856774,13.80530854,9.18093237,0.679615113,9.961286566,4.298777819,23.88020806,15.02377904,39.33243822,0.587856774,15.597343267,9.18093237,1.00951414,11.28045362,6.085739774,23.88020806,15.02377904,39.33243822
Ames28419,1.088766975,26.15376307,8.632592708,1.726089324,33.98289891,1.381081374,36.03332206,37.10502,73.45667964,1.088766975,27.945797797,8.632592708,2.055988351,35.302065964,3.168043329,36.03332206,37.10502,73.45667964
Ames28420,0.843775296,28.34659491,8.907619858,1.379895504,33.10201846,1.525708885,38.24641301,36.42035994,75.38370652,0.843775296,30.138629637,8.907619858,1.709794531,34.421185514,3.31267084,38.24641301,36.42035994,75.38370652
Ames28421,1.445605439,37.96153762,12.0191226,6.690860603,64.45289584,6.147806512,51.91009386,77.43487888,129.8071837,1.445605439,39.753572347,12.0191226,7.02075963,65.772062894,7.934768467,51.91009386,77.43487888,129.8071837
Ames28422,0.737628541,23.64596756,8.251626997,3.552882713,38.26695788,3.996525801,32.55817743,45.90769063,79.21002381,0.737628541,25.438002287,8.251626997,3.88278174,39.586124934,5.783487756,32.55817743,45.90769063,79.21002381
Ames28423,1.120646848,28.54249469,8.995935629,4.222048421,35.34888032,2.558792759,39.10230505,42.41106993,82.33538375,1.120646848,30.334529417,8.995935629,4.551947448,36.668047374,4.345754714,39.10230505,42.41106993,82.33538375
Ames28424,0.261502061,9.722709965,4.157853885,1.269858583,34.71785444,8.073817429,14.48943607,44.13392399,58.26096058,0.261502061,11.514744692,4.157853885,1.59975761,36.037021494,9.860779384,14.48943607,44.13392399,58.26096058
Ames28425,1.640577299,24.07142335,7.091933399,1.517268452,52.43572603,1.163323259,32.59245202,54.88844724,87.93688247,1.640577299,25.863458077,7.091933399,1.847167479,53.754893084,2.950285214,32.59245202,54.88844724,87.93688247
Ames28426,3.186338255,31.76502771,5.23807734,1.269576327,53.08423691,1.218235566,39.9611024,55.78775744,96.27730861,3.186338255,33.557062437,5.23807734,1.599475354,54.403403964,3.005197521,39.9611024,55.78775744,96.27730861
Ames28927,0.429568488,8.433346701,7.03303928,0.540510707,19.65808093,0.993924131,15.81089589,21.24105812,37.25884316,0.429568488,10.225381428,7.03303928,0.870409734,20.977247984,2.780886086,15.81089589,21.24105812,37.25884316
Ames28928,0.947458779,12.51441513,8.054951901,0.60139576,28.0121139,4.196357807,21.90409964,33.2540102,55.08759663,0.947458779,14.306449857,8.054951901,0.931294787,29.331280954,5.983319762,21.90409964,33.2540102,55.08759663
Ames28929,0.362299026,13.4615619,10.06337187,0.839930523,34.17038571,5.607000916,24.27827179,40.79579961,64.85860015,0.362299026,15.253596627,10.06337187,1.16982955,35.489552764,7.393962871,24.27827179,40.79579961,64.85860015
Ames28930,0.228268295,9.12507655,11.03845462,0.930864992,39.60967237,6.984747939,20.72671536,47.82911609,68.41513074,0.228268295,10.917111277,11.03845462,1.260764019,40.928839424,8.771709894,20.72671536,47.82911609,68.41513074
Ames28931,0.219465372,9.049033141,7.365557254,0.942570205,53.38229988,5.77934137,15.99326421,60.00845776,75.92227688,0.219465372,10.841067868,7.365557254,1.272469232,54.701466934,7.566303325,15.99326421,60.00845776,75.92227688
Ames28932,1.311835031,35.22712913,4.329287259,1.153271322,22.6227381,1.504567679,40.68557186,25.18794321,66.19581269,1.311835031,37.019163857,4.329287259,1.483170349,23.941905154,3.291529634,40.68557186,25.18794321,66.19581269
Ames28933,0.768281268,20.08480615,8.241592443,1.340938473,39.99786509,3.047683852,29.67652436,44.54627856,74.08381252,0.768281268,21.876840877,8.241592443,1.6708375,41.317032144,4.834645807,29.67652436,44.54627856,74.08381252
Ames28934,0.322985719,14.85603387,8.478576655,3.839148152,66.85964844,1.612604142,23.98017396,72.11781552,96.12156326,0.322985719,16.648068597,8.478576655,4.169047179,68.178815494,3.399566097,23.98017396,72.11781552,96.12156326
Ames28935,0.195939356,15.27064983,6.856044878,0.259333866,11.13640889,1.549969342,22.5129309,13.10198844,35.3561338,0.195939356,17.062684557,6.856044878,0.589232893,12.455575944,3.336931297,22.5129309,13.10198844,35.3561338
Ames28936,0.492181677,8.770859639,13.3373242,0.216267664,2.707801594,9.066593116,22.86885803,12.20786649,35.05335871,0.492181677,10.562894366,13.3373242,0.546166691,4.026968648,10.853555071,22.86885803,12.20786649,35.05335871
Ames28937,0.30512681,15.87529553,7.422124998,2.253751685,57.73084707,0.756548147,23.69851036,60.89008071,85.11606946,0.30512681,17.667330257,7.422124998,2.583650712,59.050014124,2.543510102,23.69851036,60.89008071,85.11606946
Ames28938,0.288978721,6.804082679,6.622816745,0.49956877,21.68591168,7.042986398,13.92990677,29.83489187,44.19028013,0.288978721,8.596117406,6.622816745,0.829467797,23.005078734,8.829948353,13.92990677,29.83489187,44.19028013
Ames28939,0.384829519,19.17073608,13.20001654,3.111320912,64.2339536,13.42824417,33.04729557,80.68574362,113.9023734,0.384829519,20.962770807,13.20001654,3.441219939,65.553120654,15.215206125,33.04729557,80.68574362,113.9023734
Ames28940,0.727392807,20.45721033,6.744120838,1.985807777,66.69886685,6.170941215,27.76988403,74.80604465,103.338611,0.727392807,22.249245057,6.744120838,2.315706804,68.018033904,7.95790317,27.76988403,74.80604465,103.338611
Ames28941,0.815327835,34.12953843,5.360777276,0.366436932,17.45520661,2.562465657,40.3789514,20.45224711,61.73088275,0.815327835,35.921573157,5.360777276,0.696335959,18.774373664,4.349427612,40.3789514,20.45224711,61.73088275
Ames28942,2.310431258,16.04726668,17.29115208,0.875682499,27.26210044,9.465910894,35.92796438,37.82611362,74.1977327,2.310431258,17.839301407,17.29115208,1.205581526,28.581267494,11.252872849,35.92796438,37.82611362,74.1977327
Ames28943,0.428284979,18.68519064,5.113154576,1.738208993,52.01550842,3.07338142,24.40336409,57.00418484,81.45478254,0.428284979,20.477225367,5.113154576,2.06810802,53.334675474,4.860343375,24.40336409,57.00418484,81.45478254
Ames28944,0.339842546,11.71252626,3.900020351,2.588400049,51.20987903,3.782208946,16.05709447,58.50148361,75.02142032,0.339842546,13.504560987,3.900020351,2.918299076,52.529046084,5.569170901,16.05709447,58.50148361,75.02142032
Ames28945,0.634919587,21.74566534,7.135767595,1.042369989,40.71217073,6.153394199,29.60404779,47.80123086,77.29431126,0.634919587,23.537700067,7.135767595,1.372269016,42.031337784,7.940356154,29.60404779,47.80123086,77.29431126
Ames28946,3.60898035,49.84217736,7.731458069,2.145630003,72.09223398,0.676795246,61.04887116,74.88801567,137.0426787,3.60898035,51.634212087,7.731458069,2.47552903,73.411401034,2.463757201,61.04887116,74.88801567,137.0426787
Ames28947,3.903424559,44.50290863,7.910675973,2.62522526,76.14958936,0.16142049,56.42283036,79.74862051,136.5243686,3.903424559,46.294943357,7.910675973,2.955124287,77.468756414,1.948382445,56.42283036,79.74862051,136.5243686
Ames28948,1.851970787,17.14771785,6.731856179,1.13599227,51.64519885,1.017902912,25.62226333,54.14553786,80.55140885,1.851970787,18.939752577,6.731856179,1.465891297,52.964365904,2.804864867,25.62226333,54.14553786,80.55140885
Ames28949,2.444948984,21.2424053,7.937863577,0.744457048,35.9475724,5.134034763,31.65777636,42.25292784,74.14742765,2.444948984,23.034440027,7.937863577,1.074356075,37.266739454,6.920996718,31.65777636,42.25292784,74.14742765
Ames28951,2.162530285,17.46527774,8.917153333,5.288324517,51.27761852,5.121541933,28.39816648,61.58315977,90.96479181,2.162530285,19.257312467,8.917153333,5.618223544,52.596785574,6.908503888,28.39816648,61.58315977,90.96479181
Ames28952,0.505001006,12.48096525,4.719408298,0.644944194,18.50980391,1.588949044,17.96067579,21.1927601,39.10625746,0.505001006,14.272999977,4.719408298,0.974843221,19.828970964,3.375910999,17.96067579,21.1927601,39.10625746
Ames28953,0.940587521,13.16681963,10.9272742,0.81990048,20.06482833,6.702240733,25.18628658,27.87638293,53.83559799,0.940587521,14.958854357,10.9272742,1.149799507,21.383995384,8.489202688,25.18628658,27.87638293,53.83559799
Ames29394,2.652423849,29.42188619,7.650555935,0.787392201,72.03419171,3.704446395,40.09502421,76.90882839,116.7924444,2.652423849,31.213920917,7.650555935,1.117291228,73.353358764,5.49140835,40.09502421,76.90882839,116.7924444
Ames29451,0.49688882,7.210046646,9.293957592,0.682844852,19.94747106,6.502107817,17.26973638,27.113488,44.1412449,0.49688882,9.002081373,9.293957592,1.012743879,21.266638114,8.289069772,17.26973638,27.113488,44.1412449
Ames30531,0.388188935,8.124899687,6.665399,1.779290343,42.18335963,1.944098664,15.28784823,45.71321702,61.4405024,0.388188935,9.916934414,6.665399,2.10918937,43.502526684,3.731060619,15.28784823,45.71321702,61.4405024
Ames30533,0.50027178,17.96328017,7.034916537,1.515337147,58.87768934,1.260445061,25.90465314,61.86583925,87.07719147,0.50027178,19.755314897,7.034916537,1.845236174,60.196856394,3.047407016,25.90465314,61.86583925,87.07719147
Ames30855,3.475480026,26.25737871,4.428353222,1.930250959,30.3370552,2.422179591,34.43915039,34.80244189,69.53540868,3.475480026,28.049413437,4.428353222,2.260149986,31.656222254,4.209141546,34.43915039,34.80244189,69.53540868
Ames30856,0.2255131,9.763311038,5.281452011,0.756249713,32.26628755,6.611888562,15.57977399,39.82840672,55.16399529,0.2255131,11.555345765,5.281452011,1.08614874,33.585454604,8.398850517,15.57977399,39.82840672,55.16399529
Ames30857,1.411220653,37.24511422,11.94519643,1.447967218,40.78540575,4.741943451,50.59215602,46.80177924,97.57339178,1.411220653,39.037148947,11.94519643,1.777866245,42.104572804,6.528905406,50.59215602,46.80177924,97.57339178
Ames30862,1.010280111,34.09080324,8.687182067,2.091537672,83.05381328,4.984672971,43.22347511,90.07198759,134.064602,1.010280111,35.882837967,8.687182067,2.421436699,84.372980334,6.771634926,43.22347511,90.07198759,134.064602
Ames30864,,41.17606062,15.6233191,2.687235294,43.48806916,25.22163455,64.83672819,71.30511868,136.756744,,42.968095347,15.6233191,3.017134321,44.807236214,27.008596505,64.83672819,71.30511868,136.756744
Ames8399,1.149005544,17.42611189,5.475850069,0.97116227,53.45787562,10.48157446,24.06674062,64.95097941,89.34504536,1.149005544,19.218146617,5.475850069,1.301061297,54.777042674,12.268536415,24.06674062,64.95097941,89.34504536
CIze127,0.173848154,2.802637571,8.79795516,0.656890409,21.78176681,10.27794677,11.97922777,32.67420662,44.62085307,0.173848154,4.594672298,8.79795516,0.986789436,23.100933864,12.064908725,11.97922777,32.67420662,44.62085307
CIze21,0.265031829,5.480627543,10.95570277,1.666739467,40.91252868,13.0819297,17.58847744,55.58174476,73.14709153,0.265031829,7.27266227,10.95570277,1.996638494,42.231695734,14.868891655,17.58847744,55.58174476,73.14709153
CIze23,0.931214515,20.59587996,12.71291243,1.290848501,41.34796049,7.770838163,34.36840118,50.59378878,85.29968021,0.931214515,22.387914687,12.71291243,1.620747528,42.667127544,9.557800118,34.36840118,50.59378878,85.29968021
CIze27,5.036077918,60.35611559,12.78669656,1.567336008,65.79305742,14.45083041,79.75152139,81.83105192,161.9926461,5.036077918,62.148150317,12.78669656,1.897235035,67.112224474,16.237792365,79.75152139,81.83105192,161.9926461
CIze28,0.28749089,8.603613303,5.009946995,1.8284104,35.42193973,5.700843177,13.79017248,42.91067665,56.8518776,0.28749089,10.39564803,5.009946995,2.158309427,36.741106784,7.487805132,13.79017248,42.91067665,56.8518776
CIze29,1.010377331,12.34100005,7.504953846,1.518063351,64.75031158,0.423531674,20.95686201,66.40158015,88.37955947,1.010377331,14.133034777,7.504953846,1.847962378,66.069478634,2.210493629,20.95686201,66.40158015,88.37955947
CIze317,0.348792619,7.479386999,13.3346593,1.607809958,36.30558534,13.87624587,21.35978716,51.85451653,73.15501901,0.348792619,9.271421726,13.3346593,1.937708985,37.624752394,15.663207825,21.35978716,51.85451653,73.15501901
