"ID","Pedigree","Comments"
"Ames 21096","R35","other"
"Ames 21512","CI31A","other"
"Ames 22011","C5 Ark 1956","sweet corn"
"Ames 22012","C7","sweet corn"
"Ames 22013","C7e","sweet corn"
"Ames 22014","C8 pseudo","sweet corn"
"Ames 22015","C12-1","sweet corn"
"Ames 22016","C15","sweet corn"
"Ames 22017","C18","sweet corn"
"Ames 22018","C22","sweet corn"
"Ames 22019","C27","sweet corn"
"Ames 22020","C31","sweet corn"
"Ames 22021","C38","sweet corn"
"Ames 22022","C40","sweet corn"
"Ames 22023","C68","sweet corn"
"Ames 22024","C90","sweet corn"
"Ames 22025","Ia CG4189","sweet corn"
"Ames 22027","Ia Ev3004","sweet corn"
"Ames 22028","Ia 2003","sweet corn"
"Ames 22029","Ia 2076","sweet corn"
"Ames 22030","Ia453","sweet corn"
"Ames 22031","Ia 5145","sweet corn"
"Ames 22032","IP 39","sweet corn"
"Ames 22033","Ill 101Q","sweet corn"
"Ames 22034","M 23","sweet corn"
"Ames 22035","M 45","sweet corn"
"Ames 22036","Ma32","sweet corn"
"Ames 22037","Me 1","sweet corn"
"Ames 22038","Me 100","sweet corn"
"Ames 22039","Me 121 Wa","sweet corn"
"Ames 22040","Me 123","sweet corn"
"Ames 22041","Me 135","sweet corn"
"Ames 22042","Me 244 Wa","sweet corn"
"Ames 22043","Me 244 Wb","sweet corn"
"Ames 22044","NJ 112","sweet corn"
"Ames 22046","NJ 116 Wb","sweet corn"
"Ames 22047","NJ 159","sweet corn"
"Ames 22048","P39M96","sweet corn"
"Ames 22049","P51","sweet corn"
"Ames 22050","P51wx","sweet corn"
"Ames 22052","W 3607","sweet corn"
"Ames 22053","W 3647","sweet corn"
"Ames 22054","W 3722","sweet corn"
"Ames 22055","W 3742","sweet corn"
"Ames 22056","W 5543","sweet corn"
"Ames 22057","W 5552","sweet corn"
"Ames 22058","W 5579","sweet corn"
"Ames 22059","W 6366","sweet corn"
"Ames 22060","W 6462","sweet corn"
"Ames 22061","W 6714","sweet corn"
"Ames 22062","W 6720-1","sweet corn"
"Ames 22063","W 6720-2","sweet corn"
"Ames 22064","W 6728","sweet corn"
"Ames 22065","W 6757","sweet corn"
"Ames 22066","W 6786","sweet corn"
"Ames 22067","W 7151","sweet corn"
"Ames 22440","CI90C","other"
"Ames 22441","CH157","other"
"Ames 22442","Ms100","other"
"Ames 22747","CM48","other"
"Ames 22748","H100","other"
"Ames 22750","H112","other"
"Ames 22751","H114","other"
"Ames 22752","H119","other"
"Ames 22753","H123","other"
"Ames 22754","K55","other"
"Ames 22756","Os426","other"
"Ames 22757","Pa405","other"
"Ames 22759","Tx29A","other"
"Ames 22760","Tx71","other"
"Ames 22762","Tx118","other"
"Ames 22765","Tx738","other"
"Ames 22767","W59E","other"
"Ames 22792","ABPl 2","other"
"Ames 22793","ABPl 4","other"
"Ames 22794","ABPl 5","other"
"Ames 2327","Lai 1029","other"
"Ames 2328","North 7","other"
"Ames 2329","SW 322","other"
"Ames 2330","East 028","other"
"Ames 2331","Yellow 3-4","other"
"Ames 2332","Bei 10 = North 10","other"
"Ames 2333","Yong 28","other"
"Ames 2334","Yong 28 (br2)","other"
"Ames 2335","Ye 4","other"
"Ames 2336","52220","other"
"Ames 2337","Huanyao","other"
"Ames 2338","(Twan x Tzuh)-S6","other"
"Ames 23389","A15","other"
"Ames 2339","Huobai","other"
"Ames 23391","A34","other"
"Ames 23392","A90","other"
"Ames 23393","A96","other"
"Ames 23394","A116","other"
"Ames 23395","A152","other"
"Ames 23396","A155","other"
"Ames 23397","A158","other"
"Ames 23398","A166","other"
"Ames 23399","A201","other"
"Ames 2340","WFg 3-9","other"
"Ames 23400","A203","other"
"Ames 23401","A204","other"
"Ames 23403","A218","other"
"Ames 23404","A223","other"
"Ames 23405","A239","other"
"Ames 23406","A251","other"
"Ames 23407","A257","other"
"Ames 23408","A260","other"
"Ames 23409","A264","other"
"Ames 2341","S330","other"
"Ames 23410","A265","other"
"Ames 23413","A286","other"
"Ames 23414","A288","other"
"Ames 23415","A295","other"
"Ames 23417","A305","other"
"Ames 23418","A308","other"
"Ames 23419","A310","other"
"Ames 23420","A312","other"
"Ames 23421","A321","other"
"Ames 23422","A322","other"
"Ames 23423","A334","other"
"Ames 23424","A340","other"
"Ames 23425","A344","other"
"Ames 23426","A357","other"
"Ames 23427","A374","other"
"Ames 23428","A375","other"
"Ames 23429","A385","other"
"Ames 23430","A401","other"
"Ames 23431","A407","other"
"Ames 23434","A424","other"
"Ames 23435","A427","other"
"Ames 23436","A449","other"
"Ames 23437","A450","other"
"Ames 23438","A451","other"
"Ames 23440","A495","other"
"Ames 23441","A497","other"
"Ames 23442","A498","other"
"Ames 23443","A499","other"
"Ames 23444","A500","other"
"Ames 23445","A502","other"
"Ames 23446","A508","other"
"Ames 23447","A509","other"
"Ames 23448","A547","other"
"Ames 23449","A548","other"
"Ames 23450","A556","other"
"Ames 23451","A572","other"
"Ames 23452","A575","other"
"Ames 23455","A588","other"
"Ames 23456","A617","other"
"Ames 23457","A618","other"
"Ames 23458","A619HT","other"
"Ames 23459","A622","other"
"Ames 23460","A624","other"
"Ames 23461","A625","other"
"Ames 23463","A627","other"
"Ames 23464","A628","other"
"Ames 23465","A629","other"
"Ames 23466","A630","other"
"Ames 23467","A631","other"
"Ames 23468","A632HT","other"
"Ames 23469","A632HTN","other"
"Ames 23470","A632RpRp","other"
"Ames 23471","A633","other"
"Ames 23473","A635RpRp","other"
"Ames 23474","A636","other"
"Ames 23475","A637","other"
"Ames 23476","A638","other"
"Ames 23477","A640","other"
"Ames 23478","A643","other"
"Ames 23479","A644","other"
"Ames 23481","A646","other"
"Ames 23482","A649","other"
"Ames 23483","A650","other"
"Ames 23484","A651","other"
"Ames 23485","A652","other"
"Ames 23486","A653","other"
"Ames 23487","A655","other"
"Ames 23488","A656","other"
"Ames 23490","A666","other"
"Ames 23491","A667","other"
"Ames 23492","A668","other"
"Ames 23493","A669","other"
"Ames 23494","A670","other"
"Ames 23495","A671","other"
"Ames 23496","A672","other"
"Ames 23497","A673","other"
"Ames 23498","A674","other"
"Ames 23499","A675","other"
"Ames 23500","A676","other"
"Ames 23501","A677","other"
"Ames 23502","A678","other"
"Ames 23503","A680","other"
"Ames 23504","A681","other"
"Ames 23505","A683","other"
"Ames 23506","C38","sweet corn"
"Ames 23507","C42","sweet corn"
"Ames 23508","S4","sweet corn"
"Ames 23509","S8","sweet corn"
"Ames 23510","S43","sweet corn"
"Ames 23922","Oh51A","other"
"Ames 23924","Tx706","other"
"Ames 24575","IDS28","popcorn"
"Ames 24576","IDS69","popcorn"
"Ames 24577","IDS91","popcorn"
"Ames 24585","CG10","other"
"Ames 24589","I159","other"
"Ames 24590","I198","other"
"Ames 24704","MS1","other"
"Ames 24705","MS4","other"
"Ames 24706","MS12","other"
"Ames 24707","MS24","other"
"Ames 24708","MS24A","other"
"Ames 24709","MS57","other"
"Ames 24710","MS67","other"
"Ames 24711","MS68","other"
"Ames 24712","MS71","other"
"Ames 24713","MS72","other"
"Ames 24714","MS74","other"
"Ames 24715","MS75","other"
"Ames 24716","MS76","other"
"Ames 24717","MS77","other"
"Ames 24718","MS78","other"
"Ames 24719","MS79","other"
"Ames 24720","MS80","other"
"Ames 24722","MS89","other"
"Ames 24723","MS91","other"
"Ames 24724","MS92","other"
"Ames 24725","MS93","other"
"Ames 24726","MS100","other"
"Ames 24727","MS106","other"
"Ames 24729","MS116","other"
"Ames 24730","MS132","other"
"Ames 24732","MS141","other"
"Ames 24733","MS142","other"
"Ames 24734","MS153","other"
"Ames 24735","MS198","other"
"Ames 24736","MS199","other"
"Ames 24737","MS200","other"
"Ames 24738","MS201","other"
"Ames 24739","MS203","other"
"Ames 24740","MS204","other"
"Ames 24741","MS206","other"
"Ames 24742","MS211","other"
"Ames 24743","MS214","other"
"Ames 24744","MS215","other"
"Ames 24745","MS216","other"
"Ames 24746","MS221","other"
"Ames 24747","MS222","other"
"Ames 24748","MS223","other"
"Ames 24749","MS224","other"
"Ames 24750","MS225","other"
"Ames 24751","MS226","other"
"Ames 24752","MS1334","other"
"Ames 24989","Va99","other"
"Ames 25219","A619Ht1","other"
"Ames 25220","A619Ht2","other"
"Ames 25221","A619Ht3","other"
"Ames 2523","38-11R PARENT HB 19 INB","other"
"Ames 25372","Pa91HT1","other"
"Ames 25373","Pa91HT2","other"
"Ames 25374","Pa91HT3","other"
"Ames 25559","H60","other"
"Ames 26004","MINN #5","popcorn"
"Ames 26021","P8","other"
"Ames 26022","Tr","other"
"Ames 26028","CI 540","other"
"Ames 26114","CI 1","other"
"Ames 26115","CI 2","other"
"Ames 26116","CI 3A","other"
"Ames 26118","CI 11B","other"
"Ames 26119","CI 19","other"
"Ames 26120","CI 20","other"
"Ames 26121","CI 28","other"
"Ames 26122","CI 28B","other"
"Ames 26123","CI 28C","other"
"Ames 26124","CI 30","other"
"Ames 26125","CI 31","other"
"Ames 26126","CI 32","other"
"Ames 26127","CI 34","other"
"Ames 26128","CI 40H","other"
"Ames 26129","CI 41","other"
"Ames 26130","CI 46","other"
"Ames 26131","CI 70","other"
"Ames 26133","CI 74","other"
"Ames 26134","CI 75","other"
"Ames 26135","CI 82B","other"
"Ames 26136","CI 84B","other"
"Ames 26137","CI 91C","other"
"Ames 26138","CI 187-2","other"
"Ames 26741","WX187-2","other"
"Ames 26742","WX33-16","other"
"Ames 26743","WX38-11","other"
"Ames 26744","WXB14","other"
"Ames 26745","WXB6","other"
"Ames 26746","WXHy","other"
"Ames 26747","WXI198","other"
"Ames 26748","WXI205","other"
"Ames 26749","WXK41","other"
"Ames 26750","WXK44","other"
"Ames 26751","WXK55","other"
"Ames 26752","WXK64","other"
"Ames 26753","WXL289","other"
"Ames 26754","WXL317","other"
"Ames 26755","WXM14","other"
"Ames 26756","WXOs420","other"
"Ames 26757","WXW22","other"
"Ames 26758","WXWF9","other"
"Ames 26760","A632 +/sh2","sweet corn"
"Ames 26761","A632 sh2/sh2","sweet corn"
"Ames 26762","A632 su/su","sweet corn"
"Ames 26763","B84 +/su","sweet corn"
"Ames 26764","Mo17 +/su","sweet corn"
"Ames 26765","Oh43 (su)","sweet corn"
"Ames 26766","Oh43 sh2","sweet corn"
"Ames 26767","W64A ae","other"
"Ames 26768","W64A ae/wx","other"
"Ames 26770","66","other"
"Ames 26772","H5","other"
"Ames 26773","H10","other"
"Ames 26774","H14","other"
"Ames 26775","H19","other"
"Ames 26776","H22w","other"
"Ames 26777","H23w","other"
"Ames 26778","H26w","other"
"Ames 26779","H27w","other"
"Ames 26780","H28w","other"
"Ames 26781","H29w","other"
"Ames 26782","H30w","other"
"Ames 26783","H41","other"
"Ames 26784","H42","other"
"Ames 26785","H45","other"
"Ames 26786","H46","other"
"Ames 26787","H49","other"
"Ames 26788","H50","other"
"Ames 26789","H51","other"
"Ames 26791","H55","other"
"Ames 26793","H71","other"
"Ames 26794","H73","other"
"Ames 26795","H88","other"
"Ames 26796","H93","other"
"Ames 26797","H96","other"
"Ames 26798","H98","other"
"Ames 26800","H106w","other"
"Ames 26801","H108","other"
"Ames 26802","H109","other"
"Ames 26803","H113","other"
"Ames 26804","H121","other"
"Ames 26805","H122w","other"
"Ames 26806","H124w","other"
"Ames 26808","Ill.Hy","other"
"Ames 26812","C3","sweet corn"
"Ames 26813","C5","sweet corn"
"Ames 26815","C30","sweet corn"
"Ames 26909","Mo41","other"
"Ames 27018","CH711-10","other"
"Ames 27019","CH732-12","other"
"Ames 27020","CH741-6","other"
"Ames 27021","CH753-4","other"
"Ames 27024","CL17","other"
"Ames 27025","CL18","other"
"Ames 27026","CL19","other"
"Ames 27029","CL27","other"
"Ames 27031","CM99","other"
"Ames 27032","CM145","other"
"Ames 27034","CM155","other"
"Ames 27036","CM182","other"
"Ames 27037","CM234","other"
"Ames 27038","CMV3","other"
"Ames 27039","CO117","other"
"Ames 27040","CO120","other"
"Ames 27041","CO150","other"
"Ames 27042","CO158","other"
"Ames 27043","CO192","other"
"Ames 27044","CO216","other"
"Ames 27045","CO220","other"
"Ames 27046","CO236","other"
"Ames 27048","CO245","other"
"Ames 27049","CO252","other"
"Ames 27050","CO255","other"
"Ames 27051","CO256","other"
"Ames 27052","CO257","other"
"Ames 27057","CSJ3","other"
"Ames 27065","B73Htrhm","other"
"Ames 27066","B164","other"
"Ames 27067","C49A","other"
"Ames 27068","CH9","other"
"Ames 27069","CH701-30","other"
"Ames 27070","CM7","other"
"Ames 27081","CML 103","other"
"Ames 27082","CML 108","other"
"Ames 27083","CML 154Q","other"
"Ames 27087","CML 220","other"
"Ames 27096","CML 322","other"
"Ames 27097","CML 323","other"
"Ames 27098","CML 328","other"
"Ames 27101","CML 333","other"
"Ames 27104","CMV3","other"
"Ames 27105","CO106","other"
"Ames 27106","CO125","other"
"Ames 27107","CO255","other"
"Ames 27112","F2834T","other"
"Ames 27114","H91","other"
"Ames 27115","I29","other"
"Ames 27116","I137TN","other"
"Ames 27117","Ia5125B","sweet corn"
"Ames 27118","Il14H","sweet corn"
"Ames 27119","Il 101T","sweet corn"
"Ames 27120","Il677a","sweet corn"
"Ames 27121","K64","other"
"Ames 27122","K148","other"
"Ames 27130","Ky21","other"
"Ames 27132","L578","other"
"Ames 27133","M37W","other"
"Ames 27135","MEF156-55-2","other"
"Ames 27136","Mo.G","other"
"Ames 27137","N6","other"
"Ames 27138","N28Ht","other"
"Ames 27140","NC260","other"
"Ames 27141","NC290A","other"
"Ames 27142","NC292","other"
"Ames 27143","NC294","other"
"Ames 27144","NC296","other"
"Ames 27147","NC302","other"
"Ames 27148","NC304","other"
"Ames 27149","NC306","other"
"Ames 27150","NC308","other"
"Ames 27151","NC310","other"
"Ames 27152","NC312","other"
"Ames 27153","NC314","other"
"Ames 27154","NC316","other"
"Ames 27156","NC320","other"
"Ames 27158","NC324","other"
"Ames 27159","NC326","other"
"Ames 27160","NC328","other"
"Ames 27161","NC330","other"
"Ames 27162","NC332","other"
"Ames 27163","NC334","other"
"Ames 27166","NC340","other"
"Ames 27167","NC342","other"
"Ames 27168","NC344","other"
"Ames 27171","NC350","other"
"Ames 27174","NC356","other"
"Ames 27175","NC358","other"
"Ames 27177","NC362","other"
"Ames 27178","NC364","other"
"Ames 27180","NC368","other"
"Ames 27181","NC370","other"
"Ames 27182","NC372","other"
"Ames 27183","Oh43E","other"
"Ames 27184","Pa762","other"
"Ames 27187","R4","other"
"Ames 27188","SA24","popcorn"
"Ames 27190","T234","other"
"Ames 27191","U267Y","other"
"Ames 27192","Va14","other"
"Ames 27193","Va85","other"
"Ames 27194","W401","other"
"Ames 27196","Yu796_NS","other"
"Ames 27444","Il731a","sweet corn"
"Ames 27445","Il767b","sweet corn"
"Ames 27447","Il779a","sweet corn"
"Ames 27450","LH143 (Maintainer)","other"
"Ames 27451","A632.75 A1 A2 C1 R1-r B1 Pl1","other"
"Ames 28170","A619E","other"
"Ames 28185","CML 77","other"
"Ames 28186","P39 Goodman-Buckler","sweet corn"
"Ames 28290","C49","other"
"Ames 28291","Hi27 Goodman-Buckler","other"
"Ames 28360","Mo401","other"
"Ames 28361","Mo402","other"
"Ames 28362","Mo403","other"
"Ames 28364","IA2132 Goodman-Buckler","sweet corn"
"Ames 28365","CI 91B Goodman-Buckler","other"
"Ames 28366","N7A Goodman-Buckler","other"
"Ames 28367","CI 7 Goodman-Buckler","other"
"Ames 28411","NC258A","other"
"Ames 28412","NC262A","other"
"Ames 28413","NC262B","other"
"Ames 28414","NC266","other"
"Ames 28415","NC266B","other"
"Ames 28418","NC276","other"
"Ames 28419","NC278","other"
"Ames 28420","NC278A","other"
"Ames 28421","NC280","other"
"Ames 28422","NC282","other"
"Ames 28423","NC284","other"
"Ames 28424","NC286","other"
"Ames 28425","NC288","other"
"Ames 28426","NC290","other"
"Ames 28927","Mo27W","other"
"Ames 28928","Mo28W","other"
"Ames 28929","Mo29W","other"
"Ames 28930","Mo30W","other"
"Ames 28931","Mo31W","other"
"Ames 28932","Mo32W","other"
"Ames 28933","Mo33W","other"
"Ames 28934","Mo36","other"
"Ames 28935","Mo37","other"
"Ames 28936","Mo38","other"
"Ames 28937","Mo39","other"
"Ames 28938","Mo43","other"
"Ames 28939","Mo44","other"
"Ames 28940","Mo501W","other"
"Ames 28941","Mo502W","other"
"Ames 28942","Mo506W","other"
"Ames 28943","Mo508W","other"
"Ames 28944","Mo510W","other"
"Ames 28945","Mo511W","other"
"Ames 28946","Mo512AW","other"
"Ames 28947","Mo512BW","other"
"Ames 28948","CI 4A","other"
"Ames 28949","CI 12","other"
"Ames 28951","CI 42B","other"
"Ames 28952","CI 43","other"
"Ames 28953","CI 92","other"
"Ames 28970","AD 147 DS","popcorn"
"Ames 28971","AD 139 DS","popcorn"
"Ames 28972","AD 123 DS","popcorn"
"Ames 28973","AD 175","popcorn"
"Ames 28974","AD 104 DS","popcorn"
"Ames 28975","AD 147","popcorn"
"Ames 28976","AD 139 DS??","popcorn"
"Ames 28977","AD 316 DS","popcorn"
"Ames 28978","AD 238 DS","popcorn"
"Ames 28979","AD 230 DS","popcorn"
"Ames 28980","AD 352","popcorn"
"Ames 28981","AD 157 DS","popcorn"
"Ames 28982","AD 187-1","popcorn"
"Ames 28983","AD 187-2","popcorn"
"Ames 28984","AD 284","popcorn"
"Ames 28985","AD 188L","popcorn"
"Ames 28986","AD 402 DS","popcorn"
"Ames 28987","AD 233","popcorn"
"Ames 28988","AD 26 DS","popcorn"
"Ames 28989","AD H10","popcorn"
"Ames 28990","AD 11 DS","popcorn"
"Ames 28991","AD 330","popcorn"
"Ames 28992","AD 363-1","popcorn"
"Ames 28993","AD 363-2","popcorn"
"Ames 28994","AD 188L DS","popcorn"
"Ames 28995","AD 221","popcorn"
"Ames 28996","AD 347 DS-1","popcorn"
"Ames 28997","AD 347 DS-2","popcorn"
"Ames 28998","AD 448 DS","popcorn"
"Ames 28999","AD 440 DS-1","popcorn"
"Ames 29000","AD 440 DS-2","popcorn"
"Ames 29001","AD SA1","popcorn"
"Ames 29002","AD SA2","popcorn"
"Ames 29003","AD SA3","popcorn"
"Ames 29004","AD SA4","popcorn"
"Ames 29005","AD SA5","popcorn"
"Ames 29006","AD SA6","popcorn"
"Ames 29007","AD SA7","popcorn"
"Ames 29008","AD SA8","popcorn"
"Ames 29009","AD SA9","popcorn"
"Ames 29010","AD SA10","popcorn"
"Ames 29011","AD SA11","popcorn"
"Ames 29012","AD SA12","popcorn"
"Ames 29013","AD SA13","popcorn"
"Ames 29014","AD SA14","popcorn"
"Ames 29015","AD SA15","popcorn"
"Ames 29016","AD SA16","popcorn"
"Ames 29017","AD SA17","popcorn"
"Ames 29018","AD SA18","popcorn"
"Ames 29019","AD SA19","popcorn"
"Ames 29020","AD SA20","popcorn"
"Ames 29021","AD SA21","popcorn"
"Ames 29022","AD Sg1501","popcorn"
"Ames 29023","AD Sg1501-1","popcorn"
"Ames 29024","AD Sg1501-2","popcorn"
"Ames 29025","AD Sg1501-3","popcorn"
"Ames 29026","AD Sg1501-4","popcorn"
"Ames 29027","AD Sg1501-5","popcorn"
"Ames 29028","AD Sg1501-6","popcorn"
"Ames 29030","AD 370","popcorn"
"Ames 29394","1497-2","other"
"Ames 29451","GE 440","other"
"Ames 30523","MR02 (Assiniboine)","other"
"Ames 30531","MR14 (Longfellow Flint)","other"
"Ames 30534","MR20 (Shoe Peg) S7","other"
"Ames 30855","CML 325","other"
"Ames 30856","CML 336","other"
"Ames 30857","CML 337","other"
"Ames 30862","NC44","other"
"Ames 30864","NC89","other"
"Ames 31534","CI90C Goodman-Buckler","other"
"Ames 31535","38-11 Goodman-Buckler","other"
"Ames 31537","CI28A Goodman-Buckler","other"
"Ames 32877","A641 Goodman-Buckler","other"
"Ames 8399","W117HT","other"
"CIze 127","CI 127","other"
"CIze 21","CI 21E","other"
"CIze 23","CI 23","other"
"CIze 27","CI 27","other"
"CIze 28","CI 28A","other"
"CIze 29","CI 29B","other"
"CIze 317","CI 317B","other"
"CIze 38","CI 38B","other"
"CIze 40","CI 40A","other"
"CIze 42","CI 42A","other"
"CIze 44","CI 44","other"
"CIze 45","CI45","other"
"CIze 49","CI 49A","other"
"CIze 64","CI 64","other"
"CIze 7","CI7","other"
"CIze 81","CI 81B","other"
"CIze 82","CI 82A","other"
"CIze 83","CI 83A","other"
"CIze 85","CI 85B","other"
"CIze 86","CI 86B","other"
"CIze 88","CI 88A","other"
"CIze 89","CI 89B","other"
"CIze 90","CI90A","other"
"CIze 91","CI 91B","other"
"NSL 117226","R802A","other"
"NSL 15405","5261","sweet corn"
"NSL 174429","INB 101LFY/LFY (A632 X M16 S5)","other"
"NSL 197104","H116","other"
"NSL 197105","H117","other"
"NSL 197106","H118w","other"
"NSL 22628","K47","other"
"NSL 22629","Oh7B","other"
"NSL 22630","K150","other"
"NSL 22631","K11","other"
"NSL 22632","K201","other"
"NSL 22633","KYS","other"
"NSL 22634","K155","other"
"NSL 22635","K41","other"
"NSL 22983","C102","other"
"NSL 22984","J47","other"
"NSL 242483","R105","other"
"NSL 243016","792","other"
"NSL 28965","Oh33","other"
"NSL 28966","Oh40B","other"
"NSL 28967","Oh56A","other"
"NSL 28968","Oh84","other"
"NSL 29282","R901","other"
"NSL 29284","R902A","other"
"NSL 29285","R903B","other"
"NSL 29287","R941","other"
"NSL 29303","R216","other"
"NSL 29304","R216A","other"
"NSL 29305","R218","other"
"NSL 29314","R219","other"
"NSL 29316","R220","other"
"NSL 29317","R221","other"
"NSL 29319","R222","other"
"NSL 29898","R222A","other"
"NSL 30046","B41","other"
"NSL 30053","W22","other"
"NSL 30055","W374R2","other"
"NSL 30056","W703","other"
"NSL 30058","W64A","other"
"NSL 30059","W153R","other"
"NSL 30060","W23","other"
"NSL 30062","W182B","other"
"NSL 30063","W182D","other"
"NSL 30064","W24","other"
"NSL 30065","W9","other"
"NSL 30066","WR3","other"
"NSL 30067","W22R","other"
"NSL 30068","W374B","other"
"NSL 30070","WM13R","other"
"NSL 30071","W32","other"
"NSL 30073","W37A","other"
"NSL 30074","W182E","other"
"NSL 30835","SD10","other"
"NSL 30861","A","other"
"NSL 30862","K","other"
"NSL 30863","L","other"
"NSL 30864","HY2","other"
"NSL 30865","R2","other"
"NSL 30866","R004","other"
"NSL 30867","M14","other"
"NSL 30868","R30","other"
"NSL 30869","R53","other"
"NSL 30871","R061","other"
"NSL 30872","R71","other"
"NSL 30873","R74","other"
"NSL 30874","R75","other"
"NSL 30875","R76","other"
"NSL 30876","R78","other"
"NSL 30877","R84","other"
"NSL 30879","R103","other"
"NSL 30880","R105","other"
"NSL 30883","R113","other"
"NSL 30884","R134","other"
"NSL 30885","R138","other"
"NSL 30888","R154","other"
"NSL 30890","R159","other"
"NSL 30891","R168","other"
"NSL 30895","R181","other"
"NSL 30896","R181B","other"
"NSL 30898","R192","other"
"NSL 30901","R196","other"
"NSL 30902","R197","other"
"NSL 30903","90","other"
"NSL 30904","4226","other"
"NSL 30905","5120B","other"
"NSL 30906","R904A","other"
"NSL 30907","R906","other"
"NSL 30908","R907","other"
"NSL 30909","R909","other"
"NSL 30910","R914","other"
"NSL 30911","R917A","other"
"NSL 30912","R921E","other"
"NSL 30913","R924","other"
"NSL 32720","ND33","other"
"NSL 32721","ND36","other"
"NSL 32722","ND255","other"
"NSL 32723","ND1","other"
"NSL 32725","ND211","other"
"NSL 32726","ND167","other"
"NSL 32727","ND-B8","other"
"NSL 32728","ND230","other"
"NSL 32730","ND405","other"
"NSL 32731","ND385","other"
"NSL 32732","ND203","other"
"NSL 32733","ND376","other"
"NSL 32734","ND408","other"
"NSL 32736","ND480","other"
"NSL 32738","ND283","other"
"NSL 32739","ND474","other"
"NSL 34374","SD15","other"
"NSL 42804","R223","other"
"NSL 42805","R825","sweet corn"
"NSL 42806","R839","sweet corn"
"NSL 42807","R851","sweet corn"
"NSL 42808","R853","sweet corn"
"NSL 42872","A7","other"
"NSL 42873","A12","other"
"NSL 42874","C 14","other"
"NSL 42875","A71","other"
"NSL 42877","A165","other"
"NSL 42878","A171","other"
"NSL 43597","Tx441","other"
"NSL 437871","AusTRCF 305795","other"
"NSL 437877","AusTRCF 305801","other"
"NSL 437878","AusTRCF 305802","other"
"NSL 437879","AusTRCF 305803","other"
"NSL 437890","AusTRCF 305816","other"
"NSL 437891","AusTRCF 305817","other"
"NSL 437893","AusTRCF 305819","other"
"NSL 437895","AusTRCF 305821","other"
"NSL 437896","AusTRCF 305822","other"
"NSL 437897","AusTRCF 305823","other"
"NSL 437903","AusTRCF 305829","other"
"NSL 437905","AusTRCF 305831","other"
"NSL 437907","AusTRCF 305833","other"
"NSL 437908","AusTRCF 305834","other"
"NSL 437909","AusTRCF 305835","other"
"NSL 437910","AusTRCF 305836","other"
"NSL 437913","AusTRCF 305839","other"
"NSL 437914","AusTRCF 305840","other"
"NSL 437915","AusTRCF 305841","other"
"NSL 437920","AusTRCF 305846","other"
"NSL 437923","AusTRCF 305849","other"
"NSL 437925","AusTRCF 306065","other"
"NSL 437928","AusTRCF 306068","other"
"NSL 437929","AusTRCF 306234","other"
"NSL 437930","AusTRCF 306235","other"
"NSL 437931","AusTRCF 306236","other"
"NSL 437933","AusTRCF 306238","other"
"NSL 437934","AusTRCF 306239","other"
"NSL 437935","AusTRCF 306240","other"
"NSL 437936","AusTRCF 306241","other"
