"Year","Tier","Range","Pass","Gen","Pedigree","Source","id"
2015,2,21,21,36,"CM48","Ames 22747","2015_21_21"
2015,2,29,26,280,"4655 INBRED","PI 415089","2015_29_26"
2015,2,25,28,162,"42","PI 233312","2015_25_28"
2015,3,22,38,1225,"AusTRCF 305841","NSL 437915","2015_22_38"
2015,3,27,55,1394,"Va35C","Ames 14115","2015_27_55"
2015,2,38,26,550,"CI 40A","CIze 40","2015_38_26"
2015,3,31,47,1505,"CI 92","Ames 28953","2015_31_47"
2015,2,35,29,463,"A618","Ames 23457","2015_35_29"
2015,2,24,16,121,"IA2132","PI 587134","2015_24_16"
2015,3,26,66,1373,"WXI198","Ames 26747","2015_26_66"
2015,3,20,61,1185,"CI 91C","Ames 26137","2015_20_61"
2015,3,3,39,648,"OQ603","PI 601584","2015_3_39"
2015,2,24,27,131,"MS12","Ames 24706","2015_24_27"
2015,2,22,9,55,"Inbred 6-907","PI 236997","2015_22_9"
2015,2,34,28,432,"A617","Ames 23456","2015_34_28"
2015,3,5,45,716,"SD43","PI 518660","2015_5_45"
2015,2,21,28,43,"ND1","NSL 32723","2015_21_28"
2015,3,40,42,1775,"MR14 (Longfellow Flint)","Ames 30531","2015_40_42"
2015,3,27,68,1406,"AusTRCF 305802","NSL 437878","2015_27_68"
2015,2,37,32,526,"OC4","PI 553057","2015_37_32"
2015,2,31,9,325,"A374","Ames 23427","2015_31_9"
2015,2,30,18,302,"PHJ75","PI 601776","2015_30_18"
2015,3,12,44,928,"PHR47","PI 601572","2015_12_44"
2015,3,7,56,786,"W64A ae","Ames 26767","2015_7_56"
2015,2,22,17,63,"T9","PI 340819","2015_22_17"
2015,2,24,29,133,"C18","Ames 22017","2015_24_29"
2015,2,36,25,490,"Pa392","PI 517968","2015_36_25"
2015,2,25,3,139,"C5","Ames 26813","2015_25_3"
2015,3,35,67,1647,"Hi61","PI 641243","2015_35_67"
2015,2,28,13,239,"W117HT","Ames 8399","2015_28_13"
2015,2,27,28,222,"NJ 159","Ames 22047","2015_27_28"
2015,2,20,18,10,"W 3722","Ames 22054","2015_20_18"
2015,3,12,59,943,"C123","Ames 19313","2015_12_59"
2015,2,20,26,14,"A424","Ames 23434","2015_20_26"
2015,2,34,22,426,"A684su","PI 567792","2015_34_22"
2015,2,20,9,5,"Mt42","Ames 20140","2015_20_9"
2015,3,33,48,1568,"LH60","PI 601404","2015_33_48"
2015,3,8,66,826,"PHN82","PI 601783","2015_8_66"
2015,3,35,55,1636,"AusTRCF 305795","NSL 437871","2015_35_55"
2015,3,17,54,1088,"NC342","Ames 27167","2015_17_54"
2015,2,31,4,320,"A239","Ames 23405","2015_31_4"
2015,3,26,62,1369,"Va35","PI 587150","2015_26_62"
2015,2,35,1,437,"MS100","Ames 24726","2015_35_1"
2015,2,41,6,618,"Mo46","PI 583351","2015_41_6"
2015,3,24,55,1301,"Pa762","Ames 27184","2015_24_55"
2015,3,14,60,1002,"6M502A","PI 546484","2015_14_60"
2015,3,6,58,759,"Yu796_NS","Ames 27196","2015_6_58"
2015,2,30,13,299,"BAI TOU SHUANG IN.(JI 095","PI 405711","2015_30_13"
2015,3,22,51,1238,"PHM10","PI 601778","2015_22_51"
2015,2,28,12,238,"A674","Ames 23498","2015_28_12"
2015,2,40,13,598,"14H-588-68(B)","PI 358523","2015_40_13"
2015,3,36,43,1655,"Va17","Ames 19002","2015_36_43"
2015,3,3,63,672,"WXB14","Ames 26744","2015_3_63"
2015,3,36,63,1675,"TZSTRI113","PI 639937","2015_36_63"
2015,2,20,3,3,"Il14H","Ames 27118","2015_20_3"
2015,3,5,39,710,"27A-317-68(C)","PI 358525","2015_5_39"
2015,3,4,64,703,"E205-1-1-1 INBRED (S5 SYN. ANVELD)","PI 221747","2015_4_64"
2015,2,23,31,105,"S 3","PI 535901","2015_23_31"
2015,2,33,7,383,"AD 175","Ames 28973","2015_33_7"
2015,2,26,21,186,"ND211","NSL 32725","2015_26_21"
2015,3,7,58,788,"SD59","PI 538231","2015_7_58"
2015,2,38,30,554,"CH157","Ames 22441","2015_38_30"
2015,3,30,59,1488,"CI 83A","CIze 83","2015_30_59"
2015,3,21,43,1199,"AusTRCF 306294","NSL 437980","2015_21_43"
2015,2,39,5,560,"MS72","Ames 24713","2015_39_5"
2015,3,23,41,1259,"I198","Ames 24590","2015_23_41"
2015,2,37,12,507,"BO9","PI 601007","2015_37_12"
2015,3,9,46,838,"Va102","PI 587151","2015_9_46"
2015,2,27,8,204,"S 14","PI 369439","2015_27_8"
2015,2,24,9,114,"A223","Ames 23404","2015_24_9"
2015,3,30,55,1484,"GE72","Ames 10255","2015_30_55"
2015,3,38,53,1726,"NO. 1032 INBRED","PI 303928","2015_38_53"
2015,3,10,55,877,"CI 75","Ames 26134","2015_10_55"
2015,2,33,19,393,"CS405","PI 559916","2015_33_19"
2015,3,5,65,736,"W 6366","Ames 22059","2015_5_65"
2015,3,35,39,1621,"CI7","CIze 7","2015_35_39"
2015,2,27,30,224,"ND259","PI 550571","2015_27_30"
2015,2,22,4,50,"226","PI 233314","2015_22_4"
2015,2,35,15,450,"Ms100","Ames 22442","2015_35_15"
2015,3,12,62,944,"OC18","PI 596505","2015_12_62"
2015,3,39,41,1744,"Va12C","Ames 14113","2015_39_41"
2015,2,33,6,382,"IA2132 Goodman-Buckler","Ames 28364","2015_33_6"
2015,2,29,5,261,"A502","Ames 23445","2015_29_5"
2015,3,3,50,659,"R218","NSL 29305","2015_3_50"
2015,3,2,49,636,"A166","Ames 23398","2015_2_49"
2015,3,11,63,915,"NC264","PI 520774","2015_11_63"
2015,3,18,45,1111,"AusTRCF 306236","NSL 437931","2015_18_45"
2015,3,14,65,1007,"Mo45","PI 583350","2015_14_65"
2015,3,39,60,1763,"NC368","Ames 27180","2015_39_60"
2015,2,38,9,533,"MS214","Ames 24743","2015_38_9"
2015,3,23,48,1266,"HB8229","PI 601564","2015_23_48"
2015,2,30,26,310,"P39M96","Ames 22048","2015_30_26"
2015,3,11,54,907,"NY 159 (Neveh Yaar)","PI 200182","2015_11_54"
2015,2,38,19,543,"CH9","Ames 27068","2015_38_19"
2015,2,30,20,304,"A662","PI 607522","2015_30_20"
2015,3,19,58,1152,"P8","Ames 26021","2015_19_58"
2015,3,13,41,955,"H71","Ames 26793","2015_13_41"
2015,3,7,43,773,"Os420","NSL 65874","2015_7_43"
2015,2,31,19,333,"A625","Ames 23461","2015_31_19"
2015,3,33,44,1564,"CML 323","Ames 27097","2015_33_44"
2015,3,4,55,694,"B21","NSL 65868","2015_4_55"
2015,2,39,19,574,"Chi-tan 120","PI 427111","2015_39_19"
2015,2,22,26,72,"Prior B","PI 433486","2015_22_26"
2015,3,21,44,1200,"AusTRCF 306344","NSL 438030","2015_21_44"
2015,2,38,29,553,"Ill 101Q","Ames 22033","2015_38_29"
2015,2,34,23,427,"Ms71","PI 587137","2015_34_23"
2015,2,39,6,561,"MS79","Ames 24719","2015_39_6"
2015,3,15,54,1027,"STRAIN T33-399-68(B)","PI 358538","2015_15_54"
2015,3,9,50,842,"MS67","Ames 24710","2015_9_50"
2015,3,30,49,1478,"AD SA15","Ames 29015","2015_30_49"
2015,3,25,62,1338,"AusTRCF 306290","NSL 437976","2015_25_62"
2015,2,37,4,500,"A682","PI 587143","2015_37_4"
2015,2,39,8,563,"MS211","Ames 24742","2015_39_8"
2015,2,36,32,496,"4F-234 BX 4","PI 198892","2015_36_32"
2015,3,23,59,1275,"Mo32W","Ames 28932","2015_23_59"
2015,3,30,64,1492,"CI 34","Ames 26127","2015_30_64"
2015,2,37,2,498,"A686su","PI 567794","2015_37_2"
2015,2,30,29,313,"SD57","PI 538235","2015_30_29"
2015,2,21,15,30,"Me 121 Wa","Ames 22039","2015_21_15"
2015,2,26,12,177,"Prior C","PI 433487","2015_26_12"
2015,2,30,19,303,"PHN37","PI 601781","2015_30_19"
2015,2,21,24,39,"A401","Ames 23430","2015_21_24"
2015,3,21,64,1219,"R159","NSL 30890","2015_21_64"
2015,2,35,22,457,"A310","Ames 23419","2015_35_22"
2015,2,30,5,291,"A13-2 INBRED (POTCHEFSTROOM PEARL)","PI 221733","2015_30_5"
2015,2,24,19,124,"A646","Ames 23481","2015_24_19"
2015,3,10,39,862,"52220","Ames 2336","2015_10_39"
2015,2,28,4,230,"A322","Ames 23422","2015_28_4"
2015,3,24,47,1295,"H46","Ames 26786","2015_24_47"
2015,3,22,47,1234,"NO. 1026 INBRED","PI 303927","2015_22_47"
2015,2,26,16,181,"W182B","NSL 30062","2015_26_16"
2015,3,12,47,931,"H84","PI 587128","2015_12_47"
2015,2,30,32,316,"LH160","PI 539920","2015_30_32"
2015,3,10,49,871,"R802A","NSL 117226","2015_10_49"
2015,2,23,20,95,"PHK05","PI 601467","2015_23_20"
2015,2,37,25,520,"Oh43","Ames 19288","2015_37_25"
