"ID","Pedigree","INDV","F_MISS","Comments_isu_gb","Comments_note"
"Ames 24714","MS74","Ames24714:250034680",0.203347,"other","ok"
"Ames 24715","MS75","Ames24715:250034679",0.165418,"other","ok"
"Ames 24716","MS76","Ames24716:250032388",0.119161,"other","ok"
"Ames 24717","MS77","Ames24717:250032544",0.446183,"other","ok"
"Ames 24718","MS78","Ames24718:250034760",0.0939494,"other","ok"
"Ames 24719","MS79","Ames24719:250032587",0.109197,"other","ok"
"Ames 24720","MS80","Ames24720:250040775",0.140377,"other","ok"
"Ames 24722","MS89","Ames24722:250034811",0.169983,"other","ok"
"Ames 24723","MS91","Ames24723:250032269",0.267571,"other","ok"
"Ames 24724","MS92","Ames24724:250032567",0.197651,"other","ok"
"Ames 24725","MS93","Ames24725:250032585",0.217533,"other","ok"
"Ames 24726","MS100","Ames24726:250034803",0.21941,"other","ok"
"Ames 24727","MS106","Ames24727:250032402",0.195569,"other","ok"
"Ames 24728","MS107","Ames24728:250041472",0.305872,"other","ok"
"Ames 24729","MS116","Ames24729:250033552",0.359566,"other","ok"
"Ames 24730","MS132","Ames24730:250033197",0.166063,"other","ok"
"Ames 24732","MS141","Ames24732:250032433",0.350114,"other","ok"
"Ames 24733","MS142","Ames24733:250032570",0.258592,"other","ok"
"Ames 24734","MS153","Ames24734:250034693",0.359696,"other","ok"
"Ames 24735","MS198","Ames24735:250032583",0.118657,"other","ok"
"Ames 24736","MS199","Ames24736:250034855",0.204281,"other","ok"
"Ames 24737","MS200","Ames24737:250032445",0.270128,"other","ok"
"Ames 24738","MS201","Ames24738:250032546",0.160757,"other","ok"
"Ames 24739","MS203","Ames24739:250033603",0.182572,"other","ok"
"Ames 24740","MS204","Ames24740:250032380",0.249307,"other","ok"
"Ames 24741","MS206","Ames24741:250032409",0.388542,"other","ok"
"Ames 24742","MS211","Ames24742:250032447",0.2812,"other","ok"
"Ames 24743","MS214","Ames24743:250032553",0.204391,"other","ok"
"Ames 24744","MS215","Ames24744:250034928",0.25937,"other","ok"
"Ames 24745","MS216","Ames24745:250032439",0.200802,"other","ok"
"Ames 24746","MS221","Ames24746:250034629",0.15563,"other","ok"
"Ames 24747","MS222","Ames24747:250032582",0.178078,"other","ok"
"Ames 24748","MS223","Ames24748:250032522",0.168485,"other","ok"
"Ames 24749","MS224","Ames24749:250034839",0.188771,"other","ok"
"Ames 24750","MS225","Ames24750:250040794",0.130716,"other","ok"
"Ames 24751","MS226","Ames24751:250032432",0.164731,"other","ok"
"Ames 24752","MS1334","Ames24752:250032512",0.272956,"other","ok"
"Ames 24989","Va99","Ames24989:250033695",0.162554,"other","ok"
"Ames 25219","A619Ht1","Ames25219:250034741",0.104419,"other","ok"
"Ames 25220","A619Ht2","Ames25220:250033789",0.105893,"other","ok"
"Ames 25221","A619Ht3","Ames25221:250033683",0.104949,"other","ok"
"Ames 2523","38-11R PARENT HB 19 INB","Ames2523:250032199",0.16825,"other","ok"
"Ames 25372","Pa91HT1","Ames25372:250034986",0.133901,"other","ok"
"Ames 25373","Pa91HT2","Ames25373:250035128",0.141447,"other","ok"
"Ames 25374","Pa91HT3","Ames25374:250031254",0.146219,"other","ok"
"Ames 25559","H60","Ames25559:250031530",0.206564,"other","ok"
"Ames 26021","P8","Ames26021:250034725",0.274897,"other","ok"
"Ames 26028","CI 540","Ames26028:250031141",0.16802,"other","ok"
"Ames 26114","CI 1","Ames26114:250031311",0.285549,"other","ok"
"Ames 26115","CI 2","Ames26115:250035120",0.215833,"other","ok"
"Ames 26116","CI 3A","Ames26116:250031049",0.213922,"other","ok"
"Ames 26118","CI 11B","Ames26118:250035054",0.276606,"other","ok"
"Ames 26119","CI 19","Ames26119:250035075",0.338413,"other","ok"
"Ames 26120","CI 20","Ames26120:250034828",0.316052,"other","ok"
"Ames 26121","CI 28","Ames26121:250034981",0.166659,"other","ok"
"Ames 26122","CI 28B","Ames26122:250031069",0.165701,"other","ok"
"Ames 26123","CI 28C","Ames26123:250031140",0.189912,"other","ok"
"Ames 26124","CI 30","Ames26124:250031025",0.201694,"other","ok"
"Ames 26125","CI 31","Ames26125:250034887",0.216787,"other","ok"
"Ames 26126","CI 32","Ames26126:250031190",0.175573,"other","ok"
"Ames 26127","CI 34","Ames26127:250031185",0.217536,"other","ok"
"Ames 26128","CI 40H","Ames26128:250034974",0.205212,"other","ok"
"Ames 26129","CI 41","Ames26129:250031037",0.361813,"other","ok"
"Ames 26130","CI 46","Ames26130:250034927",0.2912,"other","ok"
"Ames 26131","CI 70","Ames26131:250030993",0.334937,"other","ok"
"Ames 26133","CI 74","Ames26133:250035052",0.34974,"other","ok"
"Ames 26134","CI 75","Ames26134:250034953",0.215631,"other","ok"
"Ames 26135","CI 82B","Ames26135:250035082",0.310327,"other","ok"
"Ames 26136","CI 84B","Ames26136:250034994",0.29482,"other","ok"
"Ames 26137","CI 91C","Ames26137:250034934",0.281223,"other","ok"
"Ames 26138","CI 187-2","Ames26138:250033099",0.122494,"other","ok"
"Ames 26604","38-11","Ames26604:250033399",0.131759,"other","ok"
"Ames 26741","WX187-2","Ames26741:250033839",0.15709,"other","ok"
"Ames 26742","WX33-16","Ames26742:250033733",0.17039,"other","ok"
"Ames 26743","WX38-11","Ames26743:250033792",0.138417,"other","ok"
"Ames 26744","WXB14","Ames26744:250031397",0.0727072,"other","ok"
"Ames 26745","WXB6","Ames26745:250033805",0.222817,"other","ok"
"Ames 26746","WXHy","Ames26746:250031582",0.129353,"other","ok"
"Ames 26747","WXI198","Ames26747:250031650",0.22551,"other","ok"
"Ames 26748","WXI205","Ames26748:250033721",0.187141,"other","ok"
"Ames 26749","WXK41","Ames26749:250031315",0.300813,"other","ok"
"Ames 26750","WXK44","Ames26750:250031251",0.28029,"other","ok"
"Ames 26751","WXK55","Ames26751:250031420",0.142124,"other","ok"
"Ames 26752","WXK64","Ames26752:250033652",0.156347,"other","ok"
"Ames 26753","WXL289","Ames26753:250031692",0.40352,"other","ok"
"Ames 26754","WXL317","Ames26754:250033799",0.173792,"other","ok"
"Ames 26755","WXM14","Ames26755:250031580",0.141043,"other","ok"
"Ames 26756","WXOs420","Ames26756:250031933",0.186695,"other","ok"
"Ames 26757","WXW22","Ames26757:250033725",0.110508,"other","ok"
"Ames 26758","WXWF9","Ames26758:250040763",0.0996603,"other","ok"
"Ames 26767","W64A ae","Ames26767:250031459",0.104885,"other","ok"
"Ames 26768","W64A ae/wx","Ames26768:250033856",0.10996,"other","ok"
"Ames 26770","66","Ames26770:250031038",0.263097,"other","ok"
"Ames 26771","33-16","Ames26771:250032036",0.168298,"other","ok"
"Ames 26772","H5","Ames26772:250031327",0.14297,"other","ok"
"Ames 26773","H10","Ames26773:250031015",0.125362,"other","ok"
"Ames 26774","H14","Ames26774:250033529",0.223487,"other","ok"
"Ames 26775","H19","Ames26775:250034670",0.371283,"other","ok"
"Ames 26776","H22w","Ames26776:250031156",0.324932,"other","ok"
"Ames 26777","H23w","Ames26777:250034976",0.228728,"other","ok"
"Ames 26778","H26w","Ames26778:250034568",0.294554,"other","ok"
"Ames 26779","H27w","Ames26779:250035088",0.253958,"other","ok"
"Ames 26780","H28w","Ames26780:250035068",0.189066,"other","ok"
"Ames 26781","H29w","Ames26781:250034873",0.157189,"other","ok"
"Ames 26782","H30w","Ames26782:250031073",0.139468,"other","ok"
"Ames 26783","H41","Ames26783:250033734",0.177884,"other","ok"
"Ames 26784","H42","Ames26784:250031694",0.127417,"other","ok"
"Ames 26785","H45","Ames26785:250033820",0.123599,"other","ok"
"Ames 26786","H46","Ames26786:250031382",0.135642,"other","ok"
"Ames 26787","H49","Ames26787:250033850",0.15186,"other","ok"
"Ames 26788","H50","Ames26788:250031403",0.136383,"other","ok"
"Ames 26789","H51","Ames26789:250031618",0.161525,"other","ok"
"Ames 26791","H55","Ames26791:250031494",0.143037,"other","ok"
"Ames 26793","H71","Ames26793:250033860",0.122367,"other","ok"
"Ames 26794","H73","Ames26794:250034719",0.241967,"other","ok"
"Ames 26795","H88","Ames26795:250031691",0.135821,"other","ok"
"Ames 26796","H93","Ames26796:250031437",0.0897616,"other","ok"
"Ames 26797","H96","Ames26797:250031511",0.148115,"other","ok"
"Ames 26798","H98","Ames26798:250031326",0.122414,"other","ok"
"Ames 26800","H106w","Ames26800:250031557",0.161217,"other","ok"
"Ames 26801","H108","Ames26801:250033801",0.0833468,"other","ok"
"Ames 26802","H109","Ames26802:250033803",0.0779369,"other","ok"
"Ames 26803","H113","Ames26803:250033724",0.188868,"other","ok"
"Ames 26804","H121","Ames26804:250031495",0.228233,"other","ok"
"Ames 26805","H122w","Ames26805:250031585",0.0758054,"other","ok"
"Ames 26806","H124w","Ames26806:250031307",0.221414,"other","ok"
"Ames 26808","Ill.Hy","Ames26808:250040784",0.12801,"other","ok"
"Ames 26909","Mo41","Ames26909:250031122",0.101745,"other","ok"
"Ames 27018","CH711-10","Ames27018:250033460",0.113929,"other","ok"
"Ames 27019","CH732-12","Ames27019:250032438",0.126086,"other","ok"
"Ames 27020","CH741-6","Ames27020:250032550",0.131229,"other","ok"
"Ames 27021","CH753-4","Ames27021:250032463",0.0992427,"other","ok"
"Ames 27024","CL17","Ames27024:250034749",0.279104,"other","ok"
"Ames 27025","CL18","Ames27025:250035226",0.331542,"other","ok"
"Ames 27026","CL19","Ames27026:250032509",0.324629,"other","ok"
"Ames 27029","CL27","Ames27029:250032586",0.346739,"other","ok"
"Ames 27031","CM99","Ames27031:250035268",0.0890143,"other","ok"
"Ames 27032","CM145","Ames27032:250034602",0.180142,"other","ok"
"Ames 27034","CM155","Ames27034:250032150",0.0952722,"other","ok"
"Ames 27036","CM182","Ames27036:250032304",0.237987,"other","ok"
"Ames 27037","CM234","Ames27037:250035251",0.334448,"other","ok"
"Ames 27038","CMV3","Ames27038:250035232",0.173228,"other","ok"
"Ames 27039","CO117","Ames27039:250032217",0.199268,"other","ok"
"Ames 27040","CO120","Ames27040:250032261",0.297378,"other","ok"
"Ames 27041","CO150","Ames27041:250035261",0.238383,"other","ok"
"Ames 27042","CO158","Ames27042:250035195",0.328658,"other","ok"
"Ames 27043","CO192","Ames27043:250032216",0.281387,"other","ok"
"Ames 27044","CO216","Ames27044:250032325",0.442967,"other","ok"
"Ames 27045","CO220","Ames27045:250035267",0.0885013,"other","ok"
"Ames 27046","CO236","Ames27046:250035213",0.244474,"other","ok"
"Ames 27048","CO245","Ames27048:250032326",0.237552,"other","ok"
"Ames 27049","CO252","Ames27049:250035190",0.211502,"other","ok"
"Ames 27050","CO255","Ames27050:250035187",0.357977,"other","ok"
"Ames 27051","CO256","Ames27051:250032283",0.195171,"other","ok"
"Ames 27052","CO257","Ames27052:250035197",0.16487,"other","ok"
"Ames 27053","CO258","Ames27053:250032316",0.164537,"other","ok"
"Ames 27057","CSJ3","Ames27057:250040778",0.154357,"other","ok"
"Ames 27064","A441-5","Ames27064:250032809",0.356809,"other","ok"
"Ames 27065","B73Htrhm","Ames27065:250031573",0.0174857,"other","ok"
"Ames 27066","B164","Ames27066:250032840",0.210391,"other","ok"
"Ames 27067","C49A","Ames27067:250034603",0.211279,"other","ok"
"Ames 27068","CH9","Ames27068:250034794",0.189093,"other","ok"
"Ames 27069","CH701-30","Ames27069:250032425",0.275392,"other","ok"
"Ames 27070","CM7","Ames27070:250032341",0.244097,"other","ok"
"Ames 27081","CML 103","Ames27081:250033463",0.124893,"other","ok"
"Ames 27082","CML 108","Ames27082:250032044",0.164362,"other","ok"
"Ames 27083","CML 154Q","Ames27083:250032026",0.185011,"other","ok"
"Ames 27087","CML 220","Ames27087:250033483",0.238008,"other","ok"
"Ames 27096","CML 322","Ames27096:250033461",0.111763,"other","ok"
