"ID_cleanformat","ID","Pedigree","Comments_isu_gb","Comments_note"
"ames19284","Ames 19284","C103","other","ok"
"ames19287","Ames 19287","Mo17TRf","other","ok"
"ames19288","Ames 19288","Oh43","other","ok"
"ames19293","Ames 19293","Wf9","other","ok"
"ames19308","Ames 19308","A634","other","ok"
"ames19309","Ames 19309","A635","other","ok"
"ames19311","Ames 19311","A641","other","ok"
"ames19313","Ames 19313","C123","other","ok"
"ames19316","Ames 19316","CM174","other","ok"
"ames19318","Ames 19318","H107","other","ok"
"ames19319","Ames 19319","H95","other","ok"
"ames19321","Ames 19321","N28","other","ok"
"ames19323","Ames 19323","Oh7B","other","ok"
"ames19324","Ames 19324","Pa871","other","ok"
"ames19326","Ames 19326","R168","other","ok"
"ames19327","Ames 19327","Tx303","other","ok"
"ames19328","Ames 19328","Va22","other","ok"
"ames19330","Ames 19330","W182B","other","ok"
"ames20118","Ames 20118","Mo25W","other","ok"
"ames20120","Ames 20120","Mo42","other","ok"
"ames20136","Ames 20136","H21W","other","ok"
"ames20137","Ames 20137","H25W","other","ok"
"ames20140","Ames 20140","Mt42","other","ok"
"ames20190","Ames 20190","CM37","other","ok"
"ames21095","Ames 21095","R12","other","ok"
"ames21096","Ames 21096","R35","other","ok"
"ames21512","Ames 21512","CI31A","other","ok"
"ames22011","Ames 22011","C5 Ark 1956","sweet corn","ok"
"ames22012","Ames 22012","C7","sweet corn","ok"
"ames22013","Ames 22013","C7e","sweet corn","ok"
"ames22014","Ames 22014","C8 pseudo","sweet corn","ok"
"ames22015","Ames 22015","C12-1","sweet corn","ok"
"ames22016","Ames 22016","C15","sweet corn","ok"
"ames22017","Ames 22017","C18","sweet corn","ok"
"ames22018","Ames 22018","C22","sweet corn","ok"
"ames22019","Ames 22019","C27","sweet corn","ok"
"ames22020","Ames 22020","C31","sweet corn","ok"
"ames22021","Ames 22021","C38","sweet corn","ok"
"ames22022","Ames 22022","C40","sweet corn","ok"
"ames22023","Ames 22023","C68","sweet corn","ok"
"ames22024","Ames 22024","C90","sweet corn","ok"
"ames22025","Ames 22025","Ia CG4189","sweet corn","ok"
"ames22026","Ames 22026","Ia Ev191","sweet corn","ok"
"ames22027","Ames 22027","Ia Ev3004","sweet corn","ok"
"ames22028","Ames 22028","Ia 2003","sweet corn","ok"
"ames22029","Ames 22029","Ia 2076","sweet corn","ok"
"ames22030","Ames 22030","Ia453","sweet corn","ok"
"ames22031","Ames 22031","Ia 5145","sweet corn","ok"
"ames22032","Ames 22032","IP 39","sweet corn","ok"
"ames22033","Ames 22033","Ill 101Q","sweet corn","ok"
"ames22034","Ames 22034","M 23","sweet corn","ok"
"ames22035","Ames 22035","M 45","sweet corn","ok"
"ames22036","Ames 22036","Ma32","sweet corn","ok"
"ames22037","Ames 22037","Me 1","sweet corn","ok"
"ames22038","Ames 22038","Me 100","sweet corn","ok"
"ames22039","Ames 22039","Me 121 Wa","sweet corn","ok"
"ames22040","Ames 22040","Me 123","sweet corn","ok"
"ames22041","Ames 22041","Me 135","sweet corn","ok"
"ames22042","Ames 22042","Me 244 Wa","sweet corn","ok"
"ames22043","Ames 22043","Me 244 Wb","sweet corn","ok"
"ames22044","Ames 22044","NJ 112","sweet corn","ok"
"ames22045","Ames 22045","NJ 116 Wa","sweet corn","ok"
"ames22046","Ames 22046","NJ 116 Wb","sweet corn","ok"
"ames22047","Ames 22047","NJ 159","sweet corn","ok"
"ames22048","Ames 22048","P39M96","sweet corn","ok"
"ames22049","Ames 22049","P51","sweet corn","ok"
"ames22050","Ames 22050","P51wx","sweet corn","ok"
"ames22051","Ames 22051","W 1736","sweet corn","ok"
"ames22052","Ames 22052","W 3607","sweet corn","ok"
"ames22053","Ames 22053","W 3647","sweet corn","ok"
"ames22054","Ames 22054","W 3722","sweet corn","ok"
"ames22055","Ames 22055","W 3742","sweet corn","ok"
"ames22056","Ames 22056","W 5543","sweet corn","ok"
"ames22057","Ames 22057","W 5552","sweet corn","ok"
"ames22058","Ames 22058","W 5579","sweet corn","ok"
"ames22059","Ames 22059","W 6366","sweet corn","ok"
"ames22060","Ames 22060","W 6462","sweet corn","ok"
"ames22061","Ames 22061","W 6714","sweet corn","ok"
"ames22062","Ames 22062","W 6720-1","sweet corn","ok"
"ames22064","Ames 22064","W 6728","sweet corn","ok"
"ames22065","Ames 22065","W 6757","sweet corn","ok"
"ames22066","Ames 22066","W 6786","sweet corn","ok"
"ames22067","Ames 22067","W 7151","sweet corn","ok"
"ames22439","Ames 22439","A73","other","ok"
"ames22440","Ames 22440","CI90C","other","ok"
"ames22441","Ames 22441","CH157","other","ok"
"ames22442","Ames 22442","Ms100","other","ok"
"ames22747","Ames 22747","CM48","other","ok"
"ames22748","Ames 22748","H100","other","ok"
"ames22750","Ames 22750","H112","other","ok"
"ames22751","Ames 22751","H114","other","ok"
"ames22752","Ames 22752","H119","other","ok"
"ames22753","Ames 22753","H123","other","ok"
"ames22754","Ames 22754","K55","other","ok"
"ames22756","Ames 22756","Os426","other","ok"
"ames22757","Ames 22757","Pa405","other","ok"
"ames22759","Ames 22759","Tx29A","other","ok"
"ames22760","Ames 22760","Tx71","other","ok"
"ames22762","Ames 22762","Tx118","other","ok"
"ames22765","Ames 22765","Tx738","other","ok"
"ames22766","Ames 22766","Tx817w","other","ok"
"ames22767","Ames 22767","W59E","other","ok"
"ames22792","Ames 22792","ABPl 2","other","ok"
"ames22793","Ames 22793","ABPl 4","other","ok"
"ames22794","Ames 22794","ABPl 5","other","ok"
"ames2327","Ames 2327","Lai 1029","other","ok"
"ames2328","Ames 2328","North 7","other","ok"
"ames2329","Ames 2329","SW 322","other","ok"
"ames2330","Ames 2330","East 028","other","ok"
"ames2331","Ames 2331","Yellow 3-4","other","ok"
"ames2332","Ames 2332","Bei 10 = North 10","other","ok"
"ames2333","Ames 2333","Yong 28","other","ok"
"ames2334","Ames 2334","Yong 28 (br2)","other","ok"
"ames2335","Ames 2335","Ye 4","other","ok"
"ames2336","Ames 2336","52220","other","ok"
"ames2337","Ames 2337","Huanyao","other","ok"
"ames2338","Ames 2338","(Twan x Tzuh)-S6","other","ok"
"ames23389","Ames 23389","A15","other","ok"
"ames2339","Ames 2339","Huobai","other","ok"
"ames23391","Ames 23391","A34","other","ok"
"ames23392","Ames 23392","A90","other","ok"
"ames23393","Ames 23393","A96","other","ok"
"ames23394","Ames 23394","A116","other","ok"
"ames23395","Ames 23395","A152","other","ok"
"ames23396","Ames 23396","A155","other","ok"
"ames23397","Ames 23397","A158","other","ok"
"ames23398","Ames 23398","A166","other","ok"
"ames23399","Ames 23399","A201","other","ok"
"ames2340","Ames 2340","WFg 3-9","other","ok"
"ames23400","Ames 23400","A203","other","ok"
"ames23401","Ames 23401","A204","other","ok"
"ames23402","Ames 23402","A208","other","ok"
"ames23403","Ames 23403","A218","other","ok"
"ames23404","Ames 23404","A223","other","ok"
"ames23405","Ames 23405","A239","other","ok"
"ames23406","Ames 23406","A251","other","ok"
"ames23407","Ames 23407","A257","other","ok"
"ames23408","Ames 23408","A260","other","ok"
"ames23409","Ames 23409","A264","other","ok"
"ames2341","Ames 2341","S330","other","ok"
"ames23410","Ames 23410","A265","other","ok"
"ames23413","Ames 23413","A286","other","ok"
"ames23414","Ames 23414","A288","other","ok"
"ames23415","Ames 23415","A295","other","ok"
"ames23417","Ames 23417","A305","other","ok"
"ames23418","Ames 23418","A308","other","ok"
"ames23419","Ames 23419","A310","other","ok"
"ames23420","Ames 23420","A312","other","ok"
"ames23421","Ames 23421","A321","other","ok"
"ames23422","Ames 23422","A322","other","ok"
"ames23423","Ames 23423","A334","other","ok"
"ames23424","Ames 23424","A340","other","ok"
"ames23425","Ames 23425","A344","other","ok"
"ames23426","Ames 23426","A357","other","ok"
"ames23427","Ames 23427","A374","other","ok"
"ames23428","Ames 23428","A375","other","ok"
"ames23429","Ames 23429","A385","other","ok"
"ames23430","Ames 23430","A401","other","ok"
"ames23431","Ames 23431","A407","other","ok"
"ames23433","Ames 23433","A422","other","ok"
"ames23434","Ames 23434","A424","other","ok"
"ames23435","Ames 23435","A427","other","ok"
"ames23436","Ames 23436","A449","other","ok"
"ames23437","Ames 23437","A450","other","ok"
"ames23438","Ames 23438","A451","other","ok"
"ames23439","Ames 23439","A480","other","ok"
"ames23440","Ames 23440","A495","other","ok"
"ames23441","Ames 23441","A497","other","ok"
"ames23442","Ames 23442","A498","other","ok"
"ames23443","Ames 23443","A499","other","ok"
"ames23444","Ames 23444","A500","other","ok"
"ames23445","Ames 23445","A502","other","ok"
"ames23446","Ames 23446","A508","other","ok"
"ames23447","Ames 23447","A509","other","ok"
"ames23448","Ames 23448","A547","other","ok"
"ames23449","Ames 23449","A548","other","ok"
"ames23450","Ames 23450","A556","other","ok"
"ames23451","Ames 23451","A572","other","ok"
"ames23452","Ames 23452","A575","other","ok"
"ames23455","Ames 23455","A588","other","ok"
"ames23456","Ames 23456","A617","other","ok"
"ames23457","Ames 23457","A618","other","ok"
"ames23458","Ames 23458","A619HT","other","ok"
"ames23459","Ames 23459","A622","other","ok"
"ames23460","Ames 23460","A624","other","ok"
"ames23461","Ames 23461","A625","other","ok"
"ames23463","Ames 23463","A627","other","ok"
"ames23464","Ames 23464","A628","other","ok"
"ames23465","Ames 23465","A629","other","ok"
"ames23466","Ames 23466","A630","other","ok"
"ames23467","Ames 23467","A631","other","ok"
"ames23468","Ames 23468","A632HT","other","ok"
"ames23469","Ames 23469","A632HTN","other","ok"
"ames23470","Ames 23470","A632RpRp","other","ok"
"ames23471","Ames 23471","A633","other","ok"
"ames23473","Ames 23473","A635RpRp","other","ok"
"ames23474","Ames 23474","A636","other","ok"
"ames23475","Ames 23475","A637","other","ok"
"ames23476","Ames 23476","A638","other","ok"
"ames23477","Ames 23477","A640","other","ok"
"ames23478","Ames 23478","A643","other","ok"
"ames23479","Ames 23479","A644","other","ok"
"ames23480","Ames 23480","A645","other","ok"
"ames23481","Ames 23481","A646","other","ok"
"ames23482","Ames 23482","A649","other","ok"
"ames23483","Ames 23483","A650","other","ok"
"ames23484","Ames 23484","A651","other","ok"
"ames23485","Ames 23485","A652","other","ok"
"ames23486","Ames 23486","A653","other","ok"
"ames23487","Ames 23487","A655","other","ok"
"ames23488","Ames 23488","A656","other","ok"
"ames23490","Ames 23490","A666","other","ok"
"ames23491","Ames 23491","A667","other","ok"
"ames23492","Ames 23492","A668","other","ok"
"ames23493","Ames 23493","A669","other","ok"
"ames23494","Ames 23494","A670","other","ok"
"ames23495","Ames 23495","A671","other","ok"
"ames23496","Ames 23496","A672","other","ok"
