"ID_cleanformat","ID","Pedigree","Comments_isu_gb","Comments_note"
"ames28423","Ames 28423","NC284","other","ok"
"ames28424","Ames 28424","NC286","other","ok"
"ames28425","Ames 28425","NC288","other","ok"
"ames28426","Ames 28426","NC290","other","ok"
"ames28927","Ames 28927","Mo27W","other","ok"
"ames28928","Ames 28928","Mo28W","other","ok"
"ames28929","Ames 28929","Mo29W","other","ok"
"ames28930","Ames 28930","Mo30W","other","ok"
"ames28931","Ames 28931","Mo31W","other","ok"
"ames28932","Ames 28932","Mo32W","other","ok"
"ames28933","Ames 28933","Mo33W","other","ok"
"ames28934","Ames 28934","Mo36","other","ok"
"ames28935","Ames 28935","Mo37","other","ok"
"ames28936","Ames 28936","Mo38","other","ok"
"ames28937","Ames 28937","Mo39","other","ok"
"ames28938","Ames 28938","Mo43","other","ok"
"ames28939","Ames 28939","Mo44","other","ok"
"ames28940","Ames 28940","Mo501W","other","ok"
"ames28941","Ames 28941","Mo502W","other","ok"
"ames28942","Ames 28942","Mo506W","other","ok"
"ames28943","Ames 28943","Mo508W","other","ok"
"ames28944","Ames 28944","Mo510W","other","ok"
"ames28945","Ames 28945","Mo511W","other","ok"
"ames28946","Ames 28946","Mo512AW","other","ok"
"ames28947","Ames 28947","Mo512BW","other","ok"
"ames28948","Ames 28948","CI 4A","other","ok"
"ames28949","Ames 28949","CI 12","other","ok"
"ames28951","Ames 28951","CI 42B","other","ok"
"ames28952","Ames 28952","CI 43","other","ok"
"ames28953","Ames 28953","CI 92","other","ok"
"ames28957","Ames 28957","Hi38 C1","sweet corn","ok"
"ames28970","Ames 28970","AD 147 DS","popcorn","ok"
"ames28971","Ames 28971","AD 139 DS","popcorn","ok"
"ames28972","Ames 28972","AD 123 DS","popcorn","ok"
"ames28973","Ames 28973","AD 175","popcorn","ok"
"ames28974","Ames 28974","AD 104 DS","popcorn","ok"
"ames28975","Ames 28975","AD 147","popcorn","ok"
"ames28977","Ames 28977","AD 316 DS","popcorn","ok"
"ames28978","Ames 28978","AD 238 DS","popcorn","ok"
"ames28979","Ames 28979","AD 230 DS","popcorn","ok"
"ames28980","Ames 28980","AD 352","popcorn","ok"
"ames28981","Ames 28981","AD 157 DS","popcorn","ok"
"ames28982","Ames 28982","AD 187-1","popcorn","ok"
"ames28984","Ames 28984","AD 284","popcorn","ok"
"ames28985","Ames 28985","AD 188L","popcorn","ok"
"ames28986","Ames 28986","AD 402 DS","popcorn","ok"
"ames28987","Ames 28987","AD 233","popcorn","ok"
"ames28988","Ames 28988","AD 26 DS","popcorn","ok"
"ames28989","Ames 28989","AD H10","popcorn","ok"
"ames28990","Ames 28990","AD 11 DS","popcorn","ok"
"ames28991","Ames 28991","AD 330","popcorn","ok"
"ames28992","Ames 28992","AD 363-1","popcorn","ok"
"ames28994","Ames 28994","AD 188L DS","popcorn","ok"
"ames28995","Ames 28995","AD 221","popcorn","ok"
"ames28996","Ames 28996","AD 347 DS-1","popcorn","ok"
"ames28998","Ames 28998","AD 448 DS","popcorn","ok"
"ames28999","Ames 28999","AD 440 DS-1","popcorn","ok"
"ames29001","Ames 29001","AD SA1","popcorn","ok"
"ames29002","Ames 29002","AD SA2","popcorn","ok"
"ames29003","Ames 29003","AD SA3","popcorn","ok"
"ames29005","Ames 29005","AD SA5","popcorn","ok"
"ames29006","Ames 29006","AD SA6","popcorn","ok"
"ames29007","Ames 29007","AD SA7","popcorn","ok"
"ames29008","Ames 29008","AD SA8","popcorn","ok"
"ames29009","Ames 29009","AD SA9","popcorn","ok"
"ames29010","Ames 29010","AD SA10","popcorn","ok"
"ames29011","Ames 29011","AD SA11","popcorn","ok"
"ames29012","Ames 29012","AD SA12","popcorn","ok"
"ames29013","Ames 29013","AD SA13","popcorn","ok"
"ames29014","Ames 29014","AD SA14","popcorn","ok"
"ames29015","Ames 29015","AD SA15","popcorn","ok"
"ames29016","Ames 29016","AD SA16","popcorn","ok"
"ames29017","Ames 29017","AD SA17","popcorn","ok"
"ames29018","Ames 29018","AD SA18","popcorn","ok"
"ames29019","Ames 29019","AD SA19","popcorn","ok"
"ames29020","Ames 29020","AD SA20","popcorn","ok"
"ames29021","Ames 29021","AD SA21","popcorn","ok"
"ames29022","Ames 29022","AD Sg1501","popcorn","ok"
"ames29030","Ames 29030","AD 370","popcorn","ok"
"ames29394","Ames 29394","1497-2","other","ok"
"ames29451","Ames 29451","GE 440","other","ok"
"ames30523","Ames 30523","MR02 (Assiniboine)","other","ok"
"ames30531","Ames 30531","MR14 (Longfellow Flint)","other","ok"
"ames30533","Ames 30533","MR19 (Santo Domingo)","other","ok"
"ames30534","Ames 30534","MR20 (Shoe Peg) S7","other","ok"
"ames30855","Ames 30855","CML 325","other","ok"
"ames30856","Ames 30856","CML 336","other","ok"
"ames30857","Ames 30857","CML 337","other","ok"
"ames30862","Ames 30862","NC44","other","ok"
"ames30864","Ames 30864","NC89","other","ok"
"ames31534","Ames 31534","CI90C Goodman-Buckler","other","ok"
"ames31535","Ames 31535","38-11 Goodman-Buckler","other","ok"
"ames31537","Ames 31537","CI28A Goodman-Buckler","other","ok"
"ames32877","Ames 32877","A641 Goodman-Buckler","other","ok"
"ames8399","Ames 8399","W117HT","other","ok"
"cize127","CIze 127","CI 127","other","ok"
"cize21","CIze 21","CI 21E","other","ok"
"cize23","CIze 23","CI 23","other","ok"
"cize27","CIze 27","CI 27","other","ok"
"cize28","CIze 28","CI 28A","other","ok"
"cize29","CIze 29","CI 29B","other","ok"
"cize317","CIze 317","CI 317B","other","ok"
"cize38","CIze 38","CI 38B","other","ok"
"cize40","CIze 40","CI 40A","other","ok"
"cize42","CIze 42","CI 42A","other","ok"
"cize44","CIze 44","CI 44","other","ok"
"cize45","CIze 45","CI45","other","ok"
"cize49","CIze 49","CI 49A","other","ok"
"cize64","CIze 64","CI 64","other","ok"
"cize7","CIze 7","CI7","other","ok"
"cize81","CIze 81","CI 81B","other","ok"
"cize82","CIze 82","CI 82A","other","ok"
"cize83","CIze 83","CI 83A","other","ok"
"cize85","CIze 85","CI 85B","other","ok"
"cize86","CIze 86","CI 86B","other","ok"
"cize88","CIze 88","CI 88A","other","ok"
"cize89","CIze 89","CI 89B","other","ok"
"cize90","CIze 90","CI90A","other","ok"
"cize91","CIze 91","CI 91B","other","ok"
"nsl117226","NSL 117226","R802A","other","ok"
"nsl15405","NSL 15405","5261","sweet corn","ok"
"nsl174429","NSL 174429","INB 101LFY/LFY (A632 X M16 S5)","other","ok"
"nsl197104","NSL 197104","H116","other","ok"
"nsl197105","NSL 197105","H117","other","ok"
"nsl197106","NSL 197106","H118w","other","ok"
"nsl22628","NSL 22628","K47","other","ok"
"nsl22629","NSL 22629","Oh7B","other","ok"
"nsl22630","NSL 22630","K150","other","ok"
"nsl22631","NSL 22631","K11","other","ok"
"nsl22632","NSL 22632","K201","other","ok"
"nsl22633","NSL 22633","KYS","other","ok"
"nsl22634","NSL 22634","K155","other","ok"
"nsl22635","NSL 22635","K41","other","ok"
"nsl22983","NSL 22983","C102","other","ok"
"nsl22984","NSL 22984","J47","other","ok"
"nsl242483","NSL 242483","R105","other","ok"
"nsl243016","NSL 243016","792","other","ok"
"nsl250299","NSL 250299","MP307","other","ok"
"nsl28965","NSL 28965","Oh33","other","ok"
"nsl28966","NSL 28966","Oh40B","other","ok"
"nsl28967","NSL 28967","Oh56A","other","ok"
"nsl28968","NSL 28968","Oh84","other","ok"
"nsl29282","NSL 29282","R901","other","ok"
"nsl29284","NSL 29284","R902A","other","ok"
"nsl29285","NSL 29285","R903B","other","ok"
"nsl29287","NSL 29287","R941","other","ok"
"nsl29303","NSL 29303","R216","other","ok"
"nsl29304","NSL 29304","R216A","other","ok"
"nsl29305","NSL 29305","R218","other","ok"
"nsl29314","NSL 29314","R219","other","ok"
"nsl29316","NSL 29316","R220","other","ok"
"nsl29317","NSL 29317","R221","other","ok"
"nsl29319","NSL 29319","R222","other","ok"
"nsl29898","NSL 29898","R222A","other","ok"
"nsl30046","NSL 30046","B41","other","ok"
"nsl30053","NSL 30053","W22","other","ok"
"nsl30055","NSL 30055","W374R2","other","ok"
"nsl30056","NSL 30056","W703","other","ok"
"nsl30058","NSL 30058","W64A","other","ok"
"nsl30059","NSL 30059","W153R","other","ok"
"nsl30060","NSL 30060","W23","other","ok"
"nsl30062","NSL 30062","W182B","other","ok"
"nsl30063","NSL 30063","W182D","other","ok"
"nsl30064","NSL 30064","W24","other","ok"
"nsl30065","NSL 30065","W9","other","ok"
"nsl30066","NSL 30066","WR3","other","ok"
"nsl30067","NSL 30067","W22R","other","ok"
"nsl30068","NSL 30068","W374B","other","ok"
"nsl30070","NSL 30070","WM13R","other","ok"
"nsl30071","NSL 30071","W32","other","ok"
"nsl30073","NSL 30073","W37A","other","ok"
"nsl30074","NSL 30074","W182E","other","ok"
"nsl30835","NSL 30835","SD10","other","ok"
"nsl30861","NSL 30861","A","other","ok"
"nsl30862","NSL 30862","K","other","ok"
"nsl30863","NSL 30863","L","other","ok"
"nsl30864","NSL 30864","HY2","other","ok"
"nsl30865","NSL 30865","R2","other","ok"
"nsl30866","NSL 30866","R004","other","ok"
"nsl30867","NSL 30867","M14","other","ok"
"nsl30868","NSL 30868","R30","other","ok"
"nsl30869","NSL 30869","R53","other","ok"
"nsl30871","NSL 30871","R061","other","ok"
"nsl30872","NSL 30872","R71","other","ok"
"nsl30873","NSL 30873","R74","other","ok"
"nsl30874","NSL 30874","R75","other","ok"
"nsl30875","NSL 30875","R76","other","ok"
"nsl30876","NSL 30876","R78","other","ok"
"nsl30877","NSL 30877","R84","other","ok"
"nsl30878","NSL 30878","R101","other","ok"
"nsl30879","NSL 30879","R103","other","ok"
"nsl30880","NSL 30880","R105","other","ok"
"nsl30883","NSL 30883","R113","other","ok"
"nsl30884","NSL 30884","R134","other","ok"
"nsl30885","NSL 30885","R138","other","ok"
"nsl30888","NSL 30888","R154","other","ok"
"nsl30890","NSL 30890","R159","other","ok"
"nsl30891","NSL 30891","R168","other","ok"
"nsl30894","NSL 30894","R177","other","ok"
"nsl30895","NSL 30895","R181","other","ok"
"nsl30896","NSL 30896","R181B","other","ok"
"nsl30898","NSL 30898","R192","other","ok"
"nsl30901","NSL 30901","R196","other","ok"
"nsl30902","NSL 30902","R197","other","ok"
"nsl30903","NSL 30903","90","other","ok"
"nsl30904","NSL 30904","4226","other","ok"
"nsl30905","NSL 30905","5120B","other","ok"
"nsl30906","NSL 30906","R904A","other","ok"
"nsl30907","NSL 30907","R906","other","ok"
"nsl30908","NSL 30908","R907","other","ok"
"nsl30909","NSL 30909","R909","other","ok"
"nsl30910","NSL 30910","R914","other","ok"
"nsl30911","NSL 30911","R917A","other","ok"
"nsl30912","NSL 30912","R921E","other","ok"
"nsl30913","NSL 30913","R924","other","ok"
"nsl32720","NSL 32720","ND33","other","ok"
"nsl32721","NSL 32721","ND36","other","ok"
"nsl32722","NSL 32722","ND255","other","ok"
"nsl32723","NSL 32723","ND1","other","ok"
"nsl32725","NSL 32725","ND211","other","ok"
"nsl32726","NSL 32726","ND167","other","ok"
"nsl32727","NSL 32727","ND-B8","other","ok"
"nsl32728","NSL 32728","ND230","other","ok"
"nsl32730","NSL 32730","ND405","other","ok"
"nsl32731","NSL 32731","ND385","other","ok"
"nsl32732","NSL 32732","ND203","other","ok"
"nsl32733","NSL 32733","ND376","other","ok"
"nsl32734","NSL 32734","ND408","other","ok"
"nsl32736","NSL 32736","ND480","other","ok"
"nsl32738","NSL 32738","ND283","other","ok"
"nsl32739","NSL 32739","ND474","other","ok"
"nsl34374","NSL 34374","SD15","other","ok"
"nsl42804","NSL 42804","R223","other","ok"
"nsl42805","NSL 42805","R825","sweet corn","ok"
"nsl42806","NSL 42806","R839","sweet corn","ok"
"nsl42807","NSL 42807","R851","sweet corn","ok"
"nsl42808","NSL 42808","R853","sweet corn","ok"
"nsl42872","NSL 42872","A7","other","ok"
"nsl42873","NSL 42873","A12","other","ok"
"nsl42874","NSL 42874","C 14","other","ok"
"nsl42875","NSL 42875","A71","other","ok"
"nsl42877","NSL 42877","A165","other","ok"
"nsl42878","NSL 42878","A171","other","ok"
"nsl43597","NSL 43597","Tx441","other","ok"
"nsl437871","NSL 437871","AusTRCF 305795","other","ok"
"nsl437877","NSL 437877","AusTRCF 305801","other","ok"
"nsl437878","NSL 437878","AusTRCF 305802","other","ok"
"nsl437879","NSL 437879","AusTRCF 305803","other","ok"
"nsl437890","NSL 437890","AusTRCF 305816","other","ok"
"nsl437891","NSL 437891","AusTRCF 305817","other","ok"
"nsl437893","NSL 437893","AusTRCF 305819","other","ok"
"nsl437895","NSL 437895","AusTRCF 305821","other","ok"
"nsl437896","NSL 437896","AusTRCF 305822","other","ok"
"nsl437897","NSL 437897","AusTRCF 305823","other","ok"
"nsl437903","NSL 437903","AusTRCF 305829","other","ok"
"nsl437905","NSL 437905","AusTRCF 305831","other","ok"
"nsl437907","NSL 437907","AusTRCF 305833","other","ok"
"nsl437908","NSL 437908","AusTRCF 305834","other","ok"
"nsl437909","NSL 437909","AusTRCF 305835","other","ok"
"nsl437910","NSL 437910","AusTRCF 305836","other","ok"
"nsl437913","NSL 437913","AusTRCF 305839","other","ok"
"nsl437914","NSL 437914","AusTRCF 305840","other","ok"
"nsl437915","NSL 437915","AusTRCF 305841","other","ok"
"nsl437920","NSL 437920","AusTRCF 305846","other","ok"
"nsl437923","NSL 437923","AusTRCF 305849","other","ok"
"nsl437925","NSL 437925","AusTRCF 306065","other","ok"
"nsl437928","NSL 437928","AusTRCF 306068","other","ok"
"nsl437929","NSL 437929","AusTRCF 306234","other","ok"
"nsl437930","NSL 437930","AusTRCF 306235","other","ok"
"nsl437931","NSL 437931","AusTRCF 306236","other","ok"
"nsl437933","NSL 437933","AusTRCF 306238","other","ok"
"nsl437934","NSL 437934","AusTRCF 306239","other","ok"
"nsl437935","NSL 437935","AusTRCF 306240","other","ok"
"nsl437936","NSL 437936","AusTRCF 306241","other","ok"
"nsl437937","NSL 437937","AusTRCF 306242","other","ok"
"nsl437939","NSL 437939","AusTRCF 306244","other","ok"
"nsl437940","NSL 437940","AusTRCF 306245","other","ok"
"nsl437946","NSL 437946","AusTRCF 306257","other","ok"
"nsl437947","NSL 437947","AusTRCF 306258","other","ok"
"nsl437952","NSL 437952","AusTRCF 306264","other","ok"
"nsl437956","NSL 437956","AusTRCF 306269","other","ok"
"nsl437959","NSL 437959","AusTRCF 306273","other","ok"
"nsl437960","NSL 437960","AusTRCF 306274","other","ok"
"nsl437962","NSL 437962","AusTRCF 306276","other","ok"
"nsl437964","NSL 437964","AusTRCF 306278","other","ok"
"nsl437966","NSL 437966","AusTRCF 306280","other","ok"
"nsl437968","NSL 437968","AusTRCF 306282","other","ok"
"nsl437971","NSL 437971","AusTRCF 306285","other","ok"
"nsl437973","NSL 437973","AusTRCF 306287","other","ok"
"nsl437976","NSL 437976","AusTRCF 306290","other","ok"
"nsl437979","NSL 437979","AusTRCF 306293","other","ok"
"nsl437980","NSL 437980","AusTRCF 306294","other","ok"
"nsl437981","NSL 437981","AusTRCF 306295","other","ok"
"nsl437982","NSL 437982","AusTRCF 306296","other","ok"
"nsl437983","NSL 437983","AusTRCF 306297","other","ok"
"nsl437987","NSL 437987","AusTRCF 306301","other","ok"
"nsl437988","NSL 437988","AusTRCF 306302","other","ok"
"nsl437989","NSL 437989","AusTRCF 306303","other","ok"
"nsl437990","NSL 437990","AusTRCF 306304","other","ok"
"nsl437992","NSL 437992","AusTRCF 306306","other","ok"
"nsl437993","NSL 437993","AusTRCF 306307","other","ok"
"nsl437994","NSL 437994","AusTRCF 306308","other","ok"
"nsl437995","NSL 437995","AusTRCF 306309","other","ok"
"nsl437996","NSL 437996","AusTRCF 306310","other","ok"
"nsl437998","NSL 437998","AusTRCF 306312","other","ok"
"nsl438002","NSL 438002","AusTRCF 306316","other","ok"
"nsl438005","NSL 438005","AusTRCF 306319","other","ok"
"nsl438007","NSL 438007","AusTRCF 306321","other","ok"
"nsl438008","NSL 438008","AusTRCF 306322","other","ok"
"nsl438009","NSL 438009","AusTRCF 306323","other","ok"
"nsl438010","NSL 438010","AusTRCF 306324","other","ok"
"nsl438019","NSL 438019","AusTRCF 306333","other","ok"
"nsl438021","NSL 438021","AusTRCF 306335","other","ok"
"nsl438022","NSL 438022","AusTRCF 306336","other","ok"
"nsl438023","NSL 438023","AusTRCF 306337","other","ok"
"nsl438029","NSL 438029","AusTRCF 306343","other","ok"
"nsl438030","NSL 438030","AusTRCF 306344","other","ok"
"nsl438031","NSL 438031","AusTRCF 306345","other","ok"
"nsl438032","NSL 438032","AusTRCF 306346","other","ok"
"nsl438033","NSL 438033","AusTRCF 306347","other","ok"
"nsl438034","NSL 438034","AusTRCF 306348","other","ok"
"nsl438036","NSL 438036","AusTRCF 306350","other","ok"
"nsl438037","NSL 438037","AusTRCF 306351","other","ok"
"nsl438038","NSL 438038","AusTRCF 306352","other","ok"
"nsl438039","NSL 438039","AusTRCF 306353","other","ok"
"nsl438040","NSL 438040","AusTRCF 306354","other","ok"
"nsl438042","NSL 438042","AusTRCF 306356","other","ok"
"nsl438043","NSL 438043","AusTRCF 306357","other","ok"
"nsl52605","NSL 52605","Oh7K","other","ok"
"nsl53086","NSL 53086","SC 212M","other","ok"
"nsl53094","NSL 53094","SC 357","other","ok"
"nsl53095","NSL 53095","SC 359","other","ok"
"nsl65863","NSL 65863","B7","other","ok"
"nsl65864","NSL 65864","B8","other","ok"
"nsl65866","NSL 65866","B14","other","ok"
"nsl65868","NSL 65868","B21","other","ok"
"nsl65869","NSL 65869","B38","other","ok"
"nsl65871","NSL 65871","I 205","other","ok"
"nsl65872","NSL 65872","L 289","other","ok"
"nsl65873","NSL 65873","L317","other","ok"
"nsl65874","NSL 65874","Os420","other","ok"
"nsl67786","NSL 67786","Mo301ae","other","ok"
"nsl67788","NSL 67788","Mo303ae","other","ok"
"nsl67789","NSL 67789","Mo304ae","other","ok"
"nsl67790","NSL 67790","Mo305ae","other","ok"
"nsl67792","NSL 67792","Mo307ae","other","ok"
"nsl67793","NSL 67793","Mo308ae","other","ok"
"nsl67796","NSL 67796","Mo311ae","other","ok"
"nsl67797","NSL 67797","Mo312ae","other","ok"
"nsl67798","NSL 67798","Mo313ae","other","ok"
"nsl67799","NSL 67799","Mo314ae","other","ok"
"nsl68211","NSL 68211","Oh422","other","ok"
"nsl68242","NSL 68242","SC 212M","other","ok"
"nsl68252","NSL 68252","SC 357","other","ok"
"nsl75976","NSL 75976","IA DS 61","popcorn","ok"
"nsl75977","NSL 75977","IA DS 62","popcorn","ok"
"nsl75979","NSL 75979","SG 18","popcorn","ok"
"nsl75980","NSL 75980","SG 30A","popcorn","ok"
"nsl81595","NSL 81595","A238","other","ok"
"nsl81596","NSL 81596","A258","other","ok"
"nsl81597","NSL 81597","A648","other","ok"
"nsl81598","NSL 81598","A657","other","ok"
"nsl81599","NSL 81599","A659","other","ok"
"nsl81600","NSL 81600","A660","other","ok"
"nsl8579","NSL 8579","245","sweet corn","ok"
"nsl8581","NSL 8581","81-1","sweet corn","ok"
"nsl8582","NSL 8582","P51B","sweet corn","ok"
"nsl8583","NSL 8583","P39A","sweet corn","ok"
"pi186182","PI 186182","INBRED 378","other","ok"
"pi186183","PI 186183","INBRED 379","other","ok"
"pi186184","PI 186184","INBRED 381","other","ok"
"pi186193","PI 186193","INBRED A-243-1","other","ok"
"pi186196","PI 186196","INBRED 109","other","ok"
"pi186197","PI 186197","INBRED 100","other","ok"
"pi186199","PI 186199","INBRED 141","other","ok"
"pi186215","PI 186215","INBRED 2-687","other","ok"
"pi186217","PI 186217","INBRED 19-86","other","ok"
"pi186218","PI 186218","INBRED 34-1141","other","ok"
"pi186219","PI 186219","INBRED 34-1181","other","ok"
"pi186221","PI 186221","INBRED 39-1084","other","ok"
"pi186223","PI 186223","INBRED 41-1781","other","ok"
"pi186224","PI 186224","INBRED 42-492","other","ok"
"pi186226","PI 186226","INBRED 305","other","ok"
"pi186227","PI 186227","INBRED 309","other","ok"
"pi186229","PI 186229","INBRED 321","other","ok"
"pi198889","PI 198889","4F-182 BS 11","other","ok"
"pi198892","PI 198892","4F-234 BX 4","other","ok"
"pi198893","PI 198893","4F-240 BX 16","other","ok"
"pi198894","PI 198894","4F-259 HQ","other","ok"
"pi198895","PI 198895","4F-285 TX 15","other","ok"
"pi198896","PI 198896","4F-300 AD 3","other","ok"
"pi198901","PI 198901","4F-342 CM 4","other","ok"
"pi198902","PI 198902","4F-345 CN 12","other","ok"
"pi198906","PI 198906","4F-403 JV 15","other","ok"
"pi200179","PI 200179","NY 3 (Neveh Yaar)","other","ok"
"pi200181","PI 200181","NY 65 (Neveh Yaar)","other","ok"
"pi200182","PI 200182","NY 159 (Neveh Yaar)","other","ok"
"pi200184","PI 200184","NY 166 (Neveh Yaar)","other","ok"
"pi200185","PI 200185","NY 188 (Neveh Yaar)","other","ok"
"pi200187","PI 200187","NY 318 (Nevey Yaar)","other","ok"
"pi200188","PI 200188","NY 364 (Neveh Yaar)","other","ok"
"pi200191","PI 200191","NY 476 (Neveh Yaar)","other","ok"
"pi200194","PI 200194","NY 971 (Neveh Yaar)","other","ok"
"pi200195","PI 200195","NY 992 (Neveh Yaar)","other","ok"
"pi221733","PI 221733","A13-2 INBRED (POTCHEFSTROOM PEARL)","other","ok"
"pi221734","PI 221734","A14 INBRED (POTCHEFSTROOM PEARL)","other","ok"
"pi221735","PI 221735","A15-1 INBRED (POTCHEFSTROOM PEARL)","other","ok"
"pi221736","PI 221736","A16-3-2 INBRED (POTCHEFSTROOM PEARL)","other","ok"
"pi221737","PI 221737","A17-1-1 INBRED (POTCHEFSTROOM PEARL)","other","ok"
"pi221739","PI 221739","A21-4-1 INBRED (HICKORY KING)","other","ok"
"pi221743","PI 221743","N72-3-1-1 INBRED","other","ok"
"pi221747","PI 221747","E205-1-1-1 INBRED (S5 SYN. ANVELD)","other","ok"
"pi221750","PI 221750","E292-1-1-1 INB(S5 SYN ANVELD X MINN.706)","other","ok"
"pi221773","PI 221773","A415-1-3 INBRED","other","ok"
"pi221775","PI 221775","A436-1 INBRED","other","ok"
"pi221788","PI 221788","E680-2-1-3(S5) INBRED","other","ok"
"pi221789","PI 221789","E683-1-2-1(S5) INBRED","other","ok"
"pi221794","PI 221794","E697-1-1-1(S5) INBRED","other","ok"
"pi221805","PI 221805","A243-1-2(S10) INBRED (PERUVIAN)","other","ok"
"pi221811","PI 221811","A302-1-2(S10) INBRED (SERVENTINA)","other","ok"
"pi221820","PI 221820","C410-1(F11) INBRED (HOTNOT CROSSES)","other","ok"
"pi221821","PI 221821","E680-3-1-1(S6) INBRED","other","ok"
"pi233312","PI 233312","42","sweet corn","ok"
"pi233313","PI 233313","176","sweet corn","ok"
"pi233314","PI 233314","226","sweet corn","ok"
"pi233315","PI 233315","277","sweet corn","ok"
"pi233316","PI 233316","469","sweet corn","ok"
"pi233317","PI 233317","592","sweet corn","ok"
"pi233318","PI 233318","789","sweet corn","ok"
"pi233319","PI 233319","829","sweet corn","ok"
"pi233320","PI 233320","883","sweet corn","ok"
"pi233321","PI 233321","908","sweet corn","ok"
"pi233322","PI 233322","909","sweet corn","ok"
"pi236997","PI 236997","Inbred 6-907","other","ok"
"pi257506","PI 257506","F2","other","ok"
"pi257507","PI 257507","F7","other","ok"
"pi257508","PI 257508","F10","other","ok"
"pi257513","PI 257513","F115","other","ok"
"pi257514","PI 257514","FV181","other","ok"
"pi257516","PI 257516","F39","other","ok"
"pi257517","PI 257517","FC46","other","ok"
"pi267166","PI 267166","2 KM 368 INBRED","other","ok"
"pi267167","PI 267167","T8144 INBRED","other","ok"
"pi267168","PI 267168","T8146 INBRED","other","ok"
"pi267169","PI 267169","T8302 INBRED","other","ok"
"pi267170","PI 267170","T8354 INBRED","other","ok"
"pi267171","PI 267171","T8445 INBRED","other","ok"
"pi270297","PI 270297","B96","other","ok"
"pi303924","PI 303924","NO. 380","other","ok"
"pi303925","PI 303925","NO. 1004 INBRED","other","ok"
"pi303926","PI 303926","NO. 1019 INBRED","other","ok"
"pi303927","PI 303927","NO. 1026 INBRED","other","ok"
"pi303928","PI 303928","NO. 1032 INBRED","other","ok"
"pi303929","PI 303929","NO. 1037 INBRED","other","ok"
"pi303930","PI 303930","NO. 1049 INBRED","other","ok"
"pi303932","PI 303932","NO. 1068 INBRED","other","ok"
"pi303933","PI 303933","NO. 1070 INBRED","other","ok"
"pi303937","PI 303937","NO. 1175 INBRED","other","ok"
"pi303938","PI 303938","NO. 1185 INBRED","other","ok"
"pi303939","PI 303939","NO. 1197 INBRED","other","ok"
"pi303940","PI 303940","NO. 1201 INBRED","other","ok"
"pi303941","PI 303941","NO. 1266 INBRED","other","ok"
"pi303943","PI 303943","TN 53-1-2","other","ok"
"pi340812","PI 340812","NY 121 (Neveh Yaar)","other","ok"
"pi340813","PI 340813","NY 123 (Neveh Yaar)","other","ok"
"pi340817","PI 340817","G3 T5","other","ok"
"pi340818","PI 340818","G3 T5a","other","ok"
"pi340819","PI 340819","T9","other","ok"
"pi340821","PI 340821","G22 T122","other","ok"
"pi340822","PI 340822","G6 T123","other","ok"
"pi340823","PI 340823","G14 T133","other","ok"
"pi340824","PI 340824","G15 T134","other","ok"
"pi340825","PI 340825","G15 T134a","other","ok"
"pi340826","PI 340826","T140","other","ok"
"pi340827","PI 340827","T141","other","ok"
"pi340829","PI 340829","T146","other","ok"
"pi340830","PI 340830","T242","other","ok"
"pi340835","PI 340835","BR-1-1","popcorn","ok"
"pi340837","PI 340837","R-4524","popcorn","ok"
"pi340838","PI 340838","B-4541","other","ok"
"pi340843","PI 340843","CA-15-2 DENT STERILE","other","ok"
"pi340845","PI 340845","BR-15 DENT STERILE","popcorn","ok"
"pi340846","PI 340846","RB-15 DENT STERILE","popcorn","ok"
"pi340850","PI 340850","B-17 INBR.FR.SUPERGOLD","popcorn","ok"
"pi340851","PI 340851","BR-17 INBR.FR.SUPERGOLD","popcorn","ok"
"pi340855","PI 340855","B-18 INBR.FR.SUPERGOLD","popcorn","ok"
"pi340857","PI 340857","B-22 INBR.FR.SUPERGOLD","popcorn","ok"
"pi340859","PI 340859","R-22 INBR.FR.SUPERGOLD","popcorn","ok"
"pi340860","PI 340860","B-28","other","ok"
"pi340861","PI 340861","BR-28 INBR.FR.YEL.PEARL","other","ok"
"pi340862","PI 340862","R-28","other","ok"
"pi340863","PI 340863","R-28-2","other","ok"
"pi340866","PI 340866","R-53-1 INBR.FR.YELPEARL","popcorn","ok"
"pi340867","PI 340867","R-53-2 INBR.FR.YELPEARL","other","ok"
"pi340868","PI 340868","RB-53 INBR.FR.YELPEARL","popcorn","ok"
"pi340874","PI 340874","IA DS 38-W","popcorn","ok"
"pi340875","PI 340875","IA DS 43-W","popcorn","ok"
"pi340878","PI 340878","IA 88","other","ok"
"pi343953","PI 343953","PLS 61/10870 subline-1","other","ok"
"pi358522","PI 358522","13B-587-68(A)","sweet corn","ok"
"pi358523","PI 358523","14H-588-68(B)","sweet corn","ok"
"pi358525","PI 358525","27A-317-68(C)","sweet corn","ok"
"pi358527","PI 358527","STRAIN 304A-408-68(B)","sweet corn","ok"
"pi358528","PI 358528","442A-431-68(D)","sweet corn","ok"
"pi358529","PI 358529","STRAIN 451B-4-68(B)","sweet corn","ok"
"pi358530","PI 358530","STRAIN 465A-421-68(B)","sweet corn","ok"
"pi358532","PI 358532","676A-348-68(B)","sweet corn","ok"
"pi358533","PI 358533","STRAIN T36(101T)-394-68","sweet corn","ok"
"pi358534","PI 358534","STRAIN T20-2-68(B)","sweet corn","ok"
"pi358535","PI 358535","21-396-68(B)","sweet corn","ok"
"pi358536","PI 358536","STRAIN T24-395-68(B)","sweet corn","ok"
