"ID","Pedigree","Comments","INDV","F_MISS","acc_v2.7","id_v2.7"
"Ames 27043","CO192","other","Ames27043:250041409",0.382476,"Ames27043",250041409
"Ames 27043","CO192","other","Ames27043:250032216",0.281387,"Ames27043",250032216
"Ames 27046","CO236","other","Ames27046:250041445",0.342439,"Ames27046",250041445
"Ames 27046","CO236","other","Ames27046:250035213",0.244474,"Ames27046",250035213
"Ames 27057","CSJ3","other","Ames27057:250032600",0.21862,"Ames27057",250032600
"Ames 27057","CSJ3","other","Ames27057:250040778",0.154357,"Ames27057",250040778
"Ames 27082","CML 108","other","Ames27082:250033349",0.165648,"Ames27082",250033349
"Ames 27082","CML 108","other","Ames27082:250032044",0.164362,"Ames27082",250032044
"Ames 27083","CML 154Q","other","Ames27083:250032026",0.185011,"Ames27083",250032026
"Ames 27083","CML 154Q","other","Ames27083:250032001",0.186375,"Ames27083",250032001
"Ames 27087","CML 220","other","Ames27087:250041599",0.256496,"Ames27087",250041599
"Ames 27087","CML 220","other","Ames27087:250033483",0.238008,"Ames27087",250033483
"Ames 27096","CML 322","other","Ames27096:250033461",0.111763,"Ames27096",250033461
"Ames 27096","CML 322","other","Ames27096:250033294",0.1121,"Ames27096",250033294
"Ames 27097","CML 323","other","Ames27097:250033321",0.149733,"Ames27097",250033321
"Ames 27097","CML 323","other","Ames27097:250032030",0.153302,"Ames27097",250032030
"Ames 27101","CML 333","other","Ames27101:250033296",0.235318,"Ames27101",250033296
"Ames 27101","CML 333","other","Ames27101:250033346",0.122455,"Ames27101",250033346
"Ames 27118","Il14H","sweet corn","Ames27118:250033353",0.12586,"Ames27118",250033353
"Ames 27118","Il14H","sweet corn","Ames27118:250041422",0.127926,"Ames27118",250041422
"Ames 27123","Ki3","other","Ames27123:250042483",0.102893,"Ames27123",250042483
"Ames 27123","Ki3","other","Ames27123:250031879",0.100413,"Ames27123",250031879
"Ames 27123","Ki3","other","Ames27123:250042492",0.101675,"Ames27123",250042492
"Ames 27133","M37W","other","Ames27133:250041696",0.103827,"Ames27133",250041696
"Ames 27133","M37W","other","Ames27133:250032830",0.103355,"Ames27133",250032830
"Ames 27135","MEF156-55-2","other","Ames27135:250042560",0.264747,"Ames27135",250042560
"Ames 27135","MEF156-55-2","other","Ames27135:250031500",0.268315,"Ames27135",250031500
"Ames 27135","MEF156-55-2","other","Ames27135:250042559",0.250866,"Ames27135",250042559
"Ames 27135","MEF156-55-2","other","Ames27135:250033691",0.253297,"Ames27135",250033691
"Ames 27142","NC292","other","Ames27142:250033692",0.0358713,"Ames27142",250033692
"Ames 27142","NC292","other","Ames27142:250033784",0.0302092,"Ames27142",250033784
"Ames 27143","NC294","other","Ames27143:250031562",0.0967179,"Ames27143",250031562
"Ames 27143","NC294","other","Ames27143:250033676",0.10533,"Ames27143",250033676
"Ames 27144","NC296","other","Ames27144:250032808",0.116516,"Ames27144",250032808
"Ames 27144","NC296","other","Ames27144:250032964",0.118489,"Ames27144",250032964
"Ames 27144","NC296","other","Ames27144:250032778",0.119718,"Ames27144",250032778
"Ames 27144","NC296","other","Ames27144:250032943",0.117836,"Ames27144",250032943
"Ames 27146","NC300","other","Ames27146:250033079",0.189497,"Ames27146",250033079
"Ames 27146","NC300","other","Ames27146:250031834",0.185347,"Ames27146",250031834
"Ames 27149","NC306","other","Ames27149:250031188",0.0778246,"Ames27149",250031188
"Ames 27149","NC306","other","Ames27149:250034921",0.0728249,"Ames27149",250034921
"Ames 27151","NC310","other","Ames27151:250034968",0.0488895,"Ames27151",250034968
"Ames 27151","NC310","other","Ames27151:250034926",0.0536496,"Ames27151",250034926
"Ames 27152","NC312","other","Ames27152:250032977",0.0715328,"Ames27152",250032977
"Ames 27152","NC312","other","Ames27152:250032789",0.0763354,"Ames27152",250032789
"Ames 27153","NC314","other","Ames27153:250034965",0.0847014,"Ames27153",250034965
"Ames 27153","NC314","other","Ames27153:250035096",0.0852017,"Ames27153",250035096
"Ames 27154","NC316","other","Ames27154:250035006",0.0302166,"Ames27154",250035006
"Ames 27154","NC316","other","Ames27154:250031026",0.0271015,"Ames27154",250031026
"Ames 27156","NC320","other","Ames27156:250032888",0.182562,"Ames27156",250032888
"Ames 27156","NC320","other","Ames27156:250032955",0.178941,"Ames27156",250032955
"Ames 27158","NC324","other","Ames27158:250030988",0.0960237,"Ames27158",250030988
"Ames 27158","NC324","other","Ames27158:250031021",0.0930876,"Ames27158",250031021
"Ames 27161","NC330","other","Ames27161:250033663",0.0334197,"Ames27161",250033663
"Ames 27161","NC330","other","Ames27161:250031303",0.035706,"Ames27161",250031303
"Ames 27162","NC332","other","Ames27162:250032922",0.169408,"Ames27162",250032922
"Ames 27162","NC332","other","Ames27162:250032909",0.17199,"Ames27162",250032909
"Ames 27163","NC334","other","Ames27163:250032764",0.168738,"Ames27163",250032764
"Ames 27163","NC334","other","Ames27163:250032903",0.167591,"Ames27163",250032903
"Ames 27167","NC342","other","Ames27167:250031050",0.203189,"Ames27167",250031050
"Ames 27167","NC342","other","Ames27167:250031282",0.204532,"Ames27167",250031282
"Ames 27168","NC344","other","Ames27168:250033105",0.180759,"Ames27168",250033105
"Ames 27168","NC344","other","Ames27168:250031622",0.181795,"Ames27168",250031622
"Ames 27171","NC350","other","Ames27171:250032851",0.12372,"Ames27171",250032851
"Ames 27171","NC350","other","Ames27171:250032783",0.123805,"Ames27171",250032783
"Ames 27174","NC356","other","Ames27174:250031447",0.178319,"Ames27174",250031447
"Ames 27174","NC356","other","Ames27174:250033047",0.178054,"Ames27174",250033047
"Ames 27175","NC358","other","Ames27175:250033218",0.124571,"Ames27175",250033218
"Ames 27175","NC358","other","Ames27175:250033162",0.125394,"Ames27175",250033162
"Ames 27178","NC364","other","Ames27178:250042567",0.190971,"Ames27178",250042567
"Ames 27178","NC364","other","Ames27178:250033711",0.174836,"Ames27178",250033711
"Ames 27178","NC364","other","Ames27178:250042566",0.143021,"Ames27178",250042566
"Ames 27178","NC364","other","Ames27178:250033696",0.174435,"Ames27178",250033696
"Ames 27180","NC368","other","Ames27180:250031820",0.086285,"Ames27180",250031820
"Ames 27180","NC368","other","Ames27180:250031822",0.0952679,"Ames27180",250031822
"Ames 27181","NC370","other","Ames27181:250031832",0.180426,"Ames27181",250031832
"Ames 27181","NC370","other","Ames27181:250033207",0.178883,"Ames27181",250033207
"Ames 27182","NC372","other","Ames27182:250033660",0.0274926,"Ames27182",250033660
"Ames 27182","NC372","other","Ames27182:250031570",0.0274343,"Ames27182",250031570
"Ames 27188","SA24","popcorn","Ames27188:250041429",0.13368,"Ames27188",250041429
"Ames 27188","SA24","popcorn","Ames27188:250031181",0.131221,"Ames27188",250031181
"Ames 27444","Il731a","sweet corn","Ames27444:250031429",0.242495,"Ames27444",250031429
"Ames 27444","Il731a","sweet corn","Ames27444:250041490",0.244506,"Ames27444",250041490
"Ames 27445","Il767b","sweet corn","Ames27445:250031272",0.24143,"Ames27445",250031272
"Ames 27445","Il767b","sweet corn","Ames27445:250041652",0.251448,"Ames27445",250041652
"Ames 28186","P39 Goodman-Buckler","sweet corn","Ames28186:250041410",0.118986,"Ames28186",250041410
"Ames 28186","P39 Goodman-Buckler","sweet corn","Ames28186:250034920",0.119103,"Ames28186",250034920
"Ames 28186","P39 Goodman-Buckler","sweet corn","Ames28186:250035062",0.117574,"Ames28186",250035062
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042457",0.236021,"Ames28291",250042457
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042471",0.236106,"Ames28291",250042471
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042542",0.322378,"Ames28291",250042542
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250032807",0.228703,"Ames28291",250032807
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042433",0.249977,"Ames28291",250042433
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250032913",0.239062,"Ames28291",250032913
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042444",0.233339,"Ames28291",250042444
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042456",0.228789,"Ames28291",250042456
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042434",0.235182,"Ames28291",250042434
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042420",0.243662,"Ames28291",250042420
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042468",0.99928,"Ames28291",250042468
"Ames 28291","Hi27 Goodman-Buckler","other","Ames28291:250042482",0.239108,"Ames28291",250042482
"Ames 28970","AD 147 DS","popcorn","Ames28970:250041466",0.259322,"Ames28970",250041466
"Ames 28970","AD 147 DS","popcorn","Ames28970:250033798",0.243018,"Ames28970",250033798
"Ames 28971","AD 139 DS","popcorn","Ames28971:250041489",0.243919,"Ames28971",250041489
"Ames 28971","AD 139 DS","popcorn","Ames28971:250031521",0.237592,"Ames28971",250031521
"Ames 28973","AD 175","popcorn","Ames28973:250041574",0.198992,"Ames28973",250041574
"Ames 28973","AD 175","popcorn","Ames28973:250033704",0.191661,"Ames28973",250033704
"Ames 28975","AD 147","popcorn","Ames28975:250031539",0.232186,"Ames28975",250031539
"Ames 28975","AD 147","popcorn","Ames28975:250041677",0.233018,"Ames28975",250041677
"Ames 28978","AD 238 DS","popcorn","Ames28978:250031514",0.222857,"Ames28978",250031514
"Ames 28978","AD 238 DS","popcorn","Ames28978:250041453",0.234774,"Ames28978",250041453
"Ames 28983","AD 187-2","popcorn","Ames28983:250034830",0.373397,"Ames28983",250034830
"Ames 28983","AD 187-2","popcorn","Ames28983:250041461",0.256189,"Ames28983",250041461
"Ames 28984","AD 284","popcorn","Ames28984:250031266",0.24353,"Ames28984",250031266
"Ames 28984","AD 284","popcorn","Ames28984:250041739",0.234351,"Ames28984",250041739
