Accession,taxa,Pedigree_cleanformat,Comments_merged,Pop.structure,Visual Inspection,link,GRIN
PI340860,PI340860:250033699,B-28,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254162,popcorn
PI340862,PI340862:250035182,R-28,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254164,popcorn
PI340863,PI340863:250031313,R-28-2,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254165,popcorn
PI340878,PI340878:250034993,IA88,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1254179,unknown
PI369439,PI369439:250032183,S14,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1276867,flint
PI369446,PI369446:250032149,U123,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1276874,flint/dent
PI415089,PI415089:250035239,4655INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313119,flint
PI415090,PI415090:250032295,4659INBRED,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1313120,flint
PI433487,PI433487:250034558,PriorC,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1328423,flint
PI535901,PI535901:250032317,S3,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1430837,flint
PI535906,PI535906:250032273,S56,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1430842,flint
PI535913,PI535913:250035179,S17,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1430849,dent
PI535921,PI535921:250035198,S65,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1430857,dent
PI550571,PI550571:250035208,ND259,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1445507,flint/dent
PI553056,PI553056:250031329,OC3,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1448028,flint
PI553058,PI553058:250031569,OC5,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1448030,popcorn
PI553059,PI553059:250033697,OC6,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1448031,flint
PI553060,PI553060:250033673,OC7,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1448032,popcorn
PI553063,PI553063:250031393,OC10,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1448035,dent
Ames24710,Ames24710:250034673,MS67,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1557008,dent
Ames24723,Ames24723:250032269,MS91,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1557018 ,flint/dent
Ames27111,EP1:250048006,EP1,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1645496,flint/dent
Ames27115,I29:250047999,I29,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1645499,popcorn
Ab18,Ab18:250035064,Ab18,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1437873,dent
Ames22747,Ames22747:250032296,CM48,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1517102,flint
Ames27024,Ames27024:250034749,CL17,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1645393,flint/dent
Ames27025,Ames27025:250035226,CL18,other,unclassified,No,https://npgsweb.ars-grin.gov/gringlobal/accessiondetail.aspx?id=1645394,flint/dent
