"GENOTYPE","d.T3","g.T3","a.T3","d.T","g.T","a.T","Total.Tocotrienols","Total.Tocopherols","Total.Tocochromanols"
"Ames19001",1.067648969,23.09034755,5.103595555,3.343089246,68.57996964,1.574499948,29.19255303,73.58906515,103.4802464
"Ames19002",0.23766225,19.20924548,12.62278511,1.937797512,63.58891129,-0.517837393,32.02590333,65.06967318,97.55954611
"Ames19003",0.275255271,5.718427355,6.025951233,0.358250549,18.75258795,3.2700126,11.83313302,22.04653267,34.78869973
"Ames19004",3.472830714,52.73326917,2.283857458,0.80853057,13.53660259,-0.835662742,61.47720899,13.03218763,74.13755738
"Ames19006",0.236822921,13.26361534,4.538592152,2.348329256,39.41326568,1.401600497,17.94994162,43.13817369,61.56679772
"Ames19007",0.517940848,17.55532832,4.746462634,1.591850466,38.9883787,-0.11951709,22.75800382,40.16668502,63.37915731
"Ames19008",0.769545271,30.91773947,12.69938555,3.108321318,71.6354062,0.503099444,45.73865584,75.37705185,121.4208784
"Ames19009",0.345836422,28.17735699,14.60004973,1.683918975,45.93819504,5.258890931,43.08710637,53.00031335,96.33399981
"Ames19010",3.519873958,90.39121837,7.626606104,3.816722381,52.82190503,3.108616704,101.7221107,60.04226538,161.8783923
"Ames19011",0.212077846,4.661933252,5.931381848,1.064660169,25.14218818,7.188206196,10.99190059,33.29239062,44.3909337
"Ames19012",0.254541568,10.82202687,7.432705783,2.998799354,62.60533499,1.34966716,18.59763913,67.32746261,86.44952999
"Ames19013",0.638772765,25.08842561,12.87700365,1.685292845,84.39742672,4.687015048,38.46504948,90.75323108,129.4994285
"Ames19014",0.438410358,9.096366424,5.276170526,1.130003854,45.82049982,0.302709456,14.91925072,47.47533322,63.4137448
"Ames19016",0.477614676,18.07272293,6.469734046,0.66715695,21.74693873,0.528713918,24.9588816,23.04521161,48.24320202
"Ames19017",0.696863811,27.55517555,14.24117301,0.809205221,34.60973109,0.98550027,42.72006361,36.24861168,79.67293967
"Ames19019",1.952138532,33.95233067,12.91090888,2.525884821,67.01106134,-0.312682914,48.99427642,69.91850802,119.0818117
"Ames19283",0.354501936,6.829589162,8.405814785,0.935074744,28.52552645,9.955403787,15.65355022,39.88391433,56.49196208
"Ames19284",0.303348727,8.170735165,4.870536555,0.87613381,25.66094745,4.892713399,13.44118435,31.36536997,45.08035251
"Ames19287",0.207000613,6.481486335,5.813480419,1.461209517,35.69742969,6.754021912,12.55943007,44.07140818,57.07102293
"Ames19288",0.570556522,32.1895978,10.56319167,1.093636846,68.19406864,9.235571803,43.57316802,78.17016095,122.0970129
"Ames19293",1.576293384,15.386839,6.351356476,2.733114569,77.49352172,1.468041431,23.50785522,82.4076818,106.5839833
"Ames19308",0.383332004,16.83418643,9.306856179,0.757534883,33.70320971,10.03999538,27.43199456,44.20956262,71.89959213
"Ames19309",1.150203013,11.77970228,16.1509867,0.287528935,13.40678499,11.05671884,29.45801461,24.92344898,54.84966676
"Ames19313",0.327247515,4.503060414,6.601655286,0.849505207,22.32909239,6.969437053,11.49392445,30.12969585,42.45942044
"Ames19316",1.136206084,26.19806502,7.044240825,-0.329899026,-1.319167053,3.888600544,34.10340882,1.786487991,36.87310998
"Ames19318",0.305526443,9.649456738,10.67514215,2.252755873,64.05340455,7.648605304,20.75400258,73.78785323,95.52788427
"Ames19319",1.012429138,21.60894755,4.761249103,1.687152321,56.85528037,6.408487279,27.57926521,65.49461313,93.98497811
"Ames19321",0.12915517,4.055459046,8.548381753,0.733975608,28.03529248,9.034025556,12.82896061,37.85149811,51.44410306
"Ames19323",0.871505754,29.46202596,4.931511035,4.544572294,59.51370414,0.478654028,34.08480381,64.0947721,98.84232442
"Ames19324",0.765018026,14.02210811,10.50429481,2.441010485,67.17491804,11.25849826,25.33799934,81.19012416,107.0480313
"Ames19326",0.455472172,6.288899957,7.504918782,1.317430912,29.54330567,7.41208235,14.40236788,37.90974309,52.72993026
"Ames19327",2.515774231,33.09393599,5.440155857,3.123246273,67.83595568,2.406404727,41.53287842,73.2613137,114.294702
"Ames19328",0.177000447,8.221921329,5.883864026,2.724145503,54.40737224,1.074857805,13.19662665,58.0661775,72.17944114
"Ames19330",0.894556056,25.42017032,3.138724742,2.395772409,42.32711871,1.288184863,29.48727609,45.83224475,76.14569022
"Ames20118",1.616843459,14.94573581,4.019464003,0.384912649,12.26880615,0.257545694,20.85393161,12.78018434,34.38243618
"Ames20120",0.623391192,11.84737821,7.774754585,2.905464157,53.72553427,8.667520544,20.28336302,66.13201462,86.90693539
"Ames20136",0.868644005,7.084989219,5.222127937,0.352063007,23.42759415,2.126915534,13.46308958,25.97226366,39.6607001
"Ames20137",1.650995883,25.49644582,6.356670378,2.235607962,38.84704688,4.175638337,34.13714701,45.59269139,79.51550379
"Ames20140",1.766747184,50.4680563,11.39871628,1.755699547,56.45014921,6.867156791,63.35866952,64.68052442,129.0479862
"Ames21095",0.478381577,2.974174219,5.734159515,0.256209583,22.39775605,-0.079386041,9.335170594,22.70184366,31.79624031
"Ames21096",2.107927668,20.12194856,10.04901496,3.284394623,57.75106882,1.922390982,32.53006054,62.87970344,95.58882333
"Ames21512",0.617916589,21.09921242,6.925398253,2.434049716,50.26239119,3.779082962,28.79630573,56.55322479,85.61555589
"Ames22441",5.287196299,42.87302264,6.174446707,13.05832423,76.80990384,1.780642905,54.39051071,91.81751064,146.7269343
"Ames22442",1.813423288,29.04799482,7.789742297,4.828844089,76.2199013,2.029358752,38.80887878,82.50827253,121.6187273
"Ames22747",0.605090511,2.845339477,6.365467591,-0.111014387,6.76640168,6.163700606,9.979999294,12.94670531,23.47976602
"Ames22748",0.78557128,28.15667342,14.59059116,1.288707062,47.00734914,12.63981928,43.70761014,61.56654183,105.6239937
"Ames22750",0.624164636,7.478918256,9.610587358,4.161952249,62.75760868,7.266550007,17.78669481,74.83786025,92.872265
"Ames22751",0.624752713,24.13558463,6.816947901,2.288761216,61.36547178,-0.333514386,31.55020986,63.1632238,95.4457681
"Ames22752",1.403854703,28.58982077,12.74297916,1.417906656,26.15672592,7.98420468,42.79064547,35.6516877,79.03914685
"Ames22753",0.560814387,24.79897581,10.42645956,1.151430114,27.47512118,5.920978914,35.92661965,35.04884904,71.20317639
"Ames22754",0.535835708,16.22872323,7.273484619,1.910033669,65.0817232,3.557215754,23.82329675,70.45348138,94.47574149
"Ames22756",0.737907646,6.210449498,6.83534279,1.96906904,41.17068916,6.920804394,13.91728638,50.74965837,64.73625975
"Ames22757",0.860457913,29.20538908,6.682517979,1.32993725,30.87519496,2.406271244,37.22866954,34.80323414,72.3611089
"Ames22759",0.579433508,12.19449722,6.120748714,2.655350504,51.76328461,2.520397685,19.52911311,57.02441652,76.32752634
"Ames22760",0.353560814,16.90251481,5.649396708,2.977895492,82.35931955,7.705018304,23.02107357,93.13045752,116.1688251
"Ames22762",0.289750035,12.12179588,6.045329661,0.643463555,19.73022064,6.350177692,18.50345397,27.03955927,45.93983108
"Ames22765",0.358934809,9.947757918,9.232734277,0.966495362,23.79860079,4.294666083,19.62670961,29.20806607,49.03088358
"Ames22766",0.574968991,8.63709416,7.539180212,1.158057752,38.64761307,19.01192887,17.27290344,59.28179629,76.02549099
"Ames22767",0.404045473,15.65916452,6.485116819,1.426339946,50.70864678,2.159047523,22.42327401,54.26590689,77.27483267
"Ames22792",0.594974885,9.812511001,11.01510277,0.010763117,5.219711659,2.123269471,21.77031628,7.495847134,28.95229673
"Ames22793",0.839420796,28.72506819,14.185347,0.220590883,7.545913598,-0.039652839,44.00673869,7.642833851,51.39822836
"Ames22794",0.483955574,22.95188941,8.471699076,0.009580231,8.38808818,1.754409416,31.90388372,10.21977036,42.34227585
"Ames2327",0.338232434,9.465540544,8.843841134,0.764154658,25.02961349,10.28642125,18.80970596,36.71603138,55.71552718
"Ames2328",0.200018939,6.256671888,4.847313059,-0.072623406,11.13538824,4.96855543,11.43810957,16.74372165,29.07582927
"Ames2329",1.029427531,21.22489504,7.057048324,0.77703244,34.27603503,9.34501235,29.19351555,44.01801665,74.46989322
"Ames2330",3.051172622,26.02806879,3.459487537,2.847909028,47.38331339,1.454652191,32.65737234,51.84137717,85.13649515
"Ames2331",0.19346103,3.341747796,4.868751084,1.536027894,47.8391088,3.344971869,8.255694121,52.75865562,61.57176373
"Ames2332",2.805400589,30.57133735,5.392454108,0.962081548,45.96033634,2.898918391,38.89793342,50.01037111,89.77440272
"Ames2333",0.639993764,7.843276027,9.937951226,1.590822424,24.59802303,6.123750896,18.59359005,32.45636011,51.84712245
"Ames2334",0.490660558,6.316868202,9.127653767,1.084279578,21.48774871,6.033721019,16.12521369,28.90564588,45.48825279
"Ames2335",0.618799419,11.35658079,10.18012725,2.238298354,29.34577225,9.545314761,22.27838854,41.52128904,64.55403459
"Ames2336",1.385799281,20.98667949,11.89825771,2.18789126,19.82752819,7.982588518,34.04747408,30.01139907,64.53559721
"Ames2337",0.82352428,7.395746802,8.894967759,1.997625101,26.09119837,8.05180105,17.41252992,36.92133136,54.96652406
"Ames2338",0.46398977,9.567733525,7.067930727,1.502651731,62.88909559,6.598014755,17.31570616,71.18665701,89.07443513
"Ames23389",0.55951103,19.12301844,12.06339205,1.522690978,51.68990764,4.277570724,31.69452196,57.96837609,90.05343603
"Ames2339",0.820764476,11.7759945,11.25987207,2.262791677,44.80047253,9.10235148,23.81177141,56.44712749,80.38522967
"Ames23391",1.28849812,18.42797316,6.591066365,6.263203627,57.91359092,6.604183709,26.38750679,70.52987364,97.38769292
"Ames23392",0.572756039,11.09907219,5.553280525,2.807043333,59.14542615,7.722302419,17.73642936,70.45627502,88.42926432
"Ames23393",2.55285429,20.44584144,6.602093337,8.263920651,126.7481822,4.558914576,29.39545443,139.6038946,169.30926
"Ames23394",0.061602418,0.043777842,2.974221457,0.543295588,35.37902375,11.23483558,3.422846688,46.99210433,50.63668328
"Ames23395",0.14987506,10.87722654,9.097592961,1.280371387,54.3549892,11.04055069,20.06747606,66.7816365,87.05834759
"Ames23396",0.386221047,20.52350056,10.00713121,1.042955465,45.98101998,7.001592929,30.92516297,53.80518113,85.46344193
"Ames23397",0.620699925,23.16404508,6.374967253,1.386521603,36.18735791,1.895066986,30.15952546,39.93806211,70.51713011
"Ames23398",1.960945396,34.1444149,7.74024793,4.838926516,55.86980722,5.268310522,43.90150817,65.91480256,110.3616002
"Ames23399",0.381651127,10.46962954,16.89668755,1.109397763,59.56171538,18.47322008,28.04549512,79.25765345,107.9697679
"Ames2340",3.299855014,30.62311844,8.194711619,1.187936899,38.45633285,4.529480212,42.27179766,43.82999995,87.00120248
"Ames23400",0.431342655,9.812450192,13.01516453,1.541604716,62.0380168,12.58448426,23.47977923,76.23413837,99.91603415
"Ames23401",0.112563431,12.62647201,10.20345758,0.326532408,32.9483106,11.50609604,23.12626808,44.94990167,68.67838873
"Ames23402",0.242429757,10.52463121,12.00156829,0.910688571,48.76764851,13.25916776,22.9720038,63.14386997,86.10931927
"Ames23403",0.278857148,17.20273791,7.701190306,7.254008538,84.09685494,3.394551497,25.15555303,95.05260697,120.6095296
"Ames23404",1.078433723,15.03920063,4.302127859,7.33756521,71.07518713,2.285059935,20.6952649,81.30951038,102.8016072
"Ames23405",0.70758578,15.19557521,7.206029138,3.692958744,75.30775697,4.718151505,23.36861331,83.57200923,106.6064758
"Ames23406",0.223787147,7.843691014,7.27520911,0.764384081,33.8471856,1.160153686,15.5839874,35.9951146,52.44670194
"Ames23407",0.877226659,11.28301701,3.695905268,2.647083454,109.1867367,7.307529033,15.79389693,119.1850109,135.6719331
"Ames23408",0.710775729,35.77246846,3.620941817,0.891485041,49.27876916,1.577404069,40.25200614,51.77445097,92.63446637
"Ames23409",4.471558443,30.22321682,5.048437076,3.289800466,37.39691384,1.619923333,39.9367654,42.46464957,83.01318061
"Ames2341",0.39156777,16.23689153,8.509044742,1.133944924,51.91615045,10.47587325,25.90809334,63.4279175,89.20899601
"Ames23410",0.356907607,7.133176742,5.579617462,2.917215906,76.50390746,9.100178002,13.11796546,88.65073423,102.8211107
"Ames23413",1.254497106,23.52785601,6.189626781,3.053980826,61.29787354,1.773760804,31.26585635,66.40425758,98.6773661
"Ames23414",0.666583998,33.42590422,5.646651224,1.028338539,44.99074772,2.844234137,40.0622586,49.01840938,89.63384006
"Ames23415",1.49802936,49.74248442,7.048803646,3.950361765,53.2721874,3.548319628,58.9332178,61.13125175,120.6871301
"Ames23417",0.405412932,18.34523497,3.28345679,0.920530236,55.4191207,2.633736723,22.12634347,58.91448169,81.38664439
"Ames23418",2.074861547,35.73200608,9.185546953,4.69042226,92.22382585,5.932491201,47.00630655,102.8314881,150.1697077
"Ames23419",1.814194553,12.61273901,3.48095592,2.103104918,45.77423224,2.229484153,18.16692609,50.5898747,69.64339168
"Ames23420",1.516673229,31.5941277,5.086808308,2.620906125,33.0720087,3.042390671,38.50520775,39.07999097,78.44634008
"Ames23421",1.151350986,10.44020781,4.147851319,2.869820754,56.70128837,2.235919803,15.84396243,62.03679747,78.64820523
"Ames23422",NA,37.33315372,7.079177513,3.197447073,54.60914348,4.376865025,55.60363527,61.8979876,118.0284613
"Ames23423",6.640977927,30.43222475,5.451569548,3.443975204,32.92135555,1.00678833,42.86663969,36.81645101,79.96742763
"Ames23424",1.440748182,18.23515036,3.606279348,1.237351353,21.80567189,3.469444726,23.57094523,26.45902659,50.53911395
"Ames23425",0.482451414,18.08402275,5.494865806,0.785262089,33.25143678,2.991956557,24.06249277,37.18986929,62.04953038
"Ames23426",1.224740829,20.52090196,5.720443088,3.263401209,61.34196754,2.497319605,27.80416966,67.20277207,95.73308808
"Ames23427",1.716759663,16.20721993,5.065883275,2.529143745,29.27771153,2.549852673,23.10278436,34.75093214,58.47416566
"Ames23428",0.664150455,12.52916501,3.918388563,0.242848852,12.56847272,1.480494753,17.66548538,14.5862038,32.36046731
"Ames23429",0.205884879,1.461370965,6.280894544,1.815409485,60.33391692,5.956371906,7.600620971,68.34110768,76.35995987
"Ames23430",2.393475909,22.41196669,7.959157859,2.033504153,56.74936722,9.878536652,33.05565292,69.03485381,103.1301579
"Ames23431",0.308505041,13.15854512,8.086505508,0.30337966,15.58630077,5.310148141,21.69420415,21.87925471,44.16660843
"Ames23433",0.121332331,1.371253264,4.944842823,1.395174046,60.70879783,7.974872135,6.465554728,70.0616376,76.81453062
"Ames23434",0.260083249,6.745712082,8.117646311,1.414655211,53.01915451,2.030144995,14.72025058,56.43147047,71.65061598
"Ames23435",0.392613592,2.491845532,5.019094836,0.532411338,18.93504088,6.794256885,8.031194825,26.27911437,34.85434603
"Ames23436",0.598436344,16.35140679,4.747767594,0.02281759,4.713960972,0.887115763,21.81771831,5.557251334,27.64636173
"Ames23437",0.214424776,11.81368195,6.328849149,2.144469034,58.40397351,2.573846802,18.35447444,63.14077523,81.69056541
"Ames23438",2.940888157,21.41037193,7.531984025,0.110469104,13.11420228,2.080663096,32.10240714,14.70901592,47.339659
"Ames23439",1.103737099,31.48736849,10.13896892,0.737357669,53.12954825,4.478384174,42.49393919,58.64429099,101.610109
"Ames23440",0.513862444,18.07280549,5.277387631,3.122935933,79.63979587,2.048635322,23.82633313,84.92244609,109.6904516
"Ames23441",0.418368003,13.58517921,10.22033649,2.452517084,43.03113372,4.825059644,24.53660944,50.78388428,75.72998843
"Ames23442",0.643164244,26.84137839,8.426117949,1.469269538,49.79259014,2.585705997,36.01686413,53.98400913,90.52091896
"Ames23443",0.3424088,20.83804607,7.985017904,1.785847888,54.25453581,2.389518524,28.95401726,58.37988061,88.18617316
"Ames23444",0.385345793,11.55130329,11.58689492,1.100885273,45.40834876,5.536147686,23.74525081,52.36450603,76.60127152
"Ames23445",2.878062326,12.5669483,5.258509663,0.124504498,13.92677465,1.711211219,21.05317211,15.57133932,36.7699426
"Ames23446",3.31143299,33.76479612,7.270483888,2.03574868,47.80300475,6.255211666,44.29820896,56.44488525,101.3127948
"Ames23447",2.501315732,30.89137696,6.221687664,1.824072179,45.64360881,7.160924844,39.62075925,54.70014896,94.79835169
"Ames23448",0.353744319,24.64396079,6.672611327,0.972365392,21.91178102,1.174829077,31.76680197,24.2986821,56.56534102
"Ames23449",0.768945988,19.23505348,4.310003654,-0.057124412,10.10298261,0.666452853,24.60744655,10.60584446,35.69436193
"Ames23450",0.199180284,7.703737965,2.411544744,2.700167682,46.63117528,1.497946228,10.40558592,50.7693991,61.28479464
"Ames23451",0.184305479,6.437513576,6.034360933,0.653045232,33.62964871,2.749966814,12.85062741,37.10839623,50.4277002
"Ames23452",0.154494413,0.586373063,3.996576225,1.864660489,48.92204208,3.535216896,4.680978326,53.9492255,59.62300249
"Ames23455",0.524313797,32.27892084,5.404379204,2.426586318,84.51286344,3.357309443,38.19083282,90.29343782,128.8269079
"Ames23456",1.392116236,10.67831646,6.184816399,0.762422488,24.25160411,7.305121988,18.48593606,32.82401916,51.92713749
"Ames23457",0.26708505,3.151035482,5.746611067,1.854408273,43.4526191,5.73524151,9.482549115,50.97376281,60.13993458
"Ames23458",2.077831152,34.64924103,6.665018597,4.83159089,103.1574997,6.581593732,43.58959973,114.4388294,158.3909074
"Ames23459",0.498688603,10.34813689,8.961055189,1.509885654,65.0607715,12.94879228,20.30834657,79.63157218,100.5376501
"Ames23460",1.579500333,41.85396095,8.20597177,7.55551476,71.03021309,2.808399089,51.7522226,81.66821431,134.3084306
"Ames23461",1.125014113,38.41763429,5.830147769,0.922683119,55.32347333,1.76193245,45.58070736,58.1380599,104.1066523
"Ames23463",0.954518921,8.578032562,6.328990513,2.4327949,39.27383213,11.2093843,15.83841286,53.0224325,69.11860121
"Ames23464",1.733522888,6.963896576,7.680274825,1.979114713,40.69290291,10.34029151,16.5998394,53.37857919,70.56466765
"Ames23465",1.22201072,20.49329568,8.299920718,0.596459861,31.77660354,1.698602171,30.11496744,34.57247163,65.11780435
"Ames23466",1.076547901,15.85214705,8.08201339,1.839302838,65.17270102,0.517498879,25.65851182,67.58304323,93.28518164
"Ames23467",2.046313424,30.07806158,6.979657703,1.080177924,56.91751196,1.520390325,39.38630055,59.94270429,100.2063293
"Ames23468",0.20933647,7.73537971,12.10126284,0.511695945,24.15156375,11.68210228,19.97755253,36.35054841,56.457718
"Ames23469",0.343722247,8.256169046,11.69071363,0.21440466,16.77439217,12.47263476,20.49188142,29.29972303,50.18137329
"Ames23470",0.179550901,4.465573955,8.051476559,0.164844879,10.8695049,12.02117117,12.81184299,23.04100882,35.79907918
"Ames23471",0.538329482,12.41233686,13.67728764,0.874269342,35.44233069,12.57529962,27.02432084,49.46930617,77.05749858
"Ames23473",1.082360778,12.54399603,11.86278513,0.038222759,5.240186392,11.02777318,25.38652952,16.51817869,42.71435247
"Ames23474",0.259172468,8.441153579,9.674962484,0.048883202,17.96798581,8.537643321,18.49985335,26.05609912,44.87279398
"Ames23475",0.696931859,20.06820528,3.563648379,1.930569669,28.69608994,1.773583001,24.3822466,32.53528737,57.98291578
"Ames23476",1.471236025,23.38332136,10.81618879,0.458627584,25.85224023,1.211075316,35.93566801,27.60309721,63.91974251
"Ames23477",0.473160716,7.530439484,9.26932872,0.398752001,17.53395824,7.701513374,17.58254887,25.77521634,44.09126464
"Ames23478",0.525104844,23.4639858,5.89522488,0.178855704,17.08986761,2.472230177,30.30277219,20.47236538,51.55670706
"Ames23479",0.372404961,15.0497243,11.5303842,5.32166887,67.17118727,2.378349221,27.06372621,75.22889238,103.7006803
"Ames23480",0.353569816,14.24286643,4.300326526,5.271867734,86.30401604,4.563624603,19.1870109,96.91131644,115.7783441
"Ames23481",0.326670448,15.26597144,4.738657553,2.926590602,86.87998366,3.47132074,20.28747371,93.46117022,114.0112323
"Ames23482",1.936367899,17.59340024,5.270512811,2.452988695,50.91261934,1.687290921,24.78093933,55.17436685,80.19168648
"Ames23483",1.657986485,13.73220255,5.711257751,2.201365228,57.06005782,5.348547622,21.14875275,64.46691159,86.2047624
"Ames23484",0.740302497,17.69282132,7.713169479,2.143971448,36.34709738,NA,26.30017948,48.88532636,75.31419286
"Ames23485",0.444267663,6.110912069,8.317544895,1.650720505,47.56790147,0.624427996,15.00611592,49.62748726,64.71779769
"Ames23486",1.811798728,31.60041018,8.313231604,0.066123711,16.52441405,7.832400477,41.87255134,24.64517407,66.89085345
"Ames23487",0.756804973,10.61275626,9.715754852,-0.247856887,0.230003991,2.704433256,21.31480374,3.07810291,25.14259255
"Ames23488",0.576884917,30.51348393,5.303573494,0.647709906,34.09162411,2.858152685,36.54972019,37.7969292,74.73509359
"Ames23490",0.58661198,17.95942754,7.488057342,2.007971572,63.68381266,2.706651757,26.02310514,68.797283,95.44088667
"Ames23491",2.144038348,28.95556991,7.431998762,6.029619499,93.37454911,3.166277349,39.05237198,102.7686538,141.9992348
"Ames23492",1.069828756,7.055450074,5.547564626,1.575519502,42.21464203,7.58311907,13.66499756,51.46167862,65.5733603
"Ames23493",0.643900264,9.658371415,5.785233866,7.059816112,114.4713184,11.02591405,16.03164592,132.4111846,149.0636748
"Ames23494",1.372705429,27.05238935,7.037981371,1.058515985,53.6831394,8.279511645,35.35160315,63.14664059,98.81901025
"Ames23495",1.591836841,33.15354637,6.049255351,0.731533232,27.28576617,4.593344404,40.97473978,32.66604389,73.299124
"Ames23496",0.212839464,5.653013518,13.42488342,0.543435462,42.06259506,10.66783909,19.52845497,53.1117106,73.18887621
"Ames23497",2.529126133,35.28907604,7.50860898,0.367094522,27.5931246,1.500485181,45.57679843,29.50912252,76.10542647
"Ames23498",2.552708813,26.72853355,13.67866507,0.829743592,35.44063551,11.6536043,43.1137936,47.43773655,90.61148273
"Ames23499",1.051730886,10.18704827,7.475842899,-0.009910312,5.792013498,6.2868815,18.6564,12.523168,31.88452371
"Ames23500",0.169064553,14.54380822,7.814772362,0.419413321,30.02789391,5.960506922,22.50948241,36.48007542,59.19615428
"Ames23501",0.795508182,20.20085836,7.555555892,0.958735315,70.95915395,7.278767537,28.7501663,79.66734575,109.1561071
"Ames23502",1.595005344,24.85435397,8.724854395,2.859879652,NA,4.133101843,35.44013788,62.94217024,99.24481822
"Ames23503",1.884089537,36.42139748,12.86470996,0.981379561,22.08022711,5.239520891,51.42344508,28.5961939,79.89988239
"Ames23504",1.815184834,32.7154875,12.76424864,2.812075423,47.29868622,9.535726167,45.5237772,59.68686035,105.690086
"Ames23505",0.486730495,9.57873126,3.706221317,3.431909823,55.98654748,1.898768393,14.0326392,61.29563315,75.81449144
"Ames23922",0.667557413,15.73074871,9.256712376,2.197195606,61.17975272,0.793848132,25.84995056,64.26158789,90.26030057
"Ames23924",0.473435444,12.04677611,6.012359467,1.724821035,58.83040227,2.157081735,18.63758449,62.84958019,81.75365828
"Ames24585",4.46531748,29.34911602,6.081948324,1.394827416,37.16423159,2.005431281,39.74655445,40.73493407,80.96243192
"Ames24589",0.65483457,22.81440533,5.618818599,3.812923158,47.98567004,2.813771517,29.35291293,54.69513875,84.09427714
"Ames24590",1.181912575,34.4449394,7.985360186,7.889125315,88.35610017,4.219633398,43.68731802,100.6189159,144.9162973
"Ames24704",1.593349094,19.70902435,9.036112508,0.061383914,13.56075197,1.657195057,30.65818691,15.44124688,46.90546118
