GENOTYPE	d.T3	g.T3	a.T3	d.T	g.T	a.T	Total.Tocotrienols	Total.Tocopherols	Total.Tocochromanols
PI552815	0.160960163152506	4.21281698475023	3.12869206410602	1.59216063259961	6.42544075639952	3.07147481464524	3.28149156013724	7.0388390036994	8.78860205322781
PI553055	-0.527913600163378	3.85816082700035	3.07922794609298	0.615622816341305	3.48396544242333	2.6377181246297	3.15398322462535	4.00133737267929	6.3150651018022
PI553056	-2.26611437877793	2.62508282802657	2.0018575288966	0.673637806985326	3.14178299059626	1.50170588498547	2.19422196968489	3.02726148457645	4.35868825565674
PI553057	0.0300907849854734	4.06417761385991	1.95479348627931	1.2633337247141	5.51804333926438	2.91318725573898	2.90211478893251	6.09240490857264	7.48781650549745
PI553059	-1.37962129960259	4.20409367367094	2.51223546746717	1.20744299492771	6.76280743212462	1.59275079971727	3.09573477581029	6.80322057117069	8.32060390837107
PI553063	-0.666421806162212	5.25941507650803	4.23899546472982	0.711238500082778	2.73655845799062	2.29138418756	3.78532394057642	3.12070588665449	7.36631867488775
PI554612	0.0647533433741221	5.71811686982699	3.71832121124574	1.34139118008134	6.17327698260818	3.22549489334583	3.87140072408889	6.84216160946232	9.77204205629509
PI554615	0.806456304514912	6.39203167991211	2.34960788792513	1.54906629005992	6.66684672570174	2.35430313893517	3.84290625419699	7.03657572118712	9.83828359115552
PI554616	-1.5667517206099	2.49086990226306	2.7450339010657	1.27033301932997	6.4682928585524	3.11595539329433	2.50168047102226	7.08610461537226	7.92972844490907
PI555650	-1.40239797508909	2.05733156054147	2.22239897588169	0.741238573605017	3.4923427114188	3.20121998837943	2.04593557614619	4.45119435994431	5.2731822147542
PI555651	NA	3.11614231013283	2.34816309655015	1.56278614851809	7.29823805887421	1.88324808535679	2.73463452571561	7.49166197782575	8.47779554483357
PI555660	-0.295675726073672	4.60626412258351	3.12680613086261	1.09926828390525	5.09730795557812	2.82121734256686	3.40962009911316	5.61699674559279	7.9182218559472
PI558516	-0.507517476723382	4.88406105377482	3.46495506175766	1.70441799832083	8.02392616329438	3.14905085478148	3.56820002464325	8.5733621380413	10.4465630807457
PI558517	0.546283322576416	5.22556653359231	2.34725570549951	2.24487382028478	9.67618859799663	3.19932987952165	3.49817358046157	10.2860218111766	11.767556696273
PI558518	0.381997641886066	6.6494198022835	2.78151654893513	1.19054623471749	8.50507087354362	2.8819583126756	3.9495620151182	8.88052672987363	11.4242586849213
PI558521	-0.856429599088368	4.0142422867834	2.54356935938456	0.721044563810032	3.5419131107355	2.05468015613136	3.06070700297639	3.7144590171383	5.95733227292217
PI558522	-0.384938075609743	4.38938410337943	2.1087308189999	1.7931961016576	7.40746902079246	2.3502175080192	3.13866795732319	7.77824208353019	9.1316514656441
PI558524	-0.643427724506477	4.56433975148652	3.85625488784131	0.96249772311419	5.8020209448088	3.70440170810348	3.5401879373197	6.69390651264267	8.89558945545488
PI558526	-0.450062752682897	4.85168129177917	3.23171630561842	0.966142779820871	5.02874483086983	3.48352867147667	3.49904792715499	5.93152593520419	8.26007325936036
PI558527	-0.0216505314398391	3.8673331078406	2.98405604169895	1.78127593791641	8.94562074112244	1.01022034675609	3.14122708506554	8.9879445870566	10.1986864056113
PI558530	0.948622054117947	6.02261864698405	3.28202950474245	2.00659556089412	9.92925973343431	1.40088278738801	3.87162800285885	10.0621754109139	12.2055678688048
PI558531	0.719951554981623	5.40682797460766	2.38298602303916	1.37042280629009	8.08267979410294	2.6134638627691	3.56224194852129	8.40304105607012	10.3261183655815
PI558532	-0.675853417441023	3.50547469923832	3.00417795245222	1.41584751862621	7.28156149695929	3.95916783996334	2.99166893687157	8.17726466307652	9.36626466420846
PI559375	1.73349365886261	6.29633568649258	3.58669366687483	2.03100633529293	7.59998103905529	3.49686730302996	4.03484830622811	8.43433737349888	11.316600394995
PI559380	-1.25690416944364	3.26468089864844	3.09520989433673	1.11457577176251	5.8173495557685	3.056813658534	2.93244932865058	6.41257248614002	7.79412584835529
PI559381	0.25447131462308	4.92497696410856	3.50448501066847	1.83341857850301	6.97919946369209	2.88906238786912	3.58818556059523	7.57485401179455	9.7052069313333
PI559382	0.273118500586601	5.17405029614131	3.30173608424417	2.03624253958118	7.58309302883724	3.14126962277994	3.57128076209022	8.24722873091319	10.20828113837
PI559383	0.685111849079463	6.21049908276299	2.59905386419751	1.78762804604314	6.76716343337443	1.56233606083966	3.81673954042698	6.89936729490466	9.68467886406152
PI559916	-0.503728564243199	3.14080118759529	3.57759490859432	NA	6.11108339363815	3.63279857891956	3.07682479705493	7.36538101865749	8.74395865326455
PI559918	-1.38539349102523	4.10218169478145	3.37265010785287	1.07525908924315	6.18323545839878	3.27278922388839	3.2782017741273	6.83597826576416	8.57323738852483
PI559919	0.838969779993924	4.69604485679172	3.59544619901341	2.11671682943184	10.6314412594906	1.76960404186925	3.57404362159093	10.7968671011549	12.346849343051
PI559920	-1.30356326179635	2.8976658119942	2.19472477932883	3.23628389159542	7.78232455851078	1.46609300421222	2.48012782771854	8.36142281253615	9.06032611664724
PI559921	0.360488108078829	5.13775560016239	3.59073286391511	1.15563760669165	4.71526525489288	2.56732377642556	3.68670090129006	5.18939006146194	8.20123556118223
PI559935	0.651911020076474	5.48855008877572	2.91204549123121	1.00021338573326	6.82222590171272	2.98837860352399	3.66101512521372	7.29582410081274	9.60631959441284
PI559944	-0.646767731258582	4.4993880247207	2.7073281670311	1.35472358066138	6.58476704857507	2.83650858451019	3.26429524550692	7.05167400338388	8.77241980869589
PI559945	-1.21272486209514	3.37179414688975	2.70096299604419	1.32993360322988	6.67672686830905	3.21321812627154	2.83367941484012	7.29651881379059	8.44277352236811
PI559946	-0.273984523015092	3.58992488737578	2.84395798738308	1.49148372736681	8.57061896621242	1.82644408893347	2.99798320131424	8.68008097427668	9.78959616684979
PI559949	-0.656682941840188	4.40908866626653	2.57610390415449	0.716955166659673	4.37988635286351	3.25850365091095	3.20110576564928	5.20121559733876	7.24132740593878
PI559952	-1.24838156736672	2.91434425454509	1.75204314187751	2.08673794689223	9.35549835732977	1.5119695459896	2.28876513010685	9.50625157830362	10.039977619497
PI559953	0.940205941096525	4.99100179392875	2.48084439455601	1.1304489842536	6.11659803354773	2.97965828141416	3.46728282070503	6.66422186305348	8.77315762026421
PI559954	-0.536291093933855	4.82871147170754	3.00710831281482	1.01681771965284	6.4015445623693	3.81180718229556	3.43205712889344	7.26812767086545	9.18078148797803
PI560074	-0.906506055830096	3.81092981396929	3.33672542772102	1.06849857089282	5.75045967936477	3.43676749795502	3.19658221067867	6.51859141226078	8.21959346135805
PI560075	-1.2372961886898	2.9622388124525	3.33084848049262	0.95559761720088	4.25931610402421	3.0524805109943	2.95024858541288	4.992278735207	6.66044854870901
PI560081	-1.71282720001701	2.64106708794002	2.61490188056837	1.04522841666308	4.89808943201326	2.48377896802433	2.35860491911115	5.30994415884009	6.14601200698469
PI560082	-2.12336633657707	2.48382998371467	2.93521602135175	1.95369090364878	8.68510191500365	3.84568279178093	2.57948262376554	9.50379206843247	10.1943830024185
PI560316	-0.816091303494313	3.77783714140777	3.71906662349574	1.42810075449879	5.85291343383789	2.71831279620282	3.301235948765	6.38889807713349	8.24920437315018
PI561516	0.46693789342634	5.67330061930443	4.25737268629374	2.13946816382016	7.75494017217412	3.28672050211149	3.91837431529071	8.50010523523091	11.0735169932592
PI561523	-0.396609414270361	4.00677440680156	2.72986245422732	2.56203950672116	8.65076848054553	1.74827083971563	3.09823932455105	8.98544266244018	10.1696111233419
PI561526	-0.121015491166044	4.48540954618416	3.24329300557319	2.14689963831568	7.37931956375383	2.47151500521441	3.39670690186547	7.85785735172127	9.58422825062091
PI561527	-0.711916148825737	4.72645782558144	2.21984957485862	1.43811051522475	6.84779790910918	1.66114147169951	3.25640204317565	6.91394778907102	8.60219504312707
PI561529	1.50327606868755	7.25767713025318	2.91129305773225	1.0290193443274	6.56983751351584	1.54153448615333	4.15926156188389	6.58454851679293	10.3616596788352
PI561533	0.823601445805354	5.46853810693498	1.61395719738784	1.95537012302019	8.43593994845862	1.5076206561997	3.52276359901664	8.5857252314525	10.3886964726091
PI561565	0.117514556952535	4.24360010568857	2.28162174406715	1.33693134453494	7.47344928289475	1.7223905341124	3.11623715717469	7.57346233568241	8.9817973195792
PI561604	-0.107414484719922	4.96630903861208	3.35508068606405	1.11524916722677	5.25583696322479	2.89073463725054	3.55778590011608	5.82002853944893	8.30124874642364
PI561694	-0.961032246646377	3.93103436858545	2.8346741768676	1.56978870170479	8.79332669096287	3.55197321146993	3.10458423048101	9.44913338618944	10.5889386389761
PI561695	-0.169141665599308	4.95622125888262	4.04662166010118	2.0105953168154	7.63714985933889	3.47583025549292	3.68955501362222	8.43349856702425	10.5779940347875
PI564682	0.942277961305902	5.95728023069253	1.99480386579734	0.805125898229587	4.83611394758229	2.4192737511493	3.71088205161187	5.12402958617532	8.21358664957033
