"Plate.Number","Envelope","PedId","RecId","Source","Gen","Pedigree","ID","Year","Tier","Plot","Range","Pass","New_Block_Pass","New_Block_Range","Comments","Event.Name","Seed.Packaged.","Grind.Tube","Position.in.plate","HPLC.Datafile","d.Tocotrienol","g.Tocotrienol","a.Tocotrienol","d.Tocopherol","g.Tocopherol","a.Tocopherol","Total.Tocotrienols","Total.Tocopherols","Total.Tocochromanols"
"Ames17-Toc-17H","Ames17-EN-2145",3883147,3882793,"17SJMY:2145",178,"38-11 Goodman-Buckler","Ames 31535",2017,4,2145,3,104,2,1,"0","0","Yes","Ames17-GT-0891","G02","Ames17-CT-17H_Ames17-EN-2145_38-11 Goodman-Buckler_92.lcd",0.343012149,19.50729936,8.296239229,3.785916776,71.66285286,3.595698679,28.14655074,79.04446831,107.1910191
"Ames17-Toc-17H","Ames17-EN-2176",3883175,3883221,"17SJMY:2176",1130,"LH65","PI 601494",2017,4,2176,4,104,2,1,"0","0","Yes","Ames17-GT-0269","G12","Ames17-CT-17H_Ames17-EN-2176_LH65_102.lcd",0.200044501,3.446732023,11.46703508,0.515094099,25.26712478,10.70005151,15.1138116,36.48227039,51.59608199
"Ames17-Toc-10L","Ames17-EN-2225",3883523,3883269,"17SJMY:2225",1212,"Pa879","PI 517973",2017,4,2225,5,104,2,2,"0","0","Yes","Ames17-GT-1159","E02","Ames17-CT-10H_Ames17-EN-2225_Pa879_65.lcd",1.989063956,35.45241657,9.764862556,4.34462405,89.95295514,1.32217682,47.20634308,95.61975601,142.8260991
"Ames17-Toc-19H","Ames17-EN-2256",3883553,3883299,"17SJMY:2256",1390,"CI 85B","CIze 85",2017,4,2256,6,104,2,2,"0","0","Yes","Ames17-GT-0151","A02","Ames17-CT-19H_Ames17-EN-2256_CI 85B_11.lcd",1.257919602,28.89226113,6.158377132,1.072406791,43.81888691,6.84801707,36.30855786,51.73931077,88.04786863
"Ames17-Toc-12H","Ames17-EN-2305",3883601,3883347,"17SJMY:2305",1785,"SC 357","NSL 53094",2017,4,2305,7,104,2,2,"0","0","Yes","Ames17-GT-1342","H04","Ames17-CT-12H_Ames17-EN-2305_SC 357_107.lcd",0.069280971,1.047356583,4.125655103,0.509320893,37.326112,9.11211648,5.242292657,46.94754937,52.18984203
"Ames17-Toc-14H","Ames17-EN-2385",3883677,3883423,"17SJMY:2385",1670,"NC304","Ames 27148",2017,4,2385,9,104,2,3,"0","0","Yes","Ames17-GT-0136","H09","Ames17-CT-14H_Ames17-EN-2385_NC304_112.lcd",0.110448055,5.051541165,14.8088119,0.177149547,13.17525818,19.13302383,19.97080112,32.48543155,52.45623268
"Ames17-Toc-06H","Ames17-EN-2417",3883708,3883454,"17SJMY:2417",1647,"Hi61","PI 641243",2017,4,2417,10,105,3,3,"0","0","Yes","Ames17-GT-1550","C12","Ames17-CT-06H_Hi61_Ames17-EN-2417_48.lcd",0.331726117,11.11301599,7.022504751,2.118967745,46.757122,0.816777773,18.46724686,49.69286752,68.16011437
"Ames17-Toc-05H","Ames17-EN-2097",3882382,3880912,"17SJMY:2097",1116,"N514","PI 594063",2017,4,2097,2,105,3,1,"0","0","Yes","Ames17-GT-1014","A07","Ames17-CT-05H_Ames17-EN-2097_N514_16.lcd",1.313553897,31.55578322,7.943964401,1.90733143,80.97221741,16.57361799,40.81330151,99.45316683,140.2664683
"Ames17-Toc-17H","Ames17-EN-2144",3883146,3882792,"17SJMY:2144",1422,"K47","NSL 22628",2017,4,2144,3,105,3,1,"0","0","Yes","Ames17-GT-0162","F09","Ames17-CT-17H_Ames17-EN-2144_K47_85.lcd",0.142406677,5.422479483,10.22919918,0.721342286,30.47281103,3.059636491,15.79408534,34.25378981,50.04787515
"Ames17-Toc-17H","Ames17-EN-2177",3883176,3883222,"17SJMY:2177",1349,"WIL901","PI 601685",2017,4,2177,4,105,3,1,"0","0","Yes","Ames17-GT-0140","G06","Ames17-CT-17H_Ames17-EN-2177_WIL901_96.lcd",0.70933707,10.62463559,12.66596939,0.653421217,28.38976789,11.85505866,23.99994205,40.89824777,64.89818982
