"Year","Tier","Range","Pass","Gen","Pedigree","Source"
2015,3,30,40,1470,"B99","PI 584528"
2015,3,29,37,1437,"AusTRCF 306068","NSL 437928"
2015,2,35,8,444,"C7","Ames 22012"
2015,2,28,27,251,"CO252","Ames 27049"
2015,2,36,2,468,"4F-259 HQ","PI 198894"
2015,3,30,66,1494,"AusTRCF 306241","NSL 437936"
2015,2,30,21,305,"4554 INBRED","PI 415082"
2015,2,23,1,77,"S 51","PI 535917"
2015,3,7,46,776,"MS198","Ames 24735"
2015,2,36,11,477,"NY 364 (Neveh Yaar)","PI 200188"
2015,3,34,52,1603,"Mo312ae","NSL 67797"
2015,3,32,60,1550,"Tx118","Ames 22762"
2015,3,30,57,1486,"CI 42A","CIze 42"
2015,3,20,57,1181,"R216A","NSL 29304"
2015,3,19,40,1136,"LH215","PI 552815"
2015,3,26,67,1374,"WXK55","Ames 26751"
2015,3,40,60,1793,"AusTRCF 306346","NSL 438032"
2015,3,18,64,1128,"LH212Ht","PI 547089"
2015,3,38,68,1740,"SC90","Ames 10272"
2015,2,22,1,47,"A16-3-2 INBRED (POTCHEFSTROOM PEARL)","PI 221736"
2015,2,26,1,167,"T8302 INBRED","PI 267169"
2015,3,28,64,1432,"SG 30A","NSL 75980"
2015,2,21,29,44,"A509","Ames 23447"
2015,3,34,61,1612,"Mo27W","Ames 28927"
2015,3,13,61,973,"H25W","Ames 20137"
2015,2,25,4,140,"CM182","Ames 27036"
2015,3,9,60,852,"H42","Ames 26784"
2015,3,9,45,837,"Va26","PI 587149"
2015,3,18,37,1103,"M14","NSL 30867"
2015,2,41,5,617,"A685su","PI 567793"
2015,2,39,1,557,"W9","NSL 30065"
2015,3,19,52,1147,"CI90C","Ames 22440"
2015,3,19,49,1145,"Va22","Ames 19328"
2015,3,17,50,1084,"AusTRCF 306343","NSL 438029"
2015,2,29,3,259,"ND376","NSL 32733"
2015,3,11,61,914,"A57N","PI 406107"
2015,3,5,60,731,"89S4110","Ames 12817"
2015,3,29,44,1444,"HBA1","PI 601172"
2015,3,40,67,1800,"A98NW","PI 406108"
2015,2,25,10,144,"CO257","Ames 27052"
2015,3,3,56,665,"A632RpRp","Ames 23470"
2015,3,2,52,639,"A321","Ames 23421"
2015,3,35,45,1626,"CI 317B","CIze 317"
2015,2,41,31,631,"PHP02","PI 601570"
2015,3,13,39,953,"PHR36","PI 601361"
2015,3,8,57,818,"IB014","PI 601208"
2015,2,30,4,290,"PHJ90","PI 548799"
2015,3,8,46,807,"INBRED 34-1181","PI 186219"
2015,3,19,50,1146,"CI31A","Ames 21512"
2015,2,31,2,318,"ABPl 4","Ames 22793"
2015,2,21,5,20,"P39 Goodman-Buckler","Ames 28186"
2015,2,33,31,405,"T140","PI 340826"
2015,3,36,57,1669,"Mo.G","Ames 27136"
2015,3,33,39,1560,"Pa860","PI 560082"
2015,3,27,39,1378,"PHT10","PI 601573"
2015,3,33,46,1566,"PHG84","PI 601320"
2015,2,27,9,205,"2MA22","PI 601560"
2015,3,21,59,1214,"R227","PI 531511"
2015,2,37,28,522,"Ia453","Ames 22030"
2015,2,33,20,394,"CS608","PI 560316"
2015,3,38,47,1720,"AusTRCF 306354","NSL 438040"
2015,3,34,47,1598,"K64","Ames 27121"
2015,3,21,60,1215,"LH196","PI 538009"
2015,2,31,1,317,"ABPl 2","Ames 22792"
2015,3,29,55,1454,"RB-17 INBR.FR.SUPERGOLD","PI 340854"
2015,2,25,5,141,"A158","Ames 23397"
2015,2,27,13,208,"SD101","PI 533658"
2015,3,9,61,853,"S8326","PI 601612"
2015,2,37,17,512,"787","PI 601490"
2015,2,32,12,358,"ND-B8","NSL 32727"
2015,3,31,46,1504,"CI 43","Ames 28952"
2015,2,23,28,102,"W182B","Ames 19330"
2015,3,31,60,1518,"Va33","PI 542959"
2015,2,32,21,365,"A631","Ames 23467"
2015,2,21,9,24,"CH711-10","Ames 27018"
2015,2,26,13,178,"38-11 Goodman-Buckler","Ames 31535"
2015,3,40,41,1774,"GE 440","Ames 29451"
2015,2,29,13,269,"A676","Ames 23500"
2015,3,22,49,1236,"PHR32","PI 601571"
2015,2,29,15,270,"A683","Ames 23505"
2015,2,40,2,587,"ICI 893","PI 559383"
2015,2,24,11,116,"A407","Ames 23431"
2015,3,23,37,1255,"B95","PI 561565"
2015,3,16,59,1063,"NC290","Ames 28426"
2015,2,27,16,211,"S 37","PI 535916"
2015,3,18,44,1110,"LH214","PI 555660"
2015,3,9,43,835,"Va18A","Ames 19003"
2015,2,28,17,243,"MS75","Ames 24715"
2015,2,34,1,407,"PHK42","PI 601495"
2015,3,31,59,1517,"Va4","PI 542955"
2015,3,32,55,1545,"Pa880","PI 517974"
2015,3,19,37,1133,"B37","PI 550467"
2015,3,37,57,1698,"PH 9","PI 391414"
2015,3,26,52,1360,"GA212","Ames 10249"
2015,3,18,43,1109,"LH209","PI 554612"
2015,3,21,61,1216,"R78","NSL 30876"
2015,3,15,63,1036,"Pa778","PI 560081"
2015,2,31,23,337,"North 7","Ames 2328"
2015,2,36,5,471,"CH741-6","Ames 27020"
2015,3,35,40,1622,"CI45","CIze 45"
2015,2,24,24,129,"ND291","PI 631393"
2015,2,31,12,328,"A449","Ames 23436"
2015,2,31,3,319,"A203","Ames 23400"
2015,3,5,50,721,"PHW20","PI 601791"
2015,2,32,25,369,"F115","PI 257513"
2015,3,24,61,1307,"Mo501W","Ames 28940"
2015,3,17,44,1080,"AusTRCF 306065","NSL 437925"
2015,3,35,49,1630,"PHN66","PI 548802"
2015,3,15,57,1030,"B55","PI 608764"
2015,3,19,61,1155,"LH51","PI 600955"
2015,2,35,16,451,"Pa405","Ames 22757"
2015,3,15,65,1038,"Huobai","Ames 2339"
2015,3,25,61,1337,"AusTRCF 306287","NSL 437973"
2015,3,36,61,1673,"PHN47","PI 601569"
2015,2,38,23,547,"PHV37","PI 601789"
2015,3,33,47,1567,"SX-6-7 (Tetraploid)","PI 601332"
2015,3,19,48,1144,"N509","PI 594058"
2015,3,18,65,1129,"LH123HT","PI 601079"
2015,3,34,58,1609,"AusTRCF 306295","NSL 437981"
2015,3,28,38,1408,"H93","Ames 26796"
2015,3,30,38,1468,"NQ508","PI 559918"
2015,2,28,3,229,"A308","Ames 23418"
2015,3,19,54,1149,"N528","PI 594075"
2015,2,28,29,253,"W 3742","Ames 22055"
2015,2,37,23,518,"Shansi no. 60","PI 459082"
2015,3,33,37,1558,"Mo3","PI 558522"
2015,3,11,66,918,"LH93","PI 601171"
2015,3,27,40,1379,"PHW52","PI 601575"
2015,3,39,53,1756,"SX-6-3 (Tetraploid)","PI 601331"
2015,3,32,48,1538,"R-15 DENT STERILE","PI 340844"
2015,2,35,26,460,"W374R2","NSL 30055"
2015,3,8,45,806,"A648","NSL 81597"
2015,2,25,21,155,"A666","Ames 23490"
2015,3,30,67,1495,"AusTRCF 306264","NSL 437952"
2015,3,30,47,1476,"WIL900","PI 601684"
2015,3,36,49,1661,"Tx706","Ames 23924"
2015,3,39,54,1757,"B84","PI 608767"
2015,3,23,50,1268,"F2834T","Ames 27112"
2015,2,24,8,113,"ND245","PI 550489"
2015,3,27,59,1397,"R71","NSL 30872"
2015,2,28,11,237,"A668","Ames 23492"
2015,2,34,26,430,"A451","Ames 23438"
2015,3,24,46,1294,"WXW22","Ames 26757"
2015,3,27,50,1389,"CI 29B","CIze 29"
2015,3,33,66,1586,"Mo508W","Ames 28943"
2015,3,9,65,856,"NC262B","Ames 28413"
2015,2,33,29,403,"NO. 1070 INBRED","PI 303933"
2015,3,3,47,656,"C5 Ark 1956","Ames 22011"
2015,3,28,50,1419,"INBRED 42-492","PI 186224"
2015,2,27,25,219,"NJ 112","Ames 22044"
2015,3,20,44,1170,"NC278","Ames 28419"
2015,3,39,46,1749,"Hi29","PI 593011"
2015,3,14,39,983,"B84 +/su","Ames 26763"
2015,3,26,48,1356,"PHP76","PI 543846"
2015,3,32,46,1536,"B96","PI 270297"
2015,3,20,64,1188,"H55","Ames 26791"
2015,3,37,63,1704,"1497-2","Ames 29394"
2015,2,35,27,461,"WR3","NSL 30066"
2015,2,33,23,397,"NY 65 (Neveh Yaar)","PI 200181"
2015,3,26,57,1364,"H95","Ames 19319"
2015,3,16,61,1065,"Mo48","PI 634206"
2015,3,21,58,1213,"NC262","PI 531085"
2015,3,4,43,682,"Eng-li Chih","PI 427109"
2015,2,35,11,446,"AD 104 DS","Ames 28974"
2015,2,24,5,111,"S 117","PI 535926"
2015,3,14,40,984,"H45","Ames 26785"
2015,3,32,51,1541,"S330","Ames 2341"
2015,3,8,53,814,"STRAIN 465A-421-68(B)","PI 358530"
2015,3,25,56,1332,"AusTRCF 306238","NSL 437933"
2015,3,20,48,1174,"Va22B","Ames 19006"
2015,2,25,26,160,"A12","NSL 42873"
2015,2,30,10,296,"4676A","PI 601300"
2015,3,25,38,1316,"CI 27","CIze 27"
2015,3,4,52,691,"B67","PI 550455"
2015,3,33,41,1562,"Mo41","Ames 26909"
2015,3,26,39,1347,"RB-15 DENT STERILE","PI 340846"
2015,3,28,52,1421,"A14 INBRED (POTCHEFSTROOM PEARL)","PI 221734"
2015,3,31,62,1520,"90","NSL 30903"
2015,3,25,41,1319,"A266N","PI 406113"
2015,2,23,7,82,"592","PI 233317"
2015,2,32,29,373,"MS71","Ames 24712"
2015,3,38,59,1732,"TZSTRI114","PI 639938"
2015,2,23,22,97,"4537. INBRED","PI 415079"
2015,2,35,2,438,"MS199","Ames 24736"
2015,2,23,11,86,"ND252","PI 550540"
2015,3,6,56,757,"58610 A632 (Meth) Bc5S4","PI 648425"
2015,3,16,49,1054,"H28w","Ames 26780"
2015,3,7,51,781,"R-18 INBR.FR.SUPERGOLD","PI 340856"
2015,2,24,20,125,"A655","Ames 23487"
2015,3,12,43,927,"PHK29","PI 601468"
2015,3,11,37,891,"AD H10","Ames 28989"
2015,2,40,8,593,"NY 992 (Neveh Yaar)","PI 200195"
2015,3,39,66,1769,"NC286","Ames 28424"
2015,2,38,21,545,"78551S","PI 601562"
2015,2,21,6,21,"Hi27 Goodman-Buckler","Ames 28291"
2015,2,32,18,363,"B8","NSL 65864"
2015,2,38,16,540,"IBB15","PI 601458"
2015,3,24,58,1304,"AusTRCF 306245","NSL 437940"
2015,2,41,15,623,"LH74","PI 600957"
2015,3,38,40,1713,"Mo303ae","NSL 67788"
2015,3,18,55,1120,"BR-28 INBR.FR.YEL.PEARL","PI 340861"
2015,3,38,64,1737,"T61","PI 550514"
2015,3,3,54,663,"A630","Ames 23466"
2015,3,39,59,1762,"NC350","Ames 27171"
2015,2,31,20,334,"A629","Ames 23465"
2015,3,17,66,1100,"B52","PI 550454"
2015,3,34,49,1600,"Mo305ae","NSL 67790"
2015,3,38,61,1734,"NC258","PI 531084"
2015,3,31,37,1497,"Ill.Hy","Ames 26808"
2015,3,31,56,1514,"CI 38B","CIze 38"
2015,3,25,57,1333,"PHVA9","PI 559953"
2015,2,24,26,130,"S4","Ames 23508"
2015,3,33,68,1588,"CML 336","Ames 30856"
2015,3,6,64,765,"Ia Ev3004","Ames 22027"
2015,2,39,22,577,"LH143 (Maintainer)","Ames 27450"
2015,3,25,51,1328,"B65","PI 550463"
2015,2,31,7,323,"W64A","PI 587152"
2015,3,18,38,1104,"R74","NSL 30873"
2015,3,39,65,1768,"NC258A","Ames 28411"
2015,2,28,24,248,"Me 244 Wa","Ames 22042"
2015,2,41,30,630,"PHH93","PI 601567"
2015,3,40,64,1797,"CML 77","Ames 28185"
2015,3,4,42,681,"TANG CHAO INBRED","PI 405709"
2015,3,20,45,1171,"Hi60","PI 641242"
2015,3,30,63,1491,"CI 32","Ames 26126"
2015,2,29,12,268,"YANG","PI 391672"
2015,3,13,57,970,"AD SA12","Ames 29012"
2015,3,37,50,1691,"A436-1 INBRED","PI 221775"
2015,2,37,1,497,"PHV53","PI 559952"
2015,3,6,61,762,"Mo42","Ames 20120"
2015,3,38,45,1718,"AusTRCF 306324","NSL 438010"
2015,3,15,52,1025,"PHT55","PI 601498"
2015,3,28,63,1431,"Oh7K","NSL 52605"
2015,3,17,52,1086,"B-15 DENT STERILE","PI 340841"
2015,3,21,63,1218,"R138","NSL 30885"
2015,2,35,5,441,"A664","PI 607524"
2015,2,29,21,275,"MS141","Ames 24732"
2015,3,9,37,829,"Mo17","PI 558532"
2015,3,30,53,1482,"TZEEI 4","PI 641254"
2015,2,25,15,149,"A498","Ames 23442"
2015,2,23,18,93,"LH145","PI 600959"
2015,3,23,44,1262,"WX33-16","Ames 26742"
2015,3,9,47,839,"N501","PI 594050"
2015,3,37,61,1702,"Mo403","Ames 28362"
2015,3,33,57,1577,"NC358","Ames 27175"
2015,3,28,59,1427,"GT113","PI 511313"
2015,2,30,22,306,"4562 INBRED","PI 415083"
2015,3,10,40,863,"NC83","Ames 12727"
2015,2,40,12,597,"N546","PI 597578"
2015,3,39,58,1761,"NC344","Ames 27168"
2015,3,7,68,798,"MM402A","PI 554615"
2015,3,20,38,1164,"PHT22","PI 601788"
2015,2,39,13,568,"H5","Ames 26772"
2015,3,10,63,885,"NC292","Ames 27142"
2015,2,24,17,122,"A547","Ames 23448"
2015,2,33,9,385,"PHV07","PI 543847"
2015,3,31,51,1509,"KUNG-70","PI 391662"
2015,2,39,27,582,"L 155","PI 550695"
2015,3,6,48,749,"PHN29","PI 601780"
2015,3,28,51,1420,"NY 188 (Neveh Yaar)","PI 200185"
2015,3,5,49,720,"PHP55","PI 601784"
2015,3,9,64,855,"PHJ33","PI 601774"
2015,3,19,42,1138,"B86","PI 608778"
2015,2,35,12,447,"AD 157 DS","Ames 28981"
2015,2,29,4,260,"A7","NSL 42872"
2015,3,38,56,1729,"IA DS 53","PI 340876"
2015,2,33,10,386,"ND247","PI 550503"
2015,2,29,20,274,"4554. INBRED","PI 415081"
2015,2,34,11,416,"C90","Ames 22024"
2015,3,18,52,1117,"N523","PI 594071"
2015,2,24,1,107,"W 6462","Ames 22060"
2015,2,40,23,608,"LH220Ht","PI 538011"
2015,2,26,23,188,"ND480","NSL 32736"
2015,3,2,43,634,"(Twan x Tzuh)-S6","Ames 2338"
2015,3,27,54,1393,"Va3A","Ames 14112"
2015,3,20,55,1179,"A116","Ames 23394"
2015,3,37,53,1694,"H14","Ames 26774"
2015,2,38,14,538,"PHG72","PI 601319"
2015,3,27,41,1380,"Mo36","Ames 28934"
2015,3,4,45,684,"AD SA20","Ames 29020"
2015,2,37,26,521,"C68","Ames 22023"
2015,2,22,10,56,"F2","PI 257506"
2015,2,28,7,233,"807","PI 601430"
2015,3,35,62,1643,"AusTRCF 306322","NSL 438008"
2015,3,27,38,1377,"PHV78","PI 601470"
2015,3,32,62,1551,"H102","PI 550496"
2015,2,23,9,84,"ND246","PI 550490"
2015,2,41,14,622,"LH39","PI 600944"
2015,3,25,60,1336,"H105W","PI 587127"
2015,3,12,37,921,"B54","PI 550470"
2015,3,11,40,894,"AD SA14","Ames 29014"
2015,2,38,11,535,"A632 +/sh2","Ames 26760"
2015,3,26,58,1365,"Oh7B","Ames 19323"
2015,3,27,60,1398,"R154","NSL 30888"
2015,3,22,63,1249,"Lp215D","PI 547107"
2015,3,19,65,1159,"H73","Ames 26794"
2015,2,39,18,573,"DA JIN DING (JI 0018)","PI 405713"
2015,2,23,4,80,"S 99","PI 535925"
2015,2,26,27,191,"ND248","PI 550504"
2015,3,11,47,900,"B38","NSL 65869"
2015,3,37,54,1695,"H88","Ames 26795"
2015,3,26,40,1348,"B-17 INBR.FR.SUPERGOLD","PI 340850"
2015,3,16,42,1047,"CI 31","Ames 26125"
2015,3,6,57,758,"Oh43E","Ames 27183"
2015,2,20,27,15,"A495","Ames 23440"
2015,3,11,42,896,"OQ101","PI 559919"
2015,2,26,30,194,"789","PI 233318"
2015,3,15,59,1032,"NY5526","PI 610493"
2015,2,40,5,590,"H116","NSL 197104"
2015,2,26,19,184,"LH162","PI 539921"
2015,2,30,1,287,"BCC03","PI 544065"
2015,3,33,62,1582,"I159","Ames 24589"
2015,2,29,31,285,"W64A","NSL 30058"
2015,3,2,65,644,"H98","Ames 26798"
2015,3,37,56,1697,"M37W","Ames 27133"
2015,3,24,49,1297,"R921E","NSL 30912"
2015,2,32,4,350,"CO256","Ames 27051"
2015,2,25,14,148,"A497","Ames 23441"
2015,2,32,13,359,"A500","Ames 23444"
2015,3,7,65,795,"OC5","PI 553058"
2015,2,32,26,370,"T8146 INBRED","PI 267168"
2015,3,28,66,1434,"B68","PI 550465"
2015,3,9,58,850,"66","Ames 26770"
2015,3,38,37,1710,"81-1","NSL 8581"
2015,3,21,56,1211,"C102","NSL 22983"
2015,3,27,51,1390,"CI 85B","CIze 85"
2015,3,9,38,830,"OS602","PI 559921"
2015,2,39,12,567,"R-53-2 INBR.FR.YELPEARL","PI 340867"
2015,2,32,2,348,"MS215","Ames 24744"
2015,3,22,64,1250,"PHM81","PI 548801"
2015,2,32,7,353,"A334","Ames 23423"
2015,3,33,61,1581,"A152","Ames 23395"
2015,2,35,19,454,"AD SA6","Ames 29006"
2015,2,31,6,322,"H126W","PI 583846"
2015,3,12,56,940,"N532","PI 594078"
2015,3,40,44,1777,"MR20 (Shoe Peg) S7","Ames 30534"
2015,3,37,62,1703,"Mo512BW","Ames 28947"
2015,3,29,48,1447,"INBRED 109","PI 186196"
2015,2,36,10,476,"4F-403 JV 15","PI 198906"
2015,3,6,50,751,"MS224","Ames 24749"
2015,3,14,38,982,"CI 187-2","Ames 26138"
2015,2,41,13,621,"LH38","PI 600791"
2015,3,32,54,1544,"A178N","PI 406110"
2015,3,29,49,1448,"B42","PI 603939"
2015,2,33,28,402,"207","PI 601005"
2015,3,12,42,926,"LH59","PI 601466"
2015,3,10,42,865,"Oh33","NSL 28965"
2015,3,8,48,809,"T8445 INBRED","PI 267171"
2015,2,24,21,126,"E8501","PI 601724"
2015,3,10,37,860,"58803 Mo17 (Meth) BcS3","PI 648432"
2015,3,24,56,1302,"Va85","Ames 27193"
2015,3,23,38,1256,"N200","PI 568159"
2015,2,40,31,615,"ICI 441","PI 559381"
2015,3,11,53,906,"INBRED 309","PI 186227"
2015,2,26,7,173,"CO216","Ames 27044"
2015,3,19,59,1153,"CI 2","Ames 26115"
2015,3,22,39,1226,"AusTRCF 306240","NSL 437935"
2015,3,12,54,938,"N524","PI 594072"
2015,2,31,24,338,"EAST 028 WHITE COB","Ames 14211"
2015,3,41,47,1806,"CI 64","CIze 64"
2015,3,28,68,1436,"Mo2RF","PI 558521"
2015,3,18,49,1115,"N512","PI 594061"
2015,3,34,63,1613,"Mo29W","Ames 28929"
2015,3,24,66,1312,"INBRED 34-1141","PI 186218"
2015,3,24,41,1289,"W24","NSL 30064"
2015,3,16,37,1042,"N508","PI 594057"
2015,2,37,11,506,"ZS01250","PI 595616"
2015,2,26,6,172,"CO158","Ames 27042"
2015,3,3,55,664,"A632HTN","Ames 23469"
2015,3,29,63,1461,"Va6","PI 542957"
2015,3,9,55,847,"LH132","PI 601004"
2015,3,29,46,1446,"INBRED 381","PI 186184"
2015,3,8,54,815,"S 61","PI 369443"
2015,2,25,12,146,"W401","Ames 27194"
2015,3,36,45,1657,"Ab610","PI 542938"
2015,3,25,59,1335,"Oh599","PI 572413"
2015,2,24,4,110,"A90","Ames 23392"
2015,3,35,68,1648,"TZEEI 3","PI 641253"
2015,3,40,63,1796,"U267Y","Ames 27191"
2015,3,26,50,1358,"SW 322","Ames 2329"
2015,3,20,37,1163,"PHR63","PI 601787"
2015,3,20,50,1176,"AD Sg1501","Ames 29022"
2015,3,25,64,1340,"AusTRCF 306351","NSL 438037"
2015,3,14,61,1003,"R30","NSL 30868"
2015,3,6,51,752,"MS225","Ames 24750"
2015,3,36,68,1678,"CI 88A","CIze 88"
2015,3,9,51,843,"MS77","Ames 24717"
2015,2,28,20,245,"MS92","Ames 24724"
2015,3,8,68,828,"SD41","PI 606769"
2015,3,39,47,1750,"Hi31","PI 593013"
2015,2,40,22,607,"SD46","PI 524970"
2015,3,21,37,1193,"NC308","Ames 27150"
2015,3,23,65,1281,"CI 12","Ames 28949"
2015,3,24,39,1287,"A632HT","Ames 23468"
2015,3,32,57,1547,"Va91","Ames 19019"
2015,2,30,11,297,"LH61","PI 601416"
2015,3,6,67,767,"W23","NSL 30060"
2015,3,3,62,671,"A619Ht3","Ames 25221"
2015,3,32,38,1528,"AusTRCF 306319","NSL 438005"
2015,2,35,17,452,"AD 221","Ames 28995"
2015,3,9,42,834,"Va16","Ames 19001"
2015,3,20,62,1186,"H41","Ames 26783"
2015,3,41,54,1809,"SC 212M","NSL 68242"
2015,2,36,17,483,"BR-17 INBR.FR.SUPERGOLD","PI 340851"
2015,3,28,62,1430,"R917A","NSL 30911"
2015,2,37,6,502,"4F-345 CN 12","PI 198902"
2015,2,34,7,413,"SD53","PI 538229"
2015,3,21,40,1196,"CI 91B Goodman-Buckler","Ames 28365"
2015,3,22,43,1230,"N517","PI 594066"
2015,3,13,37,951,"5707","PI 601269"
2015,3,23,64,1280,"Va38","Ames 19011"
2015,3,10,45,867,"B37 TRf","Ames 19283"
2015,2,39,25,580,"PHK93","PI 548800"
2015,3,22,50,1237,"PHW79","PI 601576"
2015,2,32,27,371,"T8354 INBRED","PI 267170"
2015,3,28,55,1424,"J47","NSL 22984"
2015,3,3,46,655,"H107","Ames 19318"
2015,3,33,38,1559,"Mo6","PI 558524"
2015,3,14,64,1006,"R909","NSL 30909"
2015,3,38,58,1731,"TZSTRI112","PI 639936"
2015,2,34,32,436,"793","PI 601492"
2015,3,30,62,1490,"CI 28B","Ames 26122"
2015,3,26,65,1372,"WX38-11","Ames 26743"
2015,3,5,66,1,"B73","14SJMY:Breed:0001"
2015,3,3,64,673,"WXWF9","Ames 26758"
2015,2,38,20,544,"CH701-30","Ames 27069"
2015,3,26,42,1350,"WIL903","PI 601686"
2015,3,29,56,1455,"RB-53 INBR.FR.YELPEARL","PI 340868"
2015,2,31,30,344,"W 6720-1","Ames 22062"
2015,3,16,47,1052,"778","PI 601375"
2015,2,34,6,412,"S 59A","PI 535919"
2015,3,41,48,1807,"CI 89B","CIze 89"
2015,3,19,66,1160,"H122w","Ames 26805"
2015,2,25,19,153,"4226","NSL 30904"
2015,2,41,21,625,"LH57","PI 601317"
2015,2,39,4,559,"R223","NSL 42804"
2015,3,9,57,849,"WXM14","Ames 26755"
2015,3,36,58,1670,"NC304","Ames 27148"
2015,3,16,50,1055,"Ia5125B","Ames 27117"
2015,3,19,46,1142,"B104","PI 594047"
2015,3,19,38,1134,"B45","PI 550468"
2015,3,34,56,1607,"NC356","Ames 27174"
2015,3,10,47,869,"H114","Ames 22751"
2015,2,40,29,614,"ICI 193","PI 559380"
2015,3,31,39,1499,"B164","Ames 27066"
2015,3,14,62,1004,"R75","NSL 30874"
2015,3,22,61,1247,"NP87","PI 542716"
2015,2,39,30,584,"R222A","NSL 29898"
2015,3,11,59,912,"N218","PI 596357"
2015,2,23,17,92,"991","PI 593460"
2015,2,41,8,620,"W153R","PI 587154"
2015,3,31,54,1512,"CI 21E","CIze 21"
2015,3,24,68,1314,"E683-1-2-1(S5) INBRED","PI 221789"
2015,2,28,28,252,"CO125","Ames 27106"
2015,3,33,52,1572,"NC306","Ames 27149"
2015,2,40,18,603,"Q381","PI 601190"
2015,3,21,45,1201,"Mo44","Ames 28939"
2015,3,14,55,998,"AD SA5","Ames 29005"
2015,2,21,30,45,"A575","Ames 23452"
2015,3,8,51,812,"N525","PI 594073"
2015,2,38,25,549,"AD SA2","Ames 29002"
2015,2,38,18,542,"CO236","Ames 27046"
2015,3,20,42,1168,"NC266","Ames 28414"
2015,3,39,52,1755,"L578","Ames 27132"
2015,3,28,65,1433,"B49","PI 550443"
2015,3,8,52,813,"N533","PI 594079"
2015,3,3,42,651,"AD 352","Ames 28980"
2015,3,3,51,660,"R103","NSL 30879"
2015,3,11,50,903,"B102","PI 594045"
2015,3,40,49,1782,"KYS","NSL 22633"
2015,3,3,60,669,"AusTRCF 305846","NSL 437920"
2015,3,35,51,1632,"OC11","PI 553064"
2015,2,30,16,301,"A166N","PI 406109"
2015,3,32,66,1555,"CI 84B","Ames 26136"
2015,3,34,44,1595,"CI 127","CIze 127"
2015,3,30,51,1480,"AD Sg1501-5","Ames 29027"
2015,3,25,42,1320,"A579N","PI 406123"
2015,3,5,44,715,"B105","PI 594048"
2015,3,41,53,1808,"SC 359","NSL 53095"
2015,2,37,22,517,"A328NW","PI 406115"
2015,2,27,14,209,"S 17","PI 535913"
2015,2,31,14,330,"CR14","PI 601683"
2015,3,17,41,1077,"B14","NSL 65866"
2015,3,2,44,635,"89S4083","Ames 12814"
2015,3,23,58,1274,"NC266B","Ames 28415"
2015,2,37,14,509,"NO. 1197 INBRED","PI 303939"
2015,2,40,9,594,"N504","PI 594053"
2015,3,25,45,1323,"R84","NSL 30877"
2015,3,22,45,1232,"INBRED 321","PI 186229"
2015,2,24,3,109,"ABPl 5","Ames 22794"
2015,3,23,57,1273,"Mo401","Ames 28360"
2015,3,35,54,1635,"Mo314ae","NSL 67799"
2015,2,31,28,342,"MS57","Ames 24709"
2015,3,10,53,875,"MS223","Ames 24748"
2015,3,33,55,1575,"NC230","Ames 12731"
2015,3,17,58,1092,"W570","PI 520771"
2015,2,30,24,308,"4578 INBRED","PI 415086"
2015,2,26,11,1,"B73","14SJMY:Breed:0001"
2015,3,35,38,1620,"CI28A Goodman-Buckler","Ames 31537"
2015,3,10,56,878,"WXL317","Ames 26754"
2015,3,2,58,641,"A650","Ames 23483"
2015,3,12,53,937,"N519","PI 594068"
2015,3,13,60,972,"R004","NSL 30866"
2015,3,32,39,1529,"AusTRCF 306356","NSL 438042"
2015,3,28,39,1409,"H106w","Ames 26800"
2015,2,36,28,492,"Pa356","PI 531081"
2015,3,13,38,952,"PHG29","PI 601270"
2015,3,23,55,1271,"Oh605","PI 639111"
2015,3,40,56,1789,"NC324","Ames 27158"
2015,2,28,14,240,"C8 pseudo","Ames 22014"
2015,3,40,37,1771,"SC102","Ames 10273"
2015,3,16,55,1060,"PHK35","PI 601777"
2015,3,10,48,870,"Tx738","Ames 22765"
2015,3,14,43,987,"AusTRCF 306297","NSL 437983"
2015,3,4,39,678,"AD 147","Ames 28975"
2015,3,4,37,677,"A632.75 A1 A2 C1 R1-r B1 Pl1","Ames 27451"
2015,3,39,63,1766,"Hi67","PI 641249"
2015,2,36,8,474,"AD 139 DS","Ames 28971"
2015,3,8,50,811,"N518","PI 594067"
2015,2,34,18,423,"A201","Ames 23399"
2015,3,4,50,689,"PHN34","PI 543843"
2015,2,25,23,157,"A677","Ames 23501"
2015,3,13,68,980,"A657","NSL 81598"
2015,2,27,24,218,"LH181","PI 547087"
2015,3,14,63,1005,"R181","NSL 30895"
2015,3,37,44,1685,"AusTRCF 306269","NSL 437956"
2015,2,34,27,431,"A572","Ames 23451"
2015,3,3,44,653,"AD 187-2","Ames 28983"
2015,3,24,63,1309,"Mo511W","Ames 28945"
2015,2,34,13,418,"ND253","PI 550541"
2015,3,22,66,1252,"Mo17TRf","Ames 19287"
2015,3,28,45,1415,"AD Sg1501-1","Ames 29023"
2015,2,29,16,271,"CG10","Ames 24585"
2015,3,29,40,1440,"AusTRCF 306296","NSL 437982"
2015,3,19,57,1151,"H60","Ames 25559"
2015,3,33,58,1578,"Va14","Ames 27192"
2015,2,38,28,552,"R222","NSL 29319"
2015,2,29,24,278,"CM99","Ames 27031"
2015,3,34,37,1589,"H23w","Ames 26777"
2015,2,30,23,307,"4566 INBRED","PI 415085"
2015,3,36,50,1662,"CI 46","Ames 26130"
2015,3,2,51,638,"A286","Ames 23413"
2015,2,25,29,163,"MS74","Ames 24714"
2015,3,10,59,881,"TZU-CHIAO-HSI-WU 105","PI 391678"
