ID	Tier	Range	Pass	Year	check	is.experimental	plate	d.T3	g.T3	a.T3	d.T	g.T	a.T	Total.Tocotrienols	Total.Tocopherols	Total.Tocochromanols
PI 340867	2	39	12	2015	99	1	11	0.231935868	3.592779389	2.680542309	2.001086211	41.4965204	0.880245753	6.505257566	44.37785237	51.83282669
PI 597578	2	40	12	2015	99	1	16	2.109127442	36.23116954	8.719881991	0.191532664	8.343900743	4.096318144	47.06017897	12.63175155	60.5615655
Ames 22036	2	21	13	2015	99	1	1	1.696944612	48.97679248	6.231464222	2.278298813	70.01505395	15.14892168	56.90520131	87.44227445	145.3876578
Ames 27029	2	22	13	2015	99	1	19	1.372467858	35.31411812	10.18199442	1.226466574	40.49752392	6.514693839	46.8685804	48.23868433	96.12630396
PI 257516	2	23	13	2015	99	1	19	0.81255583	24.23213526	7.641154699	5.702120365	95.72448268	2.738552254	32.68584579	104.1651553	137.8115769
PI 550552	2	24	13	2015	99	1	10	1.304005974	10.8081212	6.444344938	0.372694551	12.50984048	7.209063095	18.55647212	20.09159813	39.50189244
Ames 31535	2	26	13	2015	99	1	4	0.351439483	27.51579849	5.144827029	4.59947799	80.23791531	2.62667841	33.01206501	87.46407171	121.320515
PI 533658	2	27	13	2015	99	1	21	1.058636612	6.037023766	12.6495813	0.458439631	35.6721942	24.02240915	19.74524168	60.15304298	80.94280611
Ames 8399	2	28	13	2015	99	1	1	1.111638413	17.78293082	4.421195279	1.112090155	50.85032281	12.75818846	23.31576451	64.72060143	89.27268913
Ames 23500	2	29	13	2015	99	1	1	0.161319222	17.0129336	8.658159208	0.596403055	29.98965384	5.813602164	25.83241203	36.39965906	63.43052431
PI 405711	2	30	13	2015	99	1	13	1.333930226	14.75145371	3.100771602	1.025417983	29.14407675	7.271573084	19.18615554	37.44106782	57.24134818
PI 601611	2	31	13	2015	99	1	3	1.259168538	37.22379532	6.773222386	3.363755924	54.95124735	8.753303425	45.25618625	67.0683067	113.1720368
Ames 23444	2	32	13	2015	99	1	10	0.22131413	12.8789766	9.071863852	1.379934423	42.52593897	3.044392478	22.17215458	46.95026587	69.99618979
14SJMY:Breed:0001	2	33	13	2015	1	0	10	2.022852791	38.83522169	7.679203509	4.267398345	37.64076017	3.120886593	48.53727799	45.02904511	94.28534389
PI 550541	2	34	13	2015	99	1	13	0.400161975	16.25638815	4.627645472	1.450438983	42.53748136	1.04814734	21.2841956	45.03606768	66.97261792
Ames 22065	2	35	13	2015	99	1	9	0.364123598	24.61339245	12.67821505	1.40379873	61.29642847	7.345704743	37.6557311	70.04593195	108.2505088
Ames 28985	2	36	13	2015	99	1	11	0.292541066	5.174832341	2.43929982	2.580198185	32.89102738	0.519702696	7.906673227	35.99092826	44.66777812
PI 601318	2	38	13	2015	99	1	14	0.692492061	12.65200268	3.697437245	8.155449632	112.9384937	1.267546057	17.04193199	122.3614894	140.1420017
Ames 26772	2	39	13	2015	99	1	18	0.654750014	7.856016491	5.093992795	3.69019906	76.11531259	1.708646786	9.57587409	81.51415843	92.02355784
PI 358523	2	40	13	2015	99	1	18	0.242999976	15.05941585	6.165726004	2.594012107	81.60015687	5.343642387	16.59161308	89.53781136	107.064186
PI 600791	2	41	13	2015	99	1	10	0.890444864	29.72344546	4.207828694	5.140725813	135.2308092	0.878798044	34.82171902	141.250333	176.7590454
Ames 22037	2	21	14	2015	99	1	6	1.179966737	39.05685069	5.253281072	10.17918935	146.4903331	2.163126572	45.4900985	158.832649	205.1798557
Ames 27032	2	22	14	2015	99	1	10	0.672021313	26.9627717	7.597657731	2.7650432	66.47852252	1.533605404	35.23245074	70.77717112	106.7864671
PI 303924	2	23	14	2015	99	1	6	0.690130684	6.452497475	4.483429961	2.767093569	55.08765292	1.264806185	11.62605812	59.11955267	72.00415696
PI 550553	2	24	14	2015	99	1	21	0.309244623	36.09924956	6.635634779	0.190398222	13.86501909	0.566062134	43.04412896	14.62147945	58.5885967
Ames 23441	2	25	14	2015	99	1	8	0.450695618	12.32840075	9.776660062	2.391368137	40.97181659	1.990911564	26.07832964	45.3540963	72.18216159
NSL 8585	2	26	14	2015	99	1	6	1.732428396	54.24168891	6.3589592	3.205854859	95.56506747	6.96895953	62.33307651	105.7398819	168.909268
PI 535913	2	27	14	2015	99	1	2	0.129549964	1.947335867	3.774604114	0.388468382	23.2740274	2.719432926	9.62609406	26.38192871	37.65246006
Ames 22014	2	28	14	2015	99	1	4	0.064664095	8.058492163	2.765066907	1.968459484	39.26606584	0.729380185	10.88822316	41.9639055	53.93815788
14SJMY:Breed:0001	2	29	14	2015	1	0	22	2.480140567	49.07700316	9.018116447	4.98803811	42.51058986	2.437413078	60.57526018	49.93604105	111.6281362
